name,type,company_id,company_name,registration_date,status
FERNANDO MELENDEZ,Shareholders,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
RALPH DANGELMAIER,Legal Representatives,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
WILLIAM T. SOBO JR.,Legal Representatives,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
RALPH DANGELMAIER,Judicial Representatives,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
WILLIAM T. SOBO JR.,Judicial Representatives,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
RALPH DANGELMAIER,Directors,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
WILLIAM T. SOBO JR.,Directors,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
WILLIAM T. SOBO JR.,Secretaries,C 60696,BLUESNAP EU LIMITED,"Jun 05, 2013",
WAYNE THOMAS WALLICK,Legal Representatives,C 55015,BET LOTTO HOLDING LIMITED,"Jan 16, 2012",
WAYNE THOMAS WALLICK,Shareholders,C 55015,BET LOTTO HOLDING LIMITED,"Jan 16, 2012",
WAYNE THOMAS WALLICK,Judicial Representatives,C 55015,BET LOTTO HOLDING LIMITED,"Jan 16, 2012",
WAYNE THOMAS WALLICK,Directors,C 55015,BET LOTTO HOLDING LIMITED,"Jan 16, 2012",
HECTOR BONILLA,Legal Representatives,C 80343,BLUEDROP SAILING UE LTD,"Apr 06, 2017",
HECTOR BONILLA,Directors,C 80343,BLUEDROP SAILING UE LTD,"Apr 06, 2017",
HECTOR BONILLA,Judicial Representatives,C 80343,BLUEDROP SAILING UE LTD,"Apr 06, 2017",
HECTOR BONILLA,Shareholders,C 80343,BLUEDROP SAILING UE LTD,"Apr 06, 2017",
TAI HUU HUYNH,Legal Representatives,C 76045,BRANDS PLUS HOLDINGS LIMITED,"Jun 14, 2016",
TAI HUU HUYNH,Directors,C 76045,BRANDS PLUS HOLDINGS LIMITED,"Jun 14, 2016",
TAI HUU HUYNH,Judicial Representatives,C 76045,BRANDS PLUS HOLDINGS LIMITED,"Jun 14, 2016",
TAI HUU HUYNH,Shareholders,C 76045,BRANDS PLUS HOLDINGS LIMITED,"Jun 14, 2016",
Jacob A Huggard,Legal Representatives,C 51664,American Marketing Alliance Limited,"Jan 21, 2011",
Jacob A Huggard,Directors,C 51664,American Marketing Alliance Limited,"Jan 21, 2011",
Jacob A Huggard,Judicial Representatives,C 51664,American Marketing Alliance Limited,"Jan 21, 2011",
Christopher A Clark,Shareholders,C 51664,American Marketing Alliance Limited,"Jan 21, 2011",
Jacob A Huggard,Shareholders,C 51664,American Marketing Alliance Limited,"Jan 21, 2011",
BRIAN DOUGLAS MORRISROE,Legal Representatives,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
BRIAN DOUGLAS MORRISROE,Judicial Representatives,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
BRIAN DOUGLAS MORRISROE,Directors,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
MICHAEL HUISH,Legal Representatives,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
PAUL DANTON HUISH,Legal Representatives,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
MICHAEL HUISH,Judicial Representatives,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
PAUL DANTON HUISH,Judicial Representatives,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
MICHAEL HUISH,Directors,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
PAUL DANTON HUISH,Directors,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
STEWART MCRAE,Secretaries,C 21522,"BARE SPORTS EUROPE, LTD","Jun 11, 1997",
ERLING KROGH JACOBSEN,Directors,C 9479,ALPHA SHIPPING LIMITED,"Mar 11, 1988",
TORE MARTIN SOLBAKKEN,Legal Representatives,C 37747,BASTIA MARINE LIMITED,"Jan 04, 2006",
TORE MARTIN SOLBAKKEN,Directors,C 37747,BASTIA MARINE LIMITED,"Jan 04, 2006",
TORE MARTIN SOLBAKKEN,Judicial Representatives,C 37747,BASTIA MARINE LIMITED,"Jan 04, 2006",
FRANCESCO NINO PIOVANETTI,Legal Representatives,C 42259,ARCO TOWERS MALTA LIMITED,"Aug 31, 2007",In Dissolution
JORGE RUBEN RODRIGUEZ,Legal Representatives,C 42259,ARCO TOWERS MALTA LIMITED,"Aug 31, 2007",In Dissolution
FRANCESCO NINO PIOVANETTI,Judicial Representatives,C 42259,ARCO TOWERS MALTA LIMITED,"Aug 31, 2007",In Dissolution
JORGE RUBEN RODRIGUEZ,Judicial Representatives,C 42259,ARCO TOWERS MALTA LIMITED,"Aug 31, 2007",In Dissolution
FRANCESCO NINO PIOVANETTI,Directors,C 42259,ARCO TOWERS MALTA LIMITED,"Aug 31, 2007",In Dissolution
JORGE RUBEN RODRIGUEZ,Directors,C 42259,ARCO TOWERS MALTA LIMITED,"Aug 31, 2007",In Dissolution
WALTER ANDREAS HORST,Legal Representatives,OC 894,BBAVOCAONE HUNGARY KFT,"Jan 14, 2015",
WALTER ANDREAS HORST,Directors,OC 894,BBAVOCAONE HUNGARY KFT,"Jan 14, 2015",
WALTER ANDREAS HORST,Judicial Representatives,OC 894,BBAVOCAONE HUNGARY KFT,"Jan 14, 2015",
JORGE ARTURO GUARDIA,Secretaries,C 40814,AMBATO SERVICES LIMITED,"Feb 16, 2007",
THOMAS J PERKINS,Legal Representatives,C 19732,ATLANTIDE LIMITED,"Feb 06, 1996",
THOMAS J PERKINS,Directors,C 19732,ATLANTIDE LIMITED,"Feb 06, 1996",
THOMAS J PERKINS,Judicial Representatives,C 19732,ATLANTIDE LIMITED,"Feb 06, 1996",
THOMAS J PERKINS,Shareholders,C 19732,ATLANTIDE LIMITED,"Feb 06, 1996",
THOMAS JACKSON WILLIAMS IV,Legal Representatives,C 74252,BITLOAD4U LTD,"Feb 05, 2016",
THOMAS JACKSON WILLIAMS IV,Directors,C 74252,BITLOAD4U LTD,"Feb 05, 2016",
THOMAS JACKSON WILLIAMS IV,Judicial Representatives,C 74252,BITLOAD4U LTD,"Feb 05, 2016",
FRANCESCO NINO PIOVANETTI,Legal Representatives,C 43508,BPS 2 Malta Limited,"Feb 06, 2008",
JORGE RUBEN RODRIGUEZ,Legal Representatives,C 43508,BPS 2 Malta Limited,"Feb 06, 2008",
FRANCESCO NINO PIOVANETTI,Judicial Representatives,C 43508,BPS 2 Malta Limited,"Feb 06, 2008",
JORGE RUBEN RODRIGUEZ,Judicial Representatives,C 43508,BPS 2 Malta Limited,"Feb 06, 2008",
FRANCESCO NINO PIOVANETTI,Directors,C 43508,BPS 2 Malta Limited,"Feb 06, 2008",
JORGE RUBEN RODRIGUEZ,Directors,C 43508,BPS 2 Malta Limited,"Feb 06, 2008",
HOLLY HALEH GILANI,Legal Representatives,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
NICHOLAS M. GILANI,Legal Representatives,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
HOLLY HALEH GILANI,Directors,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
NICHOLAS M. GILANI,Directors,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
HOLLY HALEH GILANI,Judicial Representatives,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
NICHOLAS M. GILANI,Judicial Representatives,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
HOLLY HALEH GILANI,Shareholders,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
NICHOLAS M. GILANI,Shareholders,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
LYDIA WILDING,Legal Representatives,C 77848,AZURE MARINE LIMITED,"Oct 28, 2016",
LYDIA WILDING,Directors,C 77848,AZURE MARINE LIMITED,"Oct 28, 2016",
LYDIA WILDING,Judicial Representatives,C 77848,AZURE MARINE LIMITED,"Oct 28, 2016",
JEFFERSON LEEPER,Legal Representatives,C 70902,BELA L LIMITED,"Jun 03, 2015",
JEFFERSON LEEPER,Directors,C 70902,BELA L LIMITED,"Jun 03, 2015",
JEFFERSON LEEPER,Judicial Representatives,C 70902,BELA L LIMITED,"Jun 03, 2015",
JEFFERSON LEEPER,Secretaries,C 70902,BELA L LIMITED,"Jun 03, 2015",
THOMAS GERARD FRINZI,Legal Representatives,C 34157,AMO MALTA LIMITED,"Jun 18, 2004",
THOMAS GERARD FRINZI,Judicial Representatives,C 34157,AMO MALTA LIMITED,"Jun 18, 2004",
THOMAS GERARD FRINZI,Directors,C 34157,AMO MALTA LIMITED,"Jun 18, 2004",
AHMAD HASHEM,Legal Representatives,C 77810,BOSTON BIOPHARMA EUROPE LIMITED,"Oct 26, 2016",
AHMAD HASHEM,Directors,C 77810,BOSTON BIOPHARMA EUROPE LIMITED,"Oct 26, 2016",
AHMAD HASHEM,Judicial Representatives,C 77810,BOSTON BIOPHARMA EUROPE LIMITED,"Oct 26, 2016",
AHMAD HASHEM,Secretaries,C 77810,BOSTON BIOPHARMA EUROPE LIMITED,"Oct 26, 2016",
AIMEN IBRAHIM RASHED,Legal Representatives,C 79381,A & E SPACES LTD,"Feb 01, 2017",
AIMEN IBRAHIM RASHED,Directors,C 79381,A & E SPACES LTD,"Feb 01, 2017",
AIMEN IBRAHIM RASHED,Judicial Representatives,C 79381,A & E SPACES LTD,"Feb 01, 2017",
AIMEN IBRAHIM RASHED,Shareholders,C 79381,A & E SPACES LTD,"Feb 01, 2017",
RICHARD CAPPADONNA,Shareholders,C 46768,BRELLINGTON YACHTING LIMITED,"May 07, 2009",
KURT WALTER FUCHS,Legal Representatives,C 65245,BCFT Ltd.,"May 21, 2014",
KURT WALTER FUCHS,Shareholders,C 65245,BCFT Ltd.,"May 21, 2014",
KURT WALTER FUCHS,Judicial Representatives,C 65245,BCFT Ltd.,"May 21, 2014",
KURT WALTER FUCHS,Directors,C 65245,BCFT Ltd.,"May 21, 2014",
RAYMOND MURLE CAMPBELL,Legal Representatives,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
JAMES DONALD GROVES,Legal Representatives,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
RAYMOND MURLE CAMPBELL,Directors,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
JAMES DONALD GROVES,Directors,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
RAYMOND MURLE CAMPBELL,Judicial Representatives,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
JAMES DONALD GROVES,Judicial Representatives,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
RAYMOND MURLE CAMPBELL,Secretaries,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
RAYMOND MURLE CAMPBELL,Shareholders,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
JAMES DONALD GROVES,Shareholders,C 64081,ALPHAWORX COMPANY LIMITED,"Mar 03, 2014",
JEFFREY DAVID BAUER,Legal Representatives,C 69545,AQblue Limited,"Mar 13, 2015",
THOMAS JAMES DRUK,Legal Representatives,C 69545,AQblue Limited,"Mar 13, 2015",
JEFFREY DAVID BAUER,Shareholders,C 69545,AQblue Limited,"Mar 13, 2015",
David Charles Bauer,Shareholders,C 69545,AQblue Limited,"Mar 13, 2015",
THOMAS JAMES DRUK,Shareholders,C 69545,AQblue Limited,"Mar 13, 2015",
Richard Jay Seaman,Shareholders,C 69545,AQblue Limited,"Mar 13, 2015",
JEFFREY DAVID BAUER,Judicial Representatives,C 69545,AQblue Limited,"Mar 13, 2015",
THOMAS JAMES DRUK,Judicial Representatives,C 69545,AQblue Limited,"Mar 13, 2015",
