name,type,company_id,company_name,registration_date,status
MARTIN RICARDO CORDEIRO,Legal Representatives,C 41400,ARDMANN GROUP LIMITED,"May 17, 2007",
MARTIN RICARDO CORDEIRO,Directors,C 41400,ARDMANN GROUP LIMITED,"May 17, 2007",
MARTIN RICARDO CORDEIRO,Judicial Representatives,C 41400,ARDMANN GROUP LIMITED,"May 17, 2007",
MARTIN RICARDO CORDEIRO,Shareholders,C 41400,ARDMANN GROUP LIMITED,"May 17, 2007",
MARIA INES CARMEN BEMBERG DE VICUNA,Legal Representatives,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
FLOREAL HORACIO CRESPO,Legal Representatives,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
MARIA INES CARMEN BEMBERG DE VICUNA,Judicial Representatives,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
FLOREAL HORACIO CRESPO,Judicial Representatives,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
MARIA INES CARMEN BEMBERG DE VICUNA,Directors,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
FLOREAL HORACIO CRESPO,Directors,C 40205,ARCONAS INTERNATIONAL LIMITED,"Dec 07, 2006",
LISANDRO TAPIA,Legal Representatives,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
LISANDRO TAPIA,Directors,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
LISANDRO TAPIA,Judicial Representatives,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
LISANDRO TAPIA,Shareholders,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
CARLOS DANIEL PAZ,Legal Representatives,C 79192,APPVISE GLOBAL LTD,"Jan 20, 2017",
CARLOS DANIEL PAZ,Directors,C 79192,APPVISE GLOBAL LTD,"Jan 20, 2017",
CARLOS DANIEL PAZ,Judicial Representatives,C 79192,APPVISE GLOBAL LTD,"Jan 20, 2017",
JULIAN JARES,Legal Representatives,C 76167,BINGOSOFT P.L.C.,"Jun 24, 2016",
JULIAN JARES,Directors,C 76167,BINGOSOFT P.L.C.,"Jun 24, 2016",
JULIAN JARES,Judicial Representatives,C 76167,BINGOSOFT P.L.C.,"Jun 24, 2016",
