name,type,company_id,company_name,registration_date,status
SERYOZHA ABRAHAMYAN,Legal Representatives,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
ARAM AKOPIAN,Legal Representatives,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
SERYOZHA ABRAHAMYAN,Directors,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
ARAM AKOPIAN,Directors,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
SERYOZHA ABRAHAMYAN,Judicial Representatives,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
ARAM AKOPIAN,Judicial Representatives,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
SERYOZHA ABRAHAMYAN,Shareholders,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
SAMVEL GURDZHINYAN,Legal Representatives,C 40772,ANELIK LIMITED,"Feb 09, 2007",
SAMVEL GURDZHINYAN,Directors,C 40772,ANELIK LIMITED,"Feb 09, 2007",
SAMVEL GURDZHINYAN,Judicial Representatives,C 40772,ANELIK LIMITED,"Feb 09, 2007",
SAMVEL GURDZHINYAN,Secretaries,C 40772,ANELIK LIMITED,"Feb 09, 2007",
ARTHUR ARAKELYAN,Shareholders,C 40772,ANELIK LIMITED,"Feb 09, 2007",
SAMVEL GURJINYAN,Shareholders,C 40772,ANELIK LIMITED,"Feb 09, 2007",
SAMVEL GURJINYAN,Legal Representatives,C 44129,ARMALT LTD,"Apr 29, 2008",
SAMVEL GURJINYAN,Directors,C 44129,ARMALT LTD,"Apr 29, 2008",
SAMVEL GURJINYAN,Judicial Representatives,C 44129,ARMALT LTD,"Apr 29, 2008",
SAMVEL GURJINYAN,Shareholders,C 44129,ARMALT LTD,"Apr 29, 2008",
HOVHANNES GURDZHINYAN,Shareholders,C 44129,ARMALT LTD,"Apr 29, 2008",
ARMEN BEGJANYAN,Legal Representatives,C 41295,ARMENIA LIMITED,"May 03, 2007",
ARMEN BEGJANYAN,Directors,C 41295,ARMENIA LIMITED,"May 03, 2007",
ARMEN BEGJANYAN,Judicial Representatives,C 41295,ARMENIA LIMITED,"May 03, 2007",
ARTUR ARAKELYAN,Shareholders,C 41295,ARMENIA LIMITED,"May 03, 2007",
VERA BOYAJYAN,Shareholders,C 41295,ARMENIA LIMITED,"May 03, 2007",
ARSEN BARSEGHYAN,Legal Representatives,C 59652,B-TECH HOLDINGS COMPANY LIMITED,"Mar 14, 2013",
ARSEN BARSEGHYAN,Shareholders,C 59652,B-TECH HOLDINGS COMPANY LIMITED,"Mar 14, 2013",
ARSEN BARSEGHYAN,Judicial Representatives,C 59652,B-TECH HOLDINGS COMPANY LIMITED,"Mar 14, 2013",
ARSEN BARSEGHYAN,Directors,C 59652,B-TECH HOLDINGS COMPANY LIMITED,"Mar 14, 2013",
