name,type,company_id,company_name,registration_date,status
DENIS O'NEIL,Legal Representatives,C 51938,ASHA LIMITED,"Feb 07, 2011",
DENIS O'NEIL,Directors,C 51938,ASHA LIMITED,"Feb 07, 2011",
DENIS O'NEIL,Judicial Representatives,C 51938,ASHA LIMITED,"Feb 07, 2011",
DENIS O'NEIL,Shareholders,C 51938,ASHA LIMITED,"Feb 07, 2011",
OLIVER CHRISTOF,Legal Representatives,C 60739,BLUEZONE LTD,"Jun 10, 2013",
OLIVER CHRISTOF,Directors,C 60739,BLUEZONE LTD,"Jun 10, 2013",
OLIVER CHRISTOF,Judicial Representatives,C 60739,BLUEZONE LTD,"Jun 10, 2013",
MARK GEOFFREY ROSS DUNSTAN,Legal Representatives,C 36451,BGP Holdings p.l.c.,"Jun 20, 2005",
RODERICK HAMILTON MCGEOCH,Legal Representatives,C 36451,BGP Holdings p.l.c.,"Jun 20, 2005",
MARK GEOFFREY ROSS DUNSTAN,Judicial Representatives,C 36451,BGP Holdings p.l.c.,"Jun 20, 2005",
RODERICK HAMILTON MCGEOCH,Judicial Representatives,C 36451,BGP Holdings p.l.c.,"Jun 20, 2005",
MARK GEOFFREY ROSS DUNSTAN,Directors,C 36451,BGP Holdings p.l.c.,"Jun 20, 2005",
RODERICK HAMILTON MCGEOCH,Directors,C 36451,BGP Holdings p.l.c.,"Jun 20, 2005",
MICHAEL JAMES LARKIN,Legal Representatives,OC 894,BBAVOCAONE HUNGARY KFT,"Jan 14, 2015",
MICHAEL JAMES LARKIN,Directors,OC 894,BBAVOCAONE HUNGARY KFT,"Jan 14, 2015",
MICHAEL JAMES LARKIN,Judicial Representatives,OC 894,BBAVOCAONE HUNGARY KFT,"Jan 14, 2015",
ROBERT GRAHAM SOLOMON,Legal Representatives,C 43021,ASAMER MALTA CONSTRUCTION MATERIAL LIMITED,"Dec 06, 2007",
ROBERT GRAHAM SOLOMON,Judicial Representatives,C 43021,ASAMER MALTA CONSTRUCTION MATERIAL LIMITED,"Dec 06, 2007",
ROBERT GRAHAM SOLOMON,Directors,C 43021,ASAMER MALTA CONSTRUCTION MATERIAL LIMITED,"Dec 06, 2007",
ADRIAN CALLEJA,Legal Representatives,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
ADRIAN CALLEJA,Directors,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
ADRIAN CALLEJA,Judicial Representatives,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
ADRIAN CALLEJA,Secretaries,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
ROBERT BAKER,Legal Representatives,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
JANINE PEARSON,Legal Representatives,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
ROBERT BAKER,Directors,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
JANINE PEARSON,Directors,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
ROBERT BAKER,Judicial Representatives,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
JANINE PEARSON,Judicial Representatives,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
KENNETH ROSS HETHERINGTON,Secretaries,C 72069,ARCHIMEDES RETAIL INVESTMENTS LIMITED,"Aug 28, 2015",
ROBERT BAKER,Legal Representatives,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
KENNETH ROSS HETHERINGTON,Legal Representatives,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
ROBERT BAKER,Judicial Representatives,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
KENNETH ROSS HETHERINGTON,Judicial Representatives,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
ROBERT BAKER,Directors,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
KENNETH ROSS HETHERINGTON,Directors,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
KENNETH ROSS HETHERINGTON,Secretaries,C 65845,ARGYLE HOLDINGS LIMITED,"Jul 02, 2014",
MATTHEW CON ORLANDO,Legal Representatives,C 34157,AMO MALTA LIMITED,"Jun 18, 2004",
MATTHEW CON ORLANDO,Judicial Representatives,C 34157,AMO MALTA LIMITED,"Jun 18, 2004",
MATTHEW CON ORLANDO,Directors,C 34157,AMO MALTA LIMITED,"Jun 18, 2004",
GARY ERNEST COMB,Legal Representatives,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
NEIL KARL MARTIN,Legal Representatives,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
GARY ERNEST COMB,Judicial Representatives,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
NEIL KARL MARTIN,Judicial Representatives,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
GARY ERNEST COMB,Directors,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
NEIL KARL MARTIN,Directors,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
