name,type,company_id,company_name,registration_date,status
CHRISTOPH DIETHARDT,Legal Representatives,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
MICHAEL EBNER,Legal Representatives,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
CHRISTOPH DIETHARDT,Judicial Representatives,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
MICHAEL EBNER,Judicial Representatives,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
CHRISTOPH DIETHARDT,Directors,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
MICHAEL EBNER,Directors,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
CHRISTOPH DIETHARDT,Secretaries,C 53451,ARAGONIT CONSULTING LTD,"Jul 25, 2011",In Dissolution
JOHANN CHRISTOF,Shareholders,C 60739,BLUEZONE LTD,"Jun 10, 2013",
MICHAEL ROSENZOPF,Legal Representatives,C 25644,AUSTRO COMMERZ LIMITED,"Nov 30, 1989",
MICHAEL ROSENZOPF,Shareholders,C 25644,AUSTRO COMMERZ LIMITED,"Nov 30, 1989",
MICHAEL ROSENZOPF,Judicial Representatives,C 25644,AUSTRO COMMERZ LIMITED,"Nov 30, 1989",
MICHAEL ROSENZOPF,Directors,C 25644,AUSTRO COMMERZ LIMITED,"Nov 30, 1989",
MICHAEL ROSENZOPF,Secretaries,C 25644,AUSTRO COMMERZ LIMITED,"Nov 30, 1989",
FRANZ WANOVITS,Legal Representatives,C 69272,BLUE VAL LIMITED,"Mar 02, 2015",
GUNTER WOINAR,Legal Representatives,C 69272,BLUE VAL LIMITED,"Mar 02, 2015",
FRANZ WANOVITS,Directors,C 69272,BLUE VAL LIMITED,"Mar 02, 2015",
GUNTER WOINAR,Directors,C 69272,BLUE VAL LIMITED,"Mar 02, 2015",
FRANZ WANOVITS,Judicial Representatives,C 69272,BLUE VAL LIMITED,"Mar 02, 2015",
GUNTER WOINAR,Judicial Representatives,C 69272,BLUE VAL LIMITED,"Mar 02, 2015",
KLAUS STOEGER,Legal Representatives,OC 895,AUSTRIAN AIRLINES LEASE AND FINANCE COMPANY LIMITED,"Jan 14, 2015",
KLAUS STOEGER,Directors,OC 895,AUSTRIAN AIRLINES LEASE AND FINANCE COMPANY LIMITED,"Jan 14, 2015",
KLAUS STOEGER,Judicial Representatives,OC 895,AUSTRIAN AIRLINES LEASE AND FINANCE COMPANY LIMITED,"Jan 14, 2015",
CHRISTIAN SAEL,Legal Representatives,C 44099,ALTEATEC IT SOLUTIONS LIMITED,"Apr 24, 2008",
CHRISTIAN SAEL,Shareholders,C 44099,ALTEATEC IT SOLUTIONS LIMITED,"Apr 24, 2008",
CHRISTIAN SAEL,Judicial Representatives,C 44099,ALTEATEC IT SOLUTIONS LIMITED,"Apr 24, 2008",
CHRISTIAN SAEL,Directors,C 44099,ALTEATEC IT SOLUTIONS LIMITED,"Apr 24, 2008",
HERBERT SCHODERBOCK,Legal Representatives,C 58540,ALPHA GLOBAL LIMITED,"Dec 10, 2012",
HERBERT SCHODERBOCK,Directors,C 58540,ALPHA GLOBAL LIMITED,"Dec 10, 2012",
HERBERT SCHODERBOCK,Judicial Representatives,C 58540,ALPHA GLOBAL LIMITED,"Dec 10, 2012",
Herbert Shoderbock,Secretaries,C 58540,ALPHA GLOBAL LIMITED,"Dec 10, 2012",
HERBERT SCHODERBOCK,Shareholders,C 58540,ALPHA GLOBAL LIMITED,"Dec 10, 2012",
HARALD KERBLER,Shareholders,C 58540,ALPHA GLOBAL LIMITED,"Dec 10, 2012",
ALEXANDER VAGACS,Legal Representatives,C 55228,AVCON JET MALTA LIMITED,"Feb 23, 2012",
ALEXANDER VAGACS,Judicial Representatives,C 55228,AVCON JET MALTA LIMITED,"Feb 23, 2012",
ALEXANDER VAGACS,Directors,C 55228,AVCON JET MALTA LIMITED,"Feb 23, 2012",
