name,type,company_id,company_name,registration_date,status
MUBARIZ MANSIMOV,Legal Representatives,C 62326,BARGE OIL SERVICES HOLDING CO. LTD,"Oct 22, 2013",
MUBARIZ MANSIMOV,Directors,C 62326,BARGE OIL SERVICES HOLDING CO. LTD,"Oct 22, 2013",
MUBARIZ MANSIMOV,Judicial Representatives,C 62326,BARGE OIL SERVICES HOLDING CO. LTD,"Oct 22, 2013",
MUBARIZ MANSIMOV,Legal Representatives,C 50909,ARMADA VOYAGER SEVEN CO. LTD,"Oct 18, 2010",
MUBARIZ MANSIMOV,Directors,C 50909,ARMADA VOYAGER SEVEN CO. LTD,"Oct 18, 2010",
MUBARIZ MANSIMOV,Judicial Representatives,C 50909,ARMADA VOYAGER SEVEN CO. LTD,"Oct 18, 2010",
MUBARIZ MANSIMOV,Legal Representatives,C 68135,ARMADA VOYAGER ELEVEN CO. LTD,"Dec 16, 2014",
MUBARIZ MANSIMOV,Directors,C 68135,ARMADA VOYAGER ELEVEN CO. LTD,"Dec 16, 2014",
MUBARIZ MANSIMOV,Judicial Representatives,C 68135,ARMADA VOYAGER ELEVEN CO. LTD,"Dec 16, 2014",
MUBARIZ MANSIMOV,Legal Representatives,C 48219,ARMADA VOYAGER FOUR CO. LTD,"Nov 19, 2009",
MUBARIZ MANSIMOV,Directors,C 48219,ARMADA VOYAGER FOUR CO. LTD,"Nov 19, 2009",
MUBARIZ MANSIMOV,Judicial Representatives,C 48219,ARMADA VOYAGER FOUR CO. LTD,"Nov 19, 2009",
MUBARIZ MANSIMOV,Legal Representatives,C 48217,ARMADA VOYAGER THREE CO. LTD.,"Nov 19, 2009",
MUBARIZ MANSIMOV,Directors,C 48217,ARMADA VOYAGER THREE CO. LTD.,"Nov 19, 2009",
MUBARIZ MANSIMOV,Judicial Representatives,C 48217,ARMADA VOYAGER THREE CO. LTD.,"Nov 19, 2009",
ILHAM GADIM-ZADA,Legal Representatives,C 77147,Blue Lake Star Shipping LTD,"Sep 06, 2016",
ILHAM GADIM-ZADA,Directors,C 77147,Blue Lake Star Shipping LTD,"Sep 06, 2016",
ILHAM GADIM-ZADA,Judicial Representatives,C 77147,Blue Lake Star Shipping LTD,"Sep 06, 2016",
MUBARIZ MANSIMOV,Legal Representatives,C 48213,Armada Holding Two Company Limited,"Nov 19, 2009",
MUBARIZ MANSIMOV,Judicial Representatives,C 48213,Armada Holding Two Company Limited,"Nov 19, 2009",
MUBARIZ MANSIMOV,Directors,C 48213,Armada Holding Two Company Limited,"Nov 19, 2009",
RAUF ALIYEV,Legal Representatives,C 61084,ARMADA SHIPBUILDING TECHNOLOGY CO. LTD,"Jul 09, 2013",
RAUF ALIYEV,Directors,C 61084,ARMADA SHIPBUILDING TECHNOLOGY CO. LTD,"Jul 09, 2013",
RAUF ALIYEV,Judicial Representatives,C 61084,ARMADA SHIPBUILDING TECHNOLOGY CO. LTD,"Jul 09, 2013",
RAUF ALIYEV,Shareholders,C 61084,ARMADA SHIPBUILDING TECHNOLOGY CO. LTD,"Jul 09, 2013",
NIGAR KEATING,Legal Representatives,C 59302,BLUE MARITIME SHIPPING 1 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59302,BLUE MARITIME SHIPPING 1 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Judicial Representatives,C 59302,BLUE MARITIME SHIPPING 1 CO. LTD,"Feb 13, 2013",
MUBARIZ MANSIMOV,Legal Representatives,C 50911,ARMADA VOYAGER NINE CO. LTD.,"Oct 18, 2010",
MUBARIZ MANSIMOV,Directors,C 50911,ARMADA VOYAGER NINE CO. LTD.,"Oct 18, 2010",
MUBARIZ MANSIMOV,Judicial Representatives,C 50911,ARMADA VOYAGER NINE CO. LTD.,"Oct 18, 2010",
MAIS MANSIMOV,Shareholders,C 78629,BOW HOLDING LIMITED,"Dec 14, 2016",
MUBARIZ MANSIMOV,Shareholders,C 78629,BOW HOLDING LIMITED,"Dec 14, 2016",
RAUF ALIYEV,Legal Representatives,C 4326,ARMADA SHIPPING CO LTD,Company Status,
RAUF ALIYEV,Directors,C 4326,ARMADA SHIPPING CO LTD,Company Status,
RAUF ALIYEV,Judicial Representatives,C 4326,ARMADA SHIPPING CO LTD,Company Status,
RAUF ALIYEV,Shareholders,C 4326,ARMADA SHIPPING CO LTD,Company Status,
NIGAR KEATING,Legal Representatives,C 59304,BLUE MARITIME SHIPPING 3 Co. LTD.,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59304,BLUE MARITIME SHIPPING 3 Co. LTD.,"Feb 13, 2013",
NIGAR KEATING,Judicial Representatives,C 59304,BLUE MARITIME SHIPPING 3 Co. LTD.,"Feb 13, 2013",
NIGAR KEATING,Legal Representatives,C 59301,BLUE MARITIME HOLDING COMPANY LIMITED,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59301,BLUE MARITIME HOLDING COMPANY LIMITED,"Feb 13, 2013",
NIGAR KEATING,Judicial Representatives,C 59301,BLUE MARITIME HOLDING COMPANY LIMITED,"Feb 13, 2013",
NIGAR KEATING,Legal Representatives,C 59306,BLUE MARITIME SHIPPING 5 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59306,BLUE MARITIME SHIPPING 5 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Judicial Representatives,C 59306,BLUE MARITIME SHIPPING 5 CO. LTD,"Feb 13, 2013",
AYTAN SHIRINOVA,Legal Representatives,C 44716,ALRO GROUP LIMITED,"Jul 16, 2008",
AYTAN SHIRINOVA,Directors,C 44716,ALRO GROUP LIMITED,"Jul 16, 2008",
AYTAN SHIRINOVA,Judicial Representatives,C 44716,ALRO GROUP LIMITED,"Jul 16, 2008",
AYTAN SHIRINOVA,Shareholders,C 44716,ALRO GROUP LIMITED,"Jul 16, 2008",
MAIS MANSIMOV,Legal Representatives,C 77930,ARROWS TRADING LIMITED,"Nov 03, 2016",
MAIS MANSIMOV,Directors,C 77930,ARROWS TRADING LIMITED,"Nov 03, 2016",
MAIS MANSIMOV,Judicial Representatives,C 77930,ARROWS TRADING LIMITED,"Nov 03, 2016",
MUBARIZ MANSIMOV,Legal Representatives,C 34138,BNT AVIATION CO. LTD,"Jun 16, 2004",
MUBARIZ MANSIMOV,Shareholders,C 34138,BNT AVIATION CO. LTD,"Jun 16, 2004",
MUBARIZ MANSIMOV,Judicial Representatives,C 34138,BNT AVIATION CO. LTD,"Jun 16, 2004",
MUBARIZ MANSIMOV,Directors,C 34138,BNT AVIATION CO. LTD,"Jun 16, 2004",
NIGAR KEATING,Legal Representatives,C 59303,BLUE MARITIME SHIPPING 2 CO. LTD,"Feb 13, 2013",
NIGAR KEATING,Directors,C 59303,BLUE MARITIME SHIPPING 2 CO. LTD,"Feb 13, 2013",
