name,type,company_id,company_name,registration_date,status
MOHAMED HANI ABDULQADER BAKERI SALEH,Legal Representatives,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
RAED MAKI MOHAMED SARHAN,Legal Representatives,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
MOHAMED HANI ABDULQADER BAKERI SALEH,Directors,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
RAED MAKI MOHAMED SARHAN,Directors,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
MOHAMED HANI ABDULQADER BAKERI SALEH,Judicial Representatives,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
RAED MAKI MOHAMED SARHAN,Judicial Representatives,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
RAED MAKI MOHAMED SARHAN,Secretaries,C 77234,ANAIS HOLDINGS LIMITED,"Sep 14, 2016",
HUSAIN ALI MOHAMED SARHAN,Legal Representatives,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
NADER MAKI MOHAMED SARHAN,Legal Representatives,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
RAED MAKI MOHAMED SARHAN,Legal Representatives,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
HUSAIN ALI MOHAMED SARHAN,Directors,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
NADER MAKI MOHAMED SARHAN,Directors,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
RAED MAKI MOHAMED SARHAN,Directors,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
HUSAIN ALI MOHAMED SARHAN,Judicial Representatives,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
NADER MAKI MOHAMED SARHAN,Judicial Representatives,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
RAED MAKI MOHAMED SARHAN,Judicial Representatives,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
RAED MAKI MOHAMED SARHAN,Secretaries,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
KHALED MOHAMED YUSUF HEJRES,Shareholders,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
HUSAIN ALI MOHAMED SARHAN,Shareholders,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
NADER MAKI MOHAMED SARHAN,Shareholders,C 72452,AMARYLLIS HOLDINGS LIMITED,"Sep 29, 2015",
