name,type,company_id,company_name,registration_date,status
ALESIA SOTNIKOVA,Legal Representatives,C 80362,ALLEZ VOUS LTD.,"Apr 07, 2017",
ALESIA SOTNIKOVA,Directors,C 80362,ALLEZ VOUS LTD.,"Apr 07, 2017",
ALESIA SOTNIKOVA,Judicial Representatives,C 80362,ALLEZ VOUS LTD.,"Apr 07, 2017",
ALESIA SOTNIKOVA,Secretaries,C 80362,ALLEZ VOUS LTD.,"Apr 07, 2017",
ALESIA SOTNIKOVA,Shareholders,C 80362,ALLEZ VOUS LTD.,"Apr 07, 2017",
CATHERINE SMAHLIUK,Shareholders,C 67186,AMETIS LTD,"Oct 17, 2014",
ALESIA SOTNIKOVA,Legal Representatives,C 3690,ALLFREIGHT LIMITED,Company Status,
ALESIA SOTNIKOVA,Directors,C 3690,ALLFREIGHT LIMITED,Company Status,
ALESIA SOTNIKOVA,Judicial Representatives,C 3690,ALLFREIGHT LIMITED,Company Status,
ALESIA SOTNIKOVA,Secretaries,C 3690,ALLFREIGHT LIMITED,Company Status,
ALESIA SOTNIKOVA,Shareholders,C 3690,ALLFREIGHT LIMITED,Company Status,
