name,type,company_id,company_name,registration_date,status
PHILIPPE MUULS,Legal Representatives,C 41922,Blueleaf Limited,"Jul 20, 2007",
PHILIPPE MUULS,Directors,C 41922,Blueleaf Limited,"Jul 20, 2007",
PHILIPPE MUULS,Judicial Representatives,C 41922,Blueleaf Limited,"Jul 20, 2007",
IVAN ROBERT J. NYSSEN,Shareholders,C 74879,BLUE FUN COMPANY LIMITED,"Mar 21, 2016",
ELS MARGARETHA M. VAN WINCKEL,Shareholders,C 72507,ANANOVA LIMITED,"Oct 05, 2015",
JEAN-PAUL VANQUAETHEM,Shareholders,C 72507,ANANOVA LIMITED,"Oct 05, 2015",
FADEL KAMEL BURSHAN,Legal Representatives,C 36931,BioNov Ltd,"Sep 13, 2005",
FADEL KAMEL BURSHAN,Directors,C 36931,BioNov Ltd,"Sep 13, 2005",
FADEL KAMEL BURSHAN,Judicial Representatives,C 36931,BioNov Ltd,"Sep 13, 2005",
FADEL KAMEL BURSHAN,Shareholders,C 36931,BioNov Ltd,"Sep 13, 2005",
CAREEN-ANGELA SCHROETER,Shareholders,C 36931,BioNov Ltd,"Sep 13, 2005",
GERT TRIEST,Legal Representatives,C 33742,AOG INTERNATIONAL HOLDINGS LIMITED,"Apr 19, 2004",
GERT TRIEST,Judicial Representatives,C 33742,AOG INTERNATIONAL HOLDINGS LIMITED,"Apr 19, 2004",
GERT TRIEST,Directors,C 33742,AOG INTERNATIONAL HOLDINGS LIMITED,"Apr 19, 2004",
KOEN MARIA JORIS ANTONIA LOZIE,Secretaries,C 73975,BCC MARKETING SERVICES LTD,"Jan 18, 2016",
JEAN LUC HAVELANGE,Legal Representatives,C 63065,BOUW DREAM LTD,"Dec 11, 2013",
JEAN LUC HAVELANGE,Directors,C 63065,BOUW DREAM LTD,"Dec 11, 2013",
JEAN LUC HAVELANGE,Judicial Representatives,C 63065,BOUW DREAM LTD,"Dec 11, 2013",
BERNARD VAN MILDERS,Legal Representatives,C 52730,AVIATION ASSOCIATES LIMITED,"May 03, 2011",
BERNARD VAN MILDERS,Judicial Representatives,C 52730,AVIATION ASSOCIATES LIMITED,"May 03, 2011",
