name,type,company_id,company_name,registration_date,status
DEBORAH LYNN DAVIS,Legal Representatives,C 62951,BREMEN TRADER MARITIME LIMITED,"Dec 04, 2013",
DEBORAH LYNN DAVIS,Directors,C 62951,BREMEN TRADER MARITIME LIMITED,"Dec 04, 2013",
DEBORAH LYNN DAVIS,Judicial Representatives,C 62951,BREMEN TRADER MARITIME LIMITED,"Dec 04, 2013",
DEBORAH LYNN DAVIS,Legal Representatives,C 60644,BONAIRE TRADER SHIPPING COMPANY LIMITED,"May 30, 2013",
DEBORAH LYNN DAVIS,Directors,C 60644,BONAIRE TRADER SHIPPING COMPANY LIMITED,"May 30, 2013",
DEBORAH LYNN DAVIS,Judicial Representatives,C 60644,BONAIRE TRADER SHIPPING COMPANY LIMITED,"May 30, 2013",
DEBORAH LYNN DAVIS,Legal Representatives,C 60645,ARUBA TRADER SHIPPING COMPANY LIMITED,"May 30, 2013",
DEBORAH LYNN DAVIS,Directors,C 60645,ARUBA TRADER SHIPPING COMPANY LIMITED,"May 30, 2013",
DEBORAH LYNN DAVIS,Judicial Representatives,C 60645,ARUBA TRADER SHIPPING COMPANY LIMITED,"May 30, 2013",
DEBORAH LYNN DAVIS,Legal Representatives,C 71024,AUSTRAL MARITIME LIMITED,"Jun 11, 2015",
DEBORAH LYNN DAVIS,Directors,C 71024,AUSTRAL MARITIME LIMITED,"Jun 11, 2015",
DEBORAH LYNN DAVIS,Judicial Representatives,C 71024,AUSTRAL MARITIME LIMITED,"Jun 11, 2015",
