name,type,company_id,company_name,registration_date,status
Edin Buljubasic,Secretaries,C 62332,ALVOTECH MALTA LIMITED,"Oct 23, 2013",
DZEMO NESLANOVIC,Legal Representatives,C 64608,ARGENTARIUS CONCEPTS LTD.,"Apr 08, 2014",
DZEMO NESLANOVIC,Directors,C 64608,ARGENTARIUS CONCEPTS LTD.,"Apr 08, 2014",
DZEMO NESLANOVIC,Judicial Representatives,C 64608,ARGENTARIUS CONCEPTS LTD.,"Apr 08, 2014",
Edin Buljubasic,Secretaries,C 71197,ALVOGEN MALTA OPERATIONS (ROW) LTD,"Jun 25, 2015",
Edin Buljubasic,Legal Representatives,C 78276,ALVOGEN MALTA R&D LTD.,"Nov 23, 2016",
Edin Buljubasic,Directors,C 78276,ALVOGEN MALTA R&D LTD.,"Nov 23, 2016",
Edin Buljubasic,Judicial Representatives,C 78276,ALVOGEN MALTA R&D LTD.,"Nov 23, 2016",
Edin Buljubasic,Secretaries,C 78276,ALVOGEN MALTA R&D LTD.,"Nov 23, 2016",
ZELJKO MILJKOVIC,Legal Representatives,C 53211,BSP TRADING LIMITED,"Jun 22, 2011",
ZELJKO MILJKOVIC,Judicial Representatives,C 53211,BSP TRADING LIMITED,"Jun 22, 2011",
ZELJKO MILJKOVIC,Directors,C 53211,BSP TRADING LIMITED,"Jun 22, 2011",
Edin Buljubasic,Legal Representatives,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
Edin Buljubasic,Directors,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
Edin Buljubasic,Judicial Representatives,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
Edin Buljubasic,Secretaries,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
Edin Buljubasic,Secretaries,C 61962,Alvogen Pharma Limited,"Sep 19, 2013",
Edin Buljubasic,Legal Representatives,C 75429,ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD,"Apr 28, 2016",
Edin Buljubasic,Directors,C 75429,ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD,"Apr 28, 2016",
Edin Buljubasic,Judicial Representatives,C 75429,ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD,"Apr 28, 2016",
Edin Buljubasic,Secretaries,C 75429,ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD,"Apr 28, 2016",
Edin Buljubasic,Legal Representatives,C 76471,ALVOGEN MALTA GROUP SERVICES LIMITED,"Jul 15, 2016",
Edin Buljubasic,Directors,C 76471,ALVOGEN MALTA GROUP SERVICES LIMITED,"Jul 15, 2016",
Edin Buljubasic,Judicial Representatives,C 76471,ALVOGEN MALTA GROUP SERVICES LIMITED,"Jul 15, 2016",
Edin Buljubasic,Secretaries,C 76471,ALVOGEN MALTA GROUP SERVICES LIMITED,"Jul 15, 2016",
ADISA BALDACCHINO,Legal Representatives,C 71225,BEAUTY STYLE LIMITED,"Jun 26, 2015",
ADISA BALDACCHINO,Directors,C 71225,BEAUTY STYLE LIMITED,"Jun 26, 2015",
ADISA BALDACCHINO,Judicial Representatives,C 71225,BEAUTY STYLE LIMITED,"Jun 26, 2015",
ADISA BALDACCHINO,Secretaries,C 71225,BEAUTY STYLE LIMITED,"Jun 26, 2015",
ADISA BALDACCHINO,Shareholders,C 71225,BEAUTY STYLE LIMITED,"Jun 26, 2015",
Edin Buljubasic,Secretaries,C 62331,ALVOGEN DEVELOPMENT LIMITED,"Feb 18, 2014",
