name,type,company_id,company_name,registration_date,status
LUCIANO DE MELO FIGUEIREDO,Legal Representatives,C 76607,BENVILLE PROPERTIES LIMITED,"Aug 26, 2016",
LUCIANO DE MELO FIGUEIREDO,Directors,C 76607,BENVILLE PROPERTIES LIMITED,"Aug 26, 2016",
LUCIANO DE MELO FIGUEIREDO,Judicial Representatives,C 76607,BENVILLE PROPERTIES LIMITED,"Aug 26, 2016",
ANDRE LA SAIGNE DE BOTTON,Legal Representatives,C 77341,BOA ESPERANCA LTD,"Sep 22, 2016",
ANDRE LA SAIGNE DE BOTTON,Directors,C 77341,BOA ESPERANCA LTD,"Sep 22, 2016",
ANDRE LA SAIGNE DE BOTTON,Judicial Representatives,C 77341,BOA ESPERANCA LTD,"Sep 22, 2016",
ELTON DA ROCHA TEIXEIRA JUNIOR,Legal Representatives,C 78921,BREVAL GROUP HOLDING LTD,"Dec 30, 2016",
ELTON DA ROCHA TEIXEIRA JUNIOR,Directors,C 78921,BREVAL GROUP HOLDING LTD,"Dec 30, 2016",
ELTON DA ROCHA TEIXEIRA JUNIOR,Judicial Representatives,C 78921,BREVAL GROUP HOLDING LTD,"Dec 30, 2016",
ELTON DA ROCHA TEIXEIRA JUNIOR,Shareholders,C 78921,BREVAL GROUP HOLDING LTD,"Dec 30, 2016",
Valmir De Freitas Junior,Secretaries,C 6859,BELFIORE LIMITED,Company Status,In Dissolution
Rubens Mario SILVA DOS SANTOS,Shareholders,C 6859,BELFIORE LIMITED,Company Status,In Dissolution
HERMANY ANDRADE JUNIOR,Legal Representatives,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
RICARDO SAUD,Legal Representatives,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
HERMANY ANDRADE JUNIOR,Shareholders,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
RICARDO SAUD,Shareholders,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
HERMANY ANDRADE JUNIOR,Judicial Representatives,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
RICARDO SAUD,Judicial Representatives,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
HERMANY ANDRADE JUNIOR,Directors,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
RICARDO SAUD,Directors,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
SOURAYA TOUFIC MOUKHEIBER RADWAN,Legal Representatives,C 44003,AMICORP MALTA LIMITED,"Apr 10, 2008",
SOURAYA TOUFIC MOUKHEIBER RADWAN,Judicial Representatives,C 44003,AMICORP MALTA LIMITED,"Apr 10, 2008",
