name,type,company_id,company_name,registration_date,status
CATHERINE BAXTER,Legal Representatives,OC 649,BELLEVILLE LTD,"Aug 14, 2012",
CATHERINE BAXTER,Directors,OC 649,BELLEVILLE LTD,"Aug 14, 2012",
CATHERINE BAXTER,Judicial Representatives,OC 649,BELLEVILLE LTD,"Aug 14, 2012",
CATHERINE BAXTER,Local Representatives,OC 649,BELLEVILLE LTD,"Aug 14, 2012",
JOHN ARTHUR BASSADONE,Legal Representatives,C 6702,ARNA TRADING CO LTD ( D 3453 ),Company Status,In Dissolution
JOHN ARTHUR BASSADONE,Directors,C 6702,ARNA TRADING CO LTD ( D 3453 ),Company Status,In Dissolution
JOHN ARTHUR BASSADONE,Judicial Representatives,C 6702,ARNA TRADING CO LTD ( D 3453 ),Company Status,In Dissolution
MARK HUNTLEY,Legal Representatives,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
MARK HUNTLEY,Judicial Representatives,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
MARK HUNTLEY,Directors,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
MICHAEL JOHN BLANDY,Legal Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
STEWART WALKER,Legal Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
PHILIP JOHN WILES,Legal Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
ANDREW JOHN FRANCIS STEBBINGS & JOHN CHARLES GOODCHILD,Shareholders,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
MICHAEL JOHN BLANDY,Judicial Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
STEWART WALKER,Judicial Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
PHILIP JOHN WILES,Judicial Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
MICHAEL JOHN BLANDY,Directors,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
STEWART WALKER,Directors,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
PHILIP JOHN WILES,Directors,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
KATE BENTLEY,Secretaries,C 73791,BERESFORD FINANCE LIMITED,"Dec 30, 2015",
RICHARD A CLELAND,Legal Representatives,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
RICHARD A CLELAND,Shareholders,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
RICHARD A CLELAND,Judicial Representatives,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
RICHARD A CLELAND,Directors,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
RICHARD A CLELAND,Secretaries,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
ISSAM A.S. ALSABBAN,Shareholders,C 74879,BLUE FUN COMPANY LIMITED,"Mar 21, 2016",
PAUL ANTHONY BODEL,Shareholders,P 1163,BODEL,"Aug 02, 2008",
VENUGOPALAN MURALIDHARAN,Legal Representatives,C 2450,APLAN LIMITED,Company Status,
VENUGOPALAN MURALIDHARAN,Judicial Representatives,C 2450,APLAN LIMITED,Company Status,
VENUGOPALAN MURALIDHARAN,Directors,C 2450,APLAN LIMITED,Company Status,
Paul Gostelow,Secretaries,C 62922,A.G. Inc International Ltd,"Dec 04, 2013",
HAYDEN PHILIP LEE,Legal Representatives,C 41276,BR ASIA (MALTA) III LTD,"Apr 30, 2007",
HAYDEN PHILIP LEE,Judicial Representatives,C 41276,BR ASIA (MALTA) III LTD,"Apr 30, 2007",
HAYDEN PHILIP LEE,Directors,C 41276,BR ASIA (MALTA) III LTD,"Apr 30, 2007",
GREGORY BRIAN BETTRIDGE,Legal Representatives,C 41970,Bayton Ltd,"Jul 27, 2007",
MALCOLM JAMIESON,Legal Representatives,C 41970,Bayton Ltd,"Jul 27, 2007",
GREGORY BRIAN BETTRIDGE,Judicial Representatives,C 41970,Bayton Ltd,"Jul 27, 2007",
MALCOLM JAMIESON,Judicial Representatives,C 41970,Bayton Ltd,"Jul 27, 2007",
GREGORY BRIAN BETTRIDGE,Directors,C 41970,Bayton Ltd,"Jul 27, 2007",
MALCOLM JAMIESON,Directors,C 41970,Bayton Ltd,"Jul 27, 2007",
PARIS BADEKAS,Legal Representatives,C 73991,AOYAMA LTD,"Jan 19, 2016",
PARIS BADEKAS,Directors,C 73991,AOYAMA LTD,"Jan 19, 2016",
PARIS BADEKAS,Judicial Representatives,C 73991,AOYAMA LTD,"Jan 19, 2016",
PARIS BADEKAS,Secretaries,C 73991,AOYAMA LTD,"Jan 19, 2016",
ANDREW STUART ALDERSON,Legal Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
MICHAEL HENRY GIBLIN,Legal Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
HELEN THASOS KING,Legal Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
CHRISTOPHER JOHN WISE,Legal Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
ANDREW STUART ALDERSON,Directors,C 326,AUTORENTALS CO. LIMITED,Company Status,
MICHAEL HENRY GIBLIN,Directors,C 326,AUTORENTALS CO. LIMITED,Company Status,
HELEN THASOS KING,Directors,C 326,AUTORENTALS CO. LIMITED,Company Status,
CHRISTOPHER JOHN WISE,Directors,C 326,AUTORENTALS CO. LIMITED,Company Status,
ANDREW STUART ALDERSON,Judicial Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
MICHAEL HENRY GIBLIN,Judicial Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
HELEN THASOS KING,Judicial Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
CHRISTOPHER JOHN WISE,Judicial Representatives,C 326,AUTORENTALS CO. LIMITED,Company Status,
Sarah Louise Petre-Mears,Shareholders,C 36571,ARSENAL GROUP LIMITED,"Jul 04, 2005",
KEVIN BRETT DEAN,Legal Representatives,C 40912,AllEvents Malta Ltd,"Mar 05, 2007",
KEVIN BRETT DEAN,Directors,C 40912,AllEvents Malta Ltd,"Mar 05, 2007",
KEVIN BRETT DEAN,Judicial Representatives,C 40912,AllEvents Malta Ltd,"Mar 05, 2007",
Martin Thomas Smith,Secretaries,C 40912,AllEvents Malta Ltd,"Mar 05, 2007",
