name,type,company_id,company_name,registration_date,status
LYUBOMIR STEFANOV STEFANOV,Legal Representatives,C 78484,AZURE SPORTS LTD,"Dec 06, 2016",
LYUBOMIR STEFANOV STEFANOV,Directors,C 78484,AZURE SPORTS LTD,"Dec 06, 2016",
LYUBOMIR STEFANOV STEFANOV,Judicial Representatives,C 78484,AZURE SPORTS LTD,"Dec 06, 2016",
LYUBOMIR STEFANOV STEFANOV,Secretaries,C 78484,AZURE SPORTS LTD,"Dec 06, 2016",
LYUBOMIR STEFANOV STEFANOV,Shareholders,C 78484,AZURE SPORTS LTD,"Dec 06, 2016",
EMIL KARDALEV,Legal Representatives,C 46068,BALEV LIMITED,"Jan 20, 2009",
DIMITAR HRISTOV BALEV,Shareholders,C 46068,BALEV LIMITED,"Jan 20, 2009",
EMIL KARDALEV,Judicial Representatives,C 46068,BALEV LIMITED,"Jan 20, 2009",
EMIL KARDALEV,Directors,C 46068,BALEV LIMITED,"Jan 20, 2009",
EMIL KARDALEV,Secretaries,C 46068,BALEV LIMITED,"Jan 20, 2009",
MITKO TODOROV,Legal Representatives,C 80836,ALTABET LIMITED,"May 10, 2017",
MITKO TODOROV,Directors,C 80836,ALTABET LIMITED,"May 10, 2017",
MITKO TODOROV,Judicial Representatives,C 80836,ALTABET LIMITED,"May 10, 2017",
MITKO TODOROV,Secretaries,C 80836,ALTABET LIMITED,"May 10, 2017",
BRANIMIR BARUH MAGRISO,Legal Representatives,C 61921,ANAKATECH GAMES LIMITED,"Sep 17, 2013",
BRANIMIR BARUH MAGRISO,Judicial Representatives,C 61921,ANAKATECH GAMES LIMITED,"Sep 17, 2013",
BRANIMIR BARUH MAGRISO,Directors,C 61921,ANAKATECH GAMES LIMITED,"Sep 17, 2013",
VALENTIN GRUEV GRIGOROV,Legal Representatives,C 25698,BRITISH JET LTD,"Jan 07, 2000",
VALENTIN GRUEV GRIGOROV,Directors,C 25698,BRITISH JET LTD,"Jan 07, 2000",
VALENTIN GRUEV GRIGOROV,Judicial Representatives,C 25698,BRITISH JET LTD,"Jan 07, 2000",
ANETA IVANOVA DIMITROVA,Legal Representatives,C 71170,BPH LTD,"Jun 23, 2015",In Dissolution
ANETA IVANOVA DIMITROVA,Shareholders,C 71170,BPH LTD,"Jun 23, 2015",In Dissolution
ANETA IVANOVA DIMITROVA,Judicial Representatives,C 71170,BPH LTD,"Jun 23, 2015",In Dissolution
ANETA IVANOVA DIMITROVA,Directors,C 71170,BPH LTD,"Jun 23, 2015",In Dissolution
ILIANA MITKOVA GATEVA-YONCHEVA,Legal Representatives,C 73039,BLACK SEA ASSETS COMPANY LIMITED,"Nov 12, 2015",In Dissolution
ILIANA MITKOVA GATEVA-YONCHEVA,Directors,C 73039,BLACK SEA ASSETS COMPANY LIMITED,"Nov 12, 2015",In Dissolution
ILIANA MITKOVA GATEVA-YONCHEVA,Judicial Representatives,C 73039,BLACK SEA ASSETS COMPANY LIMITED,"Nov 12, 2015",In Dissolution
NELI BANKOVA,Legal Representatives,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
RALITSA BANKOVA,Legal Representatives,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
NELI BANKOVA,Shareholders,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
RALITSA BANKOVA,Shareholders,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
NELI BANKOVA,Judicial Representatives,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
RALITSA BANKOVA,Judicial Representatives,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
NELI BANKOVA,Directors,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
RALITSA BANKOVA,Directors,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
NELI BANKOVA,Secretaries,C 35286,B & M INTERNATIONAL LIMITED,"Dec 21, 2004",
LYUDMIL DIMITROV,Legal Representatives,C 18321,BOGDAN MARITIME LTD,"Apr 20, 1995",
LYUDMIL DIMITROV,Directors,C 18321,BOGDAN MARITIME LTD,"Apr 20, 1995",
LYUDMIL DIMITROV,Judicial Representatives,C 18321,BOGDAN MARITIME LTD,"Apr 20, 1995",
IVO KAMENOV GEORGIEV,Legal Representatives,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
MARIN VELIKOV MITEV,Legal Representatives,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
IVO KAMENOV GEORGIEV,Directors,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
MARIN VELIKOV MITEV,Directors,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
IVO KAMENOV GEORGIEV,Judicial Representatives,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
MARIN VELIKOV MITEV,Judicial Representatives,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
IVO KAMENOV GEORGIEV,Shareholders,C 30236,ARROGANCE SHIPPING LTD,"Sep 20, 2002",
DMITRY VASILOV ANGELOV,Shareholders,P 1620,ALLIED CONTRACTING,"Feb 09, 2016",
MARTIN KRASIMIROV SIMEONOV,Legal Representatives,C 44694,BALKANBET LTD,"Jul 11, 2008",
MARTIN KRASIMIROV SIMEONOV,Shareholders,C 44694,BALKANBET LTD,"Jul 11, 2008",
MARTIN KRASIMIROV SIMEONOV,Judicial Representatives,C 44694,BALKANBET LTD,"Jul 11, 2008",
MARTIN KRASIMIROV SIMEONOV,Directors,C 44694,BALKANBET LTD,"Jul 11, 2008",
Hristo Dimitrov,Secretaries,C 44694,BALKANBET LTD,"Jul 11, 2008",
ZLATINA MINEVA,Legal Representatives,P 1177,AMRITA,"Nov 26, 2008",
ZLATINA MINEVA,Directors,P 1177,AMRITA,"Nov 26, 2008",
ZLATINA MINEVA,Judicial Representatives,P 1177,AMRITA,"Nov 26, 2008",
ZLATINA MINEVA,Shareholders,P 1177,AMRITA,"Nov 26, 2008",
VALENTIN GRUEV GRIGOROV,Legal Representatives,C 6631,BRITISH SHOE STORE LIMITED,Company Status,
VALENTIN GRUEV GRIGOROV,Directors,C 6631,BRITISH SHOE STORE LIMITED,Company Status,
VALENTIN GRUEV GRIGOROV,Judicial Representatives,C 6631,BRITISH SHOE STORE LIMITED,Company Status,
BRANIMIR BARUH MAGRISO,Legal Representatives,C 61918,Anakatech Interactive Limited,"Sep 17, 2013",
BRANIMIR BARUH MAGRISO,Judicial Representatives,C 61918,Anakatech Interactive Limited,"Sep 17, 2013",
BRANIMIR BARUH MAGRISO,Directors,C 61918,Anakatech Interactive Limited,"Sep 17, 2013",
KIRCHO MITROV,Shareholders,C 55899,ANTAGOX INVESTMENTS LIMITED,"Apr 05, 2012",
ALYONA POLUYANOVA,Legal Representatives,C 77797,ASV SPORT LIMITED,"Oct 25, 2016",
ALYONA POLUYANOVA,Directors,C 77797,ASV SPORT LIMITED,"Oct 25, 2016",
ALYONA POLUYANOVA,Judicial Representatives,C 77797,ASV SPORT LIMITED,"Oct 25, 2016",
TODOR ZAHARIEV,Legal Representatives,C 58265,AMUSNET GAMING LIMITED,"Nov 20, 2012",
TODOR ZAHARIEV,Judicial Representatives,C 58265,AMUSNET GAMING LIMITED,"Nov 20, 2012",
TODOR ZAHARIEV,Directors,C 58265,AMUSNET GAMING LIMITED,"Nov 20, 2012",
YORDANKA DIMITROVA IVANOVA,Legal Representatives,C 66982,BABA KEBAP LIMITED,"Oct 07, 2014",
YORDANKA DIMITROVA IVANOVA,Directors,C 66982,BABA KEBAP LIMITED,"Oct 07, 2014",
