name,type,company_id,company_name,registration_date,status
RAYMOND GEORGES LABORIE,Shareholders,C 81057,ARAVIS LIMITED,"May 25, 2017",
ATEF EL KADI,Legal Representatives,C 72522,BEACON CONSULTANCY LTD,"Oct 06, 2015",
ATEF EL KADI,Directors,C 72522,BEACON CONSULTANCY LTD,"Oct 06, 2015",
ATEF EL KADI,Judicial Representatives,C 72522,BEACON CONSULTANCY LTD,"Oct 06, 2015",
ALAIN DORE,Legal Representatives,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
MARC LANGLOIS,Legal Representatives,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
FRANCOIS OUELLETTE,Legal Representatives,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
ALAIN DORE,Directors,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
MARC LANGLOIS,Directors,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
FRANCOIS OUELLETTE,Directors,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
ALAIN DORE,Judicial Representatives,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
MARC LANGLOIS,Judicial Representatives,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
FRANCOIS OUELLETTE,Judicial Representatives,OC 777,BOMBARDIER AEROSPACE SERVICES LIMITED,"Feb 13, 2014",
CONCETTO MELITA,Legal Representatives,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
CONCETTO MELITA,Directors,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
CONCETTO MELITA,Judicial Representatives,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
CONCETTO MELITA,Secretaries,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
CONCETTO MELITA,Shareholders,C 79137,ASPECT INTERNATIONAL LIMITED,"Jan 17, 2017",
HORATIU AUREL DUMITRESCU,Legal Representatives,C 34468,ARIES SHIPPING CO. LTD.,"Aug 17, 2004",
HORATIU AUREL DUMITRESCU,Judicial Representatives,C 34468,ARIES SHIPPING CO. LTD.,"Aug 17, 2004",
HORATIU AUREL DUMITRESCU,Directors,C 34468,ARIES SHIPPING CO. LTD.,"Aug 17, 2004",
