name,type,company_id,company_name,registration_date,status
Chensheng Yang,Legal Representatives,C 4304,BELLEVIEW LIMITED,Company Status,
LIU XIANG,Shareholders,C 4304,BELLEVIEW LIMITED,Company Status,
Chensheng Yang,Shareholders,C 4304,BELLEVIEW LIMITED,Company Status,
Chensheng Yang,Judicial Representatives,C 4304,BELLEVIEW LIMITED,Company Status,
Chensheng Yang,Directors,C 4304,BELLEVIEW LIMITED,Company Status,
Chensheng Yang,Secretaries,C 4304,BELLEVIEW LIMITED,Company Status,
Chensheng Yang,Legal Representatives,C 7722,BELLEROPHON SHIPPING COMP. LTD.,Company Status,
LIU XIANG,Shareholders,C 7722,BELLEROPHON SHIPPING COMP. LTD.,Company Status,
Chensheng Yang,Shareholders,C 7722,BELLEROPHON SHIPPING COMP. LTD.,Company Status,
Chensheng Yang,Judicial Representatives,C 7722,BELLEROPHON SHIPPING COMP. LTD.,Company Status,
Chensheng Yang,Directors,C 7722,BELLEROPHON SHIPPING COMP. LTD.,Company Status,
Chensheng Yang,Secretaries,C 7722,BELLEROPHON SHIPPING COMP. LTD.,Company Status,
KAI LUN WONG,Shareholders,C 79013,ASIAN ARK TECHNOLOGIES LIMITED,"Jan 11, 2017",
ZHONGHUA AN,Directors,C 30948,BAT INTERNATIONAL TRADING COMPANY LIMITED,"Feb 06, 2003",
LIN HAN,Directors,C 30948,BAT INTERNATIONAL TRADING COMPANY LIMITED,"Feb 06, 2003",
ZHONGHUA AN,Judicial Representatives,C 30948,BAT INTERNATIONAL TRADING COMPANY LIMITED,"Feb 06, 2003",
LIN HAN,Judicial Representatives,C 30948,BAT INTERNATIONAL TRADING COMPANY LIMITED,"Feb 06, 2003",
ZHONGHUA AN,Secretaries,C 30948,BAT INTERNATIONAL TRADING COMPANY LIMITED,"Feb 06, 2003",
DU XIAOYING,Shareholders,C 69545,AQblue Limited,"Mar 13, 2015",
YONG QIAN,Legal Representatives,C 22651,BLUE ROOM CATERING LIMITED,"Mar 12, 1998",
YONG QIAN,Shareholders,C 22651,BLUE ROOM CATERING LIMITED,"Mar 12, 1998",
YONG QIAN,Judicial Representatives,C 22651,BLUE ROOM CATERING LIMITED,"Mar 12, 1998",
YONG QIAN,Directors,C 22651,BLUE ROOM CATERING LIMITED,"Mar 12, 1998",
ZHONG MIN,Legal Representatives,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
ZHANG MEILING,Directors,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
ZHONG MIN,Directors,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
ZHONG MIN,Judicial Representatives,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
ZHANG MEILING,Secretaries,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
ZHANG MEILING,Shareholders,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
ZHONG MIN,Shareholders,C 35689,BEKELING INTERNATIONAL TRADING COMPANY LIMITED,"Feb 21, 2005",
DANYANG SHAN,Legal Representatives,C 72092,BEISEN INTERNATIONAL LIMITED,"Sep 01, 2015",
DANYANG SHAN,Directors,C 72092,BEISEN INTERNATIONAL LIMITED,"Sep 01, 2015",
DANYANG SHAN,Judicial Representatives,C 72092,BEISEN INTERNATIONAL LIMITED,"Sep 01, 2015",
KUN HE,Secretaries,C 72092,BEISEN INTERNATIONAL LIMITED,"Sep 01, 2015",
Da Zhang,Legal Representatives,C 79935,Brownstone Management Limited,"Mar 14, 2017",
Da Zhang,Directors,C 79935,Brownstone Management Limited,"Mar 14, 2017",
Da Zhang,Judicial Representatives,C 79935,Brownstone Management Limited,"Mar 14, 2017",
Da Zhang,Secretaries,C 79935,Brownstone Management Limited,"Mar 14, 2017",
Yulan Hu,Shareholders,C 79935,Brownstone Management Limited,"Mar 14, 2017",
Jun Sun,Shareholders,C 79935,Brownstone Management Limited,"Mar 14, 2017",
