name,type,company_id,company_name,registration_date,status
TATIANA GARCIA BARRENECHEA,Secretaries,C 36743,BETTING INTERNATIONAL LIMITED,"Aug 04, 2005",
LAURA ALVARADO SEGURA,Legal Representatives,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
JAIME AVILA SEGURA,Legal Representatives,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
LAURA ALVARADO SEGURA,Directors,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
JAIME AVILA SEGURA,Directors,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
LAURA ALVARADO SEGURA,Judicial Representatives,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
JAIME AVILA SEGURA,Judicial Representatives,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
JAIME AVILA SEGURA,Secretaries,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
JOSE ALFREDO ALVARADO CAMPOS,Shareholders,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
JAIME AVILA SEGURA,Shareholders,C 45060,ATASTA TELEMARKETING LTD,"Sep 04, 2008",
EDUARDO ALFONSO CORTES CHINCHILLA,Legal Representatives,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
MAURICIO CORTES CHINCHILLA,Legal Representatives,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
EDUARDO ALFONSO CORTES CHINCHILLA,Directors,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
MAURICIO CORTES CHINCHILLA,Directors,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
EDUARDO ALFONSO CORTES CHINCHILLA,Judicial Representatives,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
MAURICIO CORTES CHINCHILLA,Judicial Representatives,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
MAURICIO CORTES CHINCHILLA,Secretaries,C 37734,BLAST OFF LIMITED,"Dec 29, 2005",
FRANCISCO ARTURO BLANCO MOLINA,Legal Representatives,C 76584,BMF INVESTMENTS LTD,"Jul 25, 2016",
FRANCISCO ARTURO BLANCO MOLINA,Directors,C 76584,BMF INVESTMENTS LTD,"Jul 25, 2016",
FRANCISCO ARTURO BLANCO MOLINA,Judicial Representatives,C 76584,BMF INVESTMENTS LTD,"Jul 25, 2016",
FRANCISCO ARTURO BLANCO MOLINA,Secretaries,C 76584,BMF INVESTMENTS LTD,"Jul 25, 2016",
FRANCISCO ARTURO BLANCO MOLINA,Shareholders,C 76584,BMF INVESTMENTS LTD,"Jul 25, 2016",
GLEN SERRANO CURTIS,Legal Representatives,C 63095,AXIOM SOLUTIONS LTD,"Dec 12, 2013",
GLEN SERRANO CURTIS,Shareholders,C 63095,AXIOM SOLUTIONS LTD,"Dec 12, 2013",
GLEN SERRANO CURTIS,Judicial Representatives,C 63095,AXIOM SOLUTIONS LTD,"Dec 12, 2013",
GLEN SERRANO CURTIS,Directors,C 63095,AXIOM SOLUTIONS LTD,"Dec 12, 2013",
GLEN SERRANO CURTIS,Secretaries,C 63095,AXIOM SOLUTIONS LTD,"Dec 12, 2013",
JORGE HERNANDEZ CARRILLO,Legal Representatives,C 64740,AXXON INTERNATIONAL LTD,"Apr 17, 2014",
JORGE HERNANDEZ CARRILLO,Directors,C 64740,AXXON INTERNATIONAL LTD,"Apr 17, 2014",
JORGE HERNANDEZ CARRILLO,Judicial Representatives,C 64740,AXXON INTERNATIONAL LTD,"Apr 17, 2014",
MAURICIO GATGENS GOMEZ,Secretaries,C 64740,AXXON INTERNATIONAL LTD,"Apr 17, 2014",
JORGE HERNANDEZ CARRILLO,Shareholders,C 64740,AXXON INTERNATIONAL LTD,"Apr 17, 2014",
