name,type,company_id,company_name,registration_date,status
MARIO ADAMEC,Directors,C 20254,ANNA IRENA SHIPPING CO LTD,"Jun 11, 1996",
TOMISLAV SOSTARIC,Directors,C 20254,ANNA IRENA SHIPPING CO LTD,"Jun 11, 1996",
MARIO ADAMEC,Shareholders,C 20254,ANNA IRENA SHIPPING CO LTD,"Jun 11, 1996",
TOMISLAV SOSTARIC,Shareholders,C 20254,ANNA IRENA SHIPPING CO LTD,"Jun 11, 1996",
JUROSLAV BULJUBASIC,Shareholders,C 50558,Blue Line Navigation (Malta) Limited,"Sep 02, 2010",
NATASA VUKOVIC,Shareholders,C 50558,Blue Line Navigation (Malta) Limited,"Sep 02, 2010",
MARKO JUG-DUJAKOVIC,Legal Representatives,C 46768,BRELLINGTON YACHTING LIMITED,"May 07, 2009",
MARKO JUG-DUJAKOVIC,Directors,C 46768,BRELLINGTON YACHTING LIMITED,"May 07, 2009",
MARKO JUG-DUJAKOVIC,Judicial Representatives,C 46768,BRELLINGTON YACHTING LIMITED,"May 07, 2009",
IVAN MATEJAK,Legal Representatives,C 56719,BEEZWAY HOLDINGS LIMITED,"Jun 19, 2012",
IVAN MATEJAK,Directors,C 56719,BEEZWAY HOLDINGS LIMITED,"Jun 19, 2012",
IVAN MATEJAK,Judicial Representatives,C 56719,BEEZWAY HOLDINGS LIMITED,"Jun 19, 2012",
LILJANA KNEZEVIC,Directors,C 26397,BENTRADE LIMITED,"May 17, 2000",
LILJANA KNEZEVIC,Secretaries,C 26397,BENTRADE LIMITED,"May 17, 2000",
BRANIMIR KOVACIC,Legal Representatives,C 22794,ARCH MARITIME LIMITED,"Apr 16, 1998",In Dissolution
MATKO VICELIC,Legal Representatives,C 22794,ARCH MARITIME LIMITED,"Apr 16, 1998",In Dissolution
BRANIMIR KOVACIC,Judicial Representatives,C 22794,ARCH MARITIME LIMITED,"Apr 16, 1998",In Dissolution
MATKO VICELIC,Judicial Representatives,C 22794,ARCH MARITIME LIMITED,"Apr 16, 1998",In Dissolution
BRANIMIR KOVACIC,Directors,C 22794,ARCH MARITIME LIMITED,"Apr 16, 1998",In Dissolution
MATKO VICELIC,Directors,C 22794,ARCH MARITIME LIMITED,"Apr 16, 1998",In Dissolution
DRAGAN JOSIPOVIC,Legal Representatives,C 24620,BISTON CO. LIMITED,"May 26, 1999",
NINO JOSIPOVIC,Legal Representatives,C 24620,BISTON CO. LIMITED,"May 26, 1999",
DRAGAN JOSIPOVIC,Shareholders,C 24620,BISTON CO. LIMITED,"May 26, 1999",
NINO JOSIPOVIC,Shareholders,C 24620,BISTON CO. LIMITED,"May 26, 1999",
DRAGAN JOSIPOVIC,Judicial Representatives,C 24620,BISTON CO. LIMITED,"May 26, 1999",
NINO JOSIPOVIC,Judicial Representatives,C 24620,BISTON CO. LIMITED,"May 26, 1999",
DRAGAN JOSIPOVIC,Directors,C 24620,BISTON CO. LIMITED,"May 26, 1999",
NINO JOSIPOVIC,Directors,C 24620,BISTON CO. LIMITED,"May 26, 1999",
DARKO MARINAC,Shareholders,C 41765,APPLE LIMITED,"Jun 28, 2007",
SASA ROMAC,Shareholders,C 41765,APPLE LIMITED,"Jun 28, 2007",
ZDRAVKO SESTAK,Shareholders,C 41765,APPLE LIMITED,"Jun 28, 2007",
MIJO SLISKO,Legal Representatives,C 71265,BETAGO HOLDING LTD,"Jul 02, 2015",
MIJO SLISKO,Directors,C 71265,BETAGO HOLDING LTD,"Jul 02, 2015",
MIJO SLISKO,Judicial Representatives,C 71265,BETAGO HOLDING LTD,"Jul 02, 2015",
MIJO SLISKO,Shareholders,C 71265,BETAGO HOLDING LTD,"Jul 02, 2015",
TATJANA AKIK,Legal Representatives,C 80242,BEST PROPERTY BUYERS LIMITED,"Mar 30, 2017",
TATJANA AKIK,Directors,C 80242,BEST PROPERTY BUYERS LIMITED,"Mar 30, 2017",
TATJANA AKIK,Judicial Representatives,C 80242,BEST PROPERTY BUYERS LIMITED,"Mar 30, 2017",
TATJANA AKIK,Shareholders,C 80242,BEST PROPERTY BUYERS LIMITED,"Mar 30, 2017",
SANJA GUC,Shareholders,C 75866,A&A GLOBAL VENTURES LIMITED,"May 31, 2016",
ALEKSANDAR LUKIC,Legal Representatives,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
BOJAN STANKOVIC,Legal Representatives,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
ALEKSANDAR LUKIC,Directors,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
BOJAN STANKOVIC,Directors,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
ALEKSANDAR LUKIC,Judicial Representatives,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
BOJAN STANKOVIC,Judicial Representatives,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
ALEKSANDAR LUKIC,Shareholders,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
BOJAN STANKOVIC,Shareholders,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
BOJAN STANKOVIC,Secretaries,C 74512,BREAK BULK CARGO SERVICE LTD,"Feb 25, 2016",
TATJANA AKIK,Directors,C 36885,BRIDGE REAL ESTATE LTD,"Sep 02, 2005",
ZELJKO TIPURIC,Shareholders,C 58609,ALTERNATIVE ASSET PARTNERS INTERNATIONAL LIMITED,"Dec 14, 2012",In Dissolution
MILIN GORAN,Legal Representatives,C 34364,ANASTASIA MARITIME LTD,"Jul 27, 2004",
JOHN KARAVANIC,Legal Representatives,C 34364,ANASTASIA MARITIME LTD,"Jul 27, 2004",
PETAR KRAGIC,Legal Representatives,C 34364,ANASTASIA MARITIME LTD,"Jul 27, 2004",
MILIN GORAN,Directors,C 34364,ANASTASIA MARITIME LTD,"Jul 27, 2004",
