name,type,company_id,company_name,registration_date,status
MICHAEL CHRISTAKIS,Legal Representatives,C 56314,BOMBA GAMES LTD,"May 14, 2012",
MICHAEL CHRISTAKIS,Judicial Representatives,C 56314,BOMBA GAMES LTD,"May 14, 2012",
MICHAEL CHRISTAKIS,Directors,C 56314,BOMBA GAMES LTD,"May 14, 2012",
COSTAS HADJIMICHALAKIS,Secretaries,C 70419,AT GAMING LTD,"May 05, 2015",
THEMIS PAPADOPOULOS,Legal Representatives,C 65313,BALTIC SWIFT SHIPPING COMPANY LIMITED,"May 26, 2014",
SAVVAS THEOFILIDIS,Legal Representatives,C 65313,BALTIC SWIFT SHIPPING COMPANY LIMITED,"May 26, 2014",
THEMIS PAPADOPOULOS,Directors,C 65313,BALTIC SWIFT SHIPPING COMPANY LIMITED,"May 26, 2014",
SAVVAS THEOFILIDIS,Directors,C 65313,BALTIC SWIFT SHIPPING COMPANY LIMITED,"May 26, 2014",
THEMIS PAPADOPOULOS,Judicial Representatives,C 65313,BALTIC SWIFT SHIPPING COMPANY LIMITED,"May 26, 2014",
SAVVAS THEOFILIDIS,Judicial Representatives,C 65313,BALTIC SWIFT SHIPPING COMPANY LIMITED,"May 26, 2014",
COSTAKIS ALEXANDROU,Legal Representatives,C 65237,APPNEXT LIMITED,"May 21, 2014",
COSTAKIS ALEXANDROU,Judicial Representatives,C 65237,APPNEXT LIMITED,"May 21, 2014",
COSTAKIS ALEXANDROU,Directors,C 65237,APPNEXT LIMITED,"May 21, 2014",
ELENI CHARALAMBOUS,Secretaries,C 56691,ANAHITA & ARTIMISA LIMITED,"Jun 15, 2012",
ANATOLY DOROFEEV,Legal Representatives,C 3786,ASTORIA LIMITED,Company Status,
MARINA DOROFEEVA,Legal Representatives,C 3786,ASTORIA LIMITED,Company Status,
ANATOLY DOROFEEV,Judicial Representatives,C 3786,ASTORIA LIMITED,Company Status,
MARINA DOROFEEVA,Judicial Representatives,C 3786,ASTORIA LIMITED,Company Status,
ANATOLY DOROFEEV,Directors,C 3786,ASTORIA LIMITED,Company Status,
MARINA DOROFEEVA,Directors,C 3786,ASTORIA LIMITED,Company Status,
MARINA DOROFEEVA,Secretaries,C 3786,ASTORIA LIMITED,Company Status,
GEORGIOS IOANNIDES,Legal Representatives,C 42550,BERENGARIA MARITIME CO LTD,"Oct 09, 2007",
MICHAEL IOANNIDES,Legal Representatives,C 42550,BERENGARIA MARITIME CO LTD,"Oct 09, 2007",
GEORGIOS IOANNIDES,Directors,C 42550,BERENGARIA MARITIME CO LTD,"Oct 09, 2007",
MICHAEL IOANNIDES,Directors,C 42550,BERENGARIA MARITIME CO LTD,"Oct 09, 2007",
GEORGIOS IOANNIDES,Judicial Representatives,C 42550,BERENGARIA MARITIME CO LTD,"Oct 09, 2007",
MICHAEL IOANNIDES,Judicial Representatives,C 42550,BERENGARIA MARITIME CO LTD,"Oct 09, 2007",
ANNA PRAVDENKO ALEXANDROU,Legal Representatives,C 24599,AURORA HOLDINGS LIMITED,"Aug 30, 1994",
MARIA PHYLACTOU,Legal Representatives,C 24599,AURORA HOLDINGS LIMITED,"Aug 30, 1994",
ANNA PRAVDENKO ALEXANDROU,Directors,C 24599,AURORA HOLDINGS LIMITED,"Aug 30, 1994",
MARIA PHYLACTOU,Directors,C 24599,AURORA HOLDINGS LIMITED,"Aug 30, 1994",
ANNA PRAVDENKO ALEXANDROU,Judicial Representatives,C 24599,AURORA HOLDINGS LIMITED,"Aug 30, 1994",
MARIA PHYLACTOU,Judicial Representatives,C 24599,AURORA HOLDINGS LIMITED,"Aug 30, 1994",
STELIOS PITTAS,Secretaries,C 78269,BLUEFIN INVESTMENTS LIMITED,"Nov 23, 2016",
THEMIS PAPADOPOULOS,Legal Representatives,C 65311,BALTIC FREEDOM SHIPPING COMPANY LIMITED,"May 26, 2014",
SAVVAS THEOFILIDIS,Legal Representatives,C 65311,BALTIC FREEDOM SHIPPING COMPANY LIMITED,"May 26, 2014",
THEMIS PAPADOPOULOS,Directors,C 65311,BALTIC FREEDOM SHIPPING COMPANY LIMITED,"May 26, 2014",
SAVVAS THEOFILIDIS,Directors,C 65311,BALTIC FREEDOM SHIPPING COMPANY LIMITED,"May 26, 2014",
THEMIS PAPADOPOULOS,Judicial Representatives,C 65311,BALTIC FREEDOM SHIPPING COMPANY LIMITED,"May 26, 2014",
SAVVAS THEOFILIDIS,Judicial Representatives,C 65311,BALTIC FREEDOM SHIPPING COMPANY LIMITED,"May 26, 2014",
ASMIK MELIAN,Legal Representatives,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
ASMIK MELIAN,Judicial Representatives,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
ASMIK MELIAN,Directors,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
MARIOS AVRAAM,Legal Representatives,C 72780,AXIOM LTD,"Oct 23, 2015",
MARIOS AVRAAM,Directors,C 72780,AXIOM LTD,"Oct 23, 2015",
MARIOS AVRAAM,Judicial Representatives,C 72780,AXIOM LTD,"Oct 23, 2015",
MARIOS AVRAAM,Shareholders,C 72780,AXIOM LTD,"Oct 23, 2015",
COSTAS HADJIMICHALAKIS,Legal Representatives,C 77044,AZIZAM LIMITED,"Aug 30, 2016",
COSTAS HADJIMICHALAKIS,Directors,C 77044,AZIZAM LIMITED,"Aug 30, 2016",
COSTAS HADJIMICHALAKIS,Judicial Representatives,C 77044,AZIZAM LIMITED,"Aug 30, 2016",
GIORGOULLA TSIAKKIROU,Legal Representatives,C 70931,BRUNNHILDE INVEST LTD,"Jun 04, 2015",
GIORGOULLA TSIAKKIROU,Directors,C 70931,BRUNNHILDE INVEST LTD,"Jun 04, 2015",
GIORGOULLA TSIAKKIROU,Judicial Representatives,C 70931,BRUNNHILDE INVEST LTD,"Jun 04, 2015",
GIORGOULLA TSIAKKIROU,Secretaries,C 70931,BRUNNHILDE INVEST LTD,"Jun 04, 2015",
LORETTA JOANNOU,Legal Representatives,C 51060,B.A. Technologies Limited,"Nov 03, 2010",
LORETTA JOANNOU,Shareholders,C 51060,B.A. Technologies Limited,"Nov 03, 2010",
MARIA PASCHALI,Shareholders,C 51060,B.A. Technologies Limited,"Nov 03, 2010",
LORETTA JOANNOU,Judicial Representatives,C 51060,B.A. Technologies Limited,"Nov 03, 2010",
LORETTA JOANNOU,Directors,C 51060,B.A. Technologies Limited,"Nov 03, 2010",
MARIA PASCHALI,Secretaries,C 51060,B.A. Technologies Limited,"Nov 03, 2010",
CHARALAMBOS ORFANIDES,Legal Representatives,C 44305,36GAMING LIMITED,"May 23, 2008",
CHARALAMBOS ORFANIDES,Shareholders,C 44305,36GAMING LIMITED,"May 23, 2008",
CHARALAMBOS ORFANIDES,Judicial Representatives,C 44305,36GAMING LIMITED,"May 23, 2008",
CHARALAMBOS ORFANIDES,Directors,C 44305,36GAMING LIMITED,"May 23, 2008",
THEMIS PAPADOPOULOS,Legal Representatives,C 53449,BALTIC FROST SHIPPING COMPANY LIMITED,"Jul 22, 2011",
SAVVAS THEOPHILIDES,Legal Representatives,C 53449,BALTIC FROST SHIPPING COMPANY LIMITED,"Jul 22, 2011",
THEMIS PAPADOPOULOS,Directors,C 53449,BALTIC FROST SHIPPING COMPANY LIMITED,"Jul 22, 2011",
SAVVAS THEOPHILIDES,Directors,C 53449,BALTIC FROST SHIPPING COMPANY LIMITED,"Jul 22, 2011",
THEMIS PAPADOPOULOS,Judicial Representatives,C 53449,BALTIC FROST SHIPPING COMPANY LIMITED,"Jul 22, 2011",
SAVVAS THEOPHILIDES,Judicial Representatives,C 53449,BALTIC FROST SHIPPING COMPANY LIMITED,"Jul 22, 2011",
GEORGIA HADJISAVVA,Legal Representatives,C 7322,ALUMINIUM EXTRUSIONS LIMITED,Company Status,
GEORGIA HADJISAVVA,Judicial Representatives,C 7322,ALUMINIUM EXTRUSIONS LIMITED,Company Status,
GEORGIA HADJISAVVA,Directors,C 7322,ALUMINIUM EXTRUSIONS LIMITED,Company Status,
ANASTASIS KARONIAS,Shareholders,C 51560,ARTAMON TRADING LTD,"Dec 30, 2010",
SPYROS HADJIPSALTIS,Legal Representatives,C 49597,B.F.I. EUROPEAN FINANCIAL AND CONSULTING LTD,"May 10, 2010",
SPYROS HADJIPSALTIS,Judicial Representatives,C 49597,B.F.I. EUROPEAN FINANCIAL AND CONSULTING LTD,"May 10, 2010",
SPYROS HADJIPSALTIS,Directors,C 49597,B.F.I. EUROPEAN FINANCIAL AND CONSULTING LTD,"May 10, 2010",
CHRISTINA DROUSSIOTOU,Directors,C 13881,ATLANTIC OBO TRANSPORTERS LTD,"May 20, 1992",
ELECTRA EROTOCRITOU,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
SPYROS EROTOCRITOU,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
MARIA TZORTZI EPIPHANIOU,Legal Representatives,C 58573,AMATHINA HOLDINGS LIMITED,"Dec 11, 2012",In Dissolution
NIKOS NIKOLAIDES,Shareholders,C 58573,AMATHINA HOLDINGS LIMITED,"Dec 11, 2012",In Dissolution
MARIA TZORTZI EPIPHANIOU,Judicial Representatives,C 58573,AMATHINA HOLDINGS LIMITED,"Dec 11, 2012",In Dissolution
MARIA TZORTZI EPIPHANIOU,Directors,C 58573,AMATHINA HOLDINGS LIMITED,"Dec 11, 2012",In Dissolution
ELENI CHARALAMBOUS,Secretaries,C 49055,BALKAN PROPERTIES CONSULTING LIMITED,"Mar 09, 2010",
PHILIPPOS PHILIPPOU,Legal Representatives,C 65548,BLUE SAIL LIMITED,"Jun 09, 2014",
PHILIPPOS PHILIPPOU,Directors,C 65548,BLUE SAIL LIMITED,"Jun 09, 2014",
PHILIPPOS PHILIPPOU,Judicial Representatives,C 65548,BLUE SAIL LIMITED,"Jun 09, 2014",
STELIOS PITTAS,Secretaries,C 78628,BOOLEVARDE LIMITED,"Dec 14, 2016",
ANATOLY DOROFEEV,Legal Representatives,C 7040,ASTORIA HOTEL LTD,Company Status,In Dissolution
MARINA DOROFEEVA,Legal Representatives,C 7040,ASTORIA HOTEL LTD,Company Status,In Dissolution
ANATOLY DOROFEEV,Judicial Representatives,C 7040,ASTORIA HOTEL LTD,Company Status,In Dissolution
