name,type,company_id,company_name,registration_date,status
Pavel Riha,Legal Representatives,C 71308,Amenity Ltd,"Jul 08, 2015",
Pavel Riha,Directors,C 71308,Amenity Ltd,"Jul 08, 2015",
Pavel Riha,Judicial Representatives,C 71308,Amenity Ltd,"Jul 08, 2015",
Pavel Riha,Shareholders,C 71308,Amenity Ltd,"Jul 08, 2015",
MARTIN CHARVAT,Legal Representatives,C 76783,BETNYX BETTING LIMITED,"Aug 08, 2016",
MARTIN CHARVAT,Directors,C 76783,BETNYX BETTING LIMITED,"Aug 08, 2016",
MARTIN CHARVAT,Judicial Representatives,C 76783,BETNYX BETTING LIMITED,"Aug 08, 2016",
JINDRISKA MORAVCOVA,Secretaries,C 76783,BETNYX BETTING LIMITED,"Aug 08, 2016",
MARTIN CHARVAT,Shareholders,C 76783,BETNYX BETTING LIMITED,"Aug 08, 2016",
LADISLAV FRANTA,Legal Representatives,C 57474,BEXEE LIMITED,"Sep 07, 2012",
LADISLAV FRANTA,Judicial Representatives,C 57474,BEXEE LIMITED,"Sep 07, 2012",
LADISLAV FRANTA,Directors,C 57474,BEXEE LIMITED,"Sep 07, 2012",
JAN BELOHLAVEK,Shareholders,C 53632,AMARENTH LIMITED,"Aug 17, 2011",
JIRI CERVINKA,Legal Representatives,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
MARTIN CHARVAT,Legal Representatives,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
JIRI CERVINKA,Directors,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
MARTIN CHARVAT,Directors,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
JIRI CERVINKA,Judicial Representatives,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
MARTIN CHARVAT,Judicial Representatives,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
JINDRISKA MORAVCOVA,Secretaries,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
MARTIN CHARVAT,Shareholders,C 77952,APOLLO NET LIMITED,"Nov 04, 2016",
PETR CICHON,Legal Representatives,C 64886,BB GLOBAL LIMITED,"Apr 28, 2014",
PETR CICHON,Shareholders,C 64886,BB GLOBAL LIMITED,"Apr 28, 2014",
PETR CICHON,Judicial Representatives,C 64886,BB GLOBAL LIMITED,"Apr 28, 2014",
PETR CICHON,Directors,C 64886,BB GLOBAL LIMITED,"Apr 28, 2014",
JAN BLASKO,Legal Representatives,C 61836,Angel House Holding Ltd,"Sep 10, 2013",
JAN BLASKO,Shareholders,C 61836,Angel House Holding Ltd,"Sep 10, 2013",
JAN BLASKO,Judicial Representatives,C 61836,Angel House Holding Ltd,"Sep 10, 2013",
