name,type,company_id,company_name,registration_date,status
NICOLAI BORCHER HANSEN,Legal Representatives,SV 108,Aros Paradigm Master Fund SICAV plc,"Sep 28, 2009",
NICOLAI BORCHER HANSEN,Directors,SV 108,Aros Paradigm Master Fund SICAV plc,"Sep 28, 2009",
NICOLAI BORCHER HANSEN,Judicial Representatives,SV 108,Aros Paradigm Master Fund SICAV plc,"Sep 28, 2009",
PETER PFEIFFER,Shareholders,C 71046,BOCO LIMITED,"Jun 12, 2015",
NIKI MIRECKI PEDERSEN,Legal Representatives,C 44430,Betfold Limited,"Jun 11, 2008",
NIKI MIRECKI PEDERSEN,Directors,C 44430,Betfold Limited,"Jun 11, 2008",
NIKI MIRECKI PEDERSEN,Judicial Representatives,C 44430,Betfold Limited,"Jun 11, 2008",
NIKI MIRECKI PEDERSEN,Shareholders,C 44430,Betfold Limited,"Jun 11, 2008",
NICOLAI BORCHER HANSEN,Legal Representatives,C 46903,AROS CAPITAL HOLDING LIMITED,"May 28, 2009",
PETER BRINK MADSEN,Shareholders,C 46903,AROS CAPITAL HOLDING LIMITED,"May 28, 2009",
NICOLAI BORCHER HANSEN,Shareholders,C 46903,AROS CAPITAL HOLDING LIMITED,"May 28, 2009",
NICOLAI BORCHER HANSEN,Judicial Representatives,C 46903,AROS CAPITAL HOLDING LIMITED,"May 28, 2009",
NICOLAI BORCHER HANSEN,Directors,C 46903,AROS CAPITAL HOLDING LIMITED,"May 28, 2009",
DENNIS DYHR HANSEN,Legal Representatives,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
MICHAEL STRUNGE,Legal Representatives,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
DENNIS DYHR HANSEN,Shareholders,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
MICHAEL STRUNGE,Shareholders,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
DENNIS DYHR HANSEN,Judicial Representatives,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
MICHAEL STRUNGE,Judicial Representatives,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
DENNIS DYHR HANSEN,Directors,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
MICHAEL STRUNGE,Directors,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
DENNIS DYHR HANSEN,Secretaries,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
MICHAEL STRUNGE,Secretaries,C 49102,AOS MALTA LIMITED,"Mar 12, 2010",
NICOLAI BORCHER HANSEN,Legal Representatives,SV 109,Aros Paradigm Fund SICAV p.l.c.,"Sep 28, 2009",
NICOLAI BORCHER HANSEN,Directors,SV 109,Aros Paradigm Fund SICAV p.l.c.,"Sep 28, 2009",
NICOLAI BORCHER HANSEN,Judicial Representatives,SV 109,Aros Paradigm Fund SICAV p.l.c.,"Sep 28, 2009",
BEHROZ FIROOZFARD,Shareholders,C 75143,BF-MEDIC (MALTA) LIMITED,"Apr 07, 2016",
KASPER SKJOLD NEMETH,Legal Representatives,C 48600,AMELUK LTD.,"Jan 06, 2010",
JACOB CARSTEN NIELSEN,Legal Representatives,C 48600,AMELUK LTD.,"Jan 06, 2010",
KASPER SKJOLD NEMETH,Directors,C 48600,AMELUK LTD.,"Jan 06, 2010",
JACOB CARSTEN NIELSEN,Directors,C 48600,AMELUK LTD.,"Jan 06, 2010",
KASPER SKJOLD NEMETH,Judicial Representatives,C 48600,AMELUK LTD.,"Jan 06, 2010",
JACOB CARSTEN NIELSEN,Judicial Representatives,C 48600,AMELUK LTD.,"Jan 06, 2010",
