name,type,company_id,company_name,registration_date,status
JOHANNES HENDRIK JANSEN,Legal Representatives,C 41581,BALKAN SHIPPING & TRADING COMPANY LTD,"Jun 08, 2007",
JOHANNES HENDRIK JANSEN,Directors,C 41581,BALKAN SHIPPING & TRADING COMPANY LTD,"Jun 08, 2007",
JOHANNES HENDRIK JANSEN,Judicial Representatives,C 41581,BALKAN SHIPPING & TRADING COMPANY LTD,"Jun 08, 2007",
ANDRIES DIRK BLOM,Legal Representatives,C 70363,BLACKROCK CAPITAL RESERVE LIMITED,"Apr 30, 2015",
ANDRIES DIRK BLOM,Directors,C 70363,BLACKROCK CAPITAL RESERVE LIMITED,"Apr 30, 2015",
ANDRIES DIRK BLOM,Judicial Representatives,C 70363,BLACKROCK CAPITAL RESERVE LIMITED,"Apr 30, 2015",
ANDRIES DIRK BLOM,Shareholders,C 70363,BLACKROCK CAPITAL RESERVE LIMITED,"Apr 30, 2015",
JOHANNES STEFAN DANNY SLUIJTER,Secretaries,C 80614,BOWSPRIT LIMITED,"Apr 25, 2017",
WILHELMUS ADRIANUS WOESTENBURG,Legal Representatives,C 78054,ANTICIPAY LTD,"Nov 10, 2016",
WILHELMUS ADRIANUS WOESTENBURG,Directors,C 78054,ANTICIPAY LTD,"Nov 10, 2016",
WILHELMUS ADRIANUS WOESTENBURG,Judicial Representatives,C 78054,ANTICIPAY LTD,"Nov 10, 2016",
WILHELMUS ADRIANUS WOESTENBURG,Secretaries,C 78054,ANTICIPAY LTD,"Nov 10, 2016",
CONRAD JAN ELIAS CROL,Legal Representatives,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
ALEXANDER G.F VAN LEYEN,Legal Representatives,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
CONRAD JAN ELIAS CROL,Shareholders,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
ALEXANDER G.F VAN LEYEN,Shareholders,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
BASTIAN G.E VAN WERSCH,Shareholders,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
CONRAD JAN ELIAS CROL,Judicial Representatives,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
ALEXANDER G.F VAN LEYEN,Judicial Representatives,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
CONRAD JAN ELIAS CROL,Directors,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
ALEXANDER G.F VAN LEYEN,Directors,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
ALEXANDER G.F VAN LEYEN,Secretaries,SV 194,AMSTEL ALTERNATIVE CREDIT FUND SICAV P.L.C.,"Jul 20, 2011",
BERNARDINE LOUISE MARIA VOS,Legal Representatives,C 41276,BR ASIA (MALTA) III LTD,"Apr 30, 2007",
BERNARDINE LOUISE MARIA VOS,Judicial Representatives,C 41276,BR ASIA (MALTA) III LTD,"Apr 30, 2007",
BERNARDINE LOUISE MARIA VOS,Directors,C 41276,BR ASIA (MALTA) III LTD,"Apr 30, 2007",
EELCO BRIELS,Legal Representatives,C 62523,BLACK & RED LTD,"Nov 06, 2013",
EELCO BRIELS,Judicial Representatives,C 62523,BLACK & RED LTD,"Nov 06, 2013",
EELCO BRIELS,Directors,C 62523,BLACK & RED LTD,"Nov 06, 2013",
EELCO BRIELS,Secretaries,C 62523,BLACK & RED LTD,"Nov 06, 2013",
JAN WILLEM VAN GELDER,Legal Representatives,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
PIETER MARINUS VAN GELDER,Legal Representatives,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
JAN WILLEM VAN GELDER,Directors,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
PIETER MARINUS VAN GELDER,Directors,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
JAN WILLEM VAN GELDER,Judicial Representatives,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
PIETER MARINUS VAN GELDER,Judicial Representatives,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
JAN WILLEM VAN GELDER,Secretaries,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
Gijsbertus Hendrikus KOK,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
STEVEN STERK,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
MARCEL VAN DER SCHALK,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
FREDERIEKE JOLINE VAN DER WAL,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
JAN WILLEM VAN GELDER,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
ELISABETH JOHANNA MARIA VAN GINDEREN-FRANKEN,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
ANTONIUS JACOBUS CORNELIS VAN GINDEREN,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
JOHANNA THOMAS MARIA VAN GINDEREN,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
NICOLE JOHANNA CORNELIS VAN GINDEREN,Shareholders,C 7315,BOLWIN CATERERS LIMITED,Company Status,In Dissolution
