name,type,company_id,company_name,registration_date,status
HAMDI FATHALLA MOHAMMED EL-ABBASI,Legal Representatives,C 47584,BSH PLASTERING LIMITED,"Aug 25, 2009",
HAMDI FATHALLA MOHAMMED EL-ABBASI,Directors,C 47584,BSH PLASTERING LIMITED,"Aug 25, 2009",
HAMDI FATHALLA MOHAMMED EL-ABBASI,Judicial Representatives,C 47584,BSH PLASTERING LIMITED,"Aug 25, 2009",
HAMDI FATHALLA MOHAMMED EL-ABBASI,Secretaries,C 47584,BSH PLASTERING LIMITED,"Aug 25, 2009",
HAMDI FATHALLA MOHAMMED EL-ABBASI,Shareholders,C 47584,BSH PLASTERING LIMITED,"Aug 25, 2009",
MOHAMMED ABDEL-MOEIZ ALY,Legal Representatives,C 25990,ANNOUNA INTERNATIONAL TRADE LTD,"Mar 07, 2000",
MOHAMMED ABDEL-MOEIZ ALY,Judicial Representatives,C 25990,ANNOUNA INTERNATIONAL TRADE LTD,"Mar 07, 2000",
MOHAMMED ABDEL-MOEIZ ALY,Directors,C 25990,ANNOUNA INTERNATIONAL TRADE LTD,"Mar 07, 2000",
ASAAD AHMED MOHAMED FARAG,Legal Representatives,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
ASAAD AHMED MOHAMED FARAG,Directors,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
ASAAD AHMED MOHAMED FARAG,Judicial Representatives,C 1827,AUBERGE (SAN ANTON) LIMITED,Company Status,
MOHAMED AHMED SHAFIEK MOHAMED AHMED,Legal Representatives,C 41030,Banif Bank (Malta) plc,"Mar 27, 2007",
MOHAMED AHMED SHAFIEK MOHAMED AHMED,Judicial Representatives,C 41030,Banif Bank (Malta) plc,"Mar 27, 2007",
MOHAMED AHMED SHAFIEK MOHAMED AHMED,Directors,C 41030,Banif Bank (Malta) plc,"Mar 27, 2007",
HOSNA MOBARAK HAMID SOBIH,Legal Representatives,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
MOBARAK HEMID SOBEIH,Legal Representatives,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
HOSNA MOBARAK HAMID SOBIH,Directors,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
MOBARAK HEMID SOBEIH,Directors,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
HOSNA MOBARAK HAMID SOBIH,Judicial Representatives,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
MOBARAK HEMID SOBEIH,Judicial Representatives,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
HOSNA MOBARAK HAMID SOBIH,Shareholders,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
MOBARAK HEMID SOBEIH,Shareholders,C 37114,BARE FOOT CRUISES LIMITED,"Oct 14, 2005",In Dissolution
AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Legal Representatives,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Directors,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Judicial Representatives,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Secretaries,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Shareholders,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
JANA AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Shareholders,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
MOHAMED AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI,Shareholders,C 67944,AMJS HOLDINGS LIMITED,"Dec 05, 2014",
EL SHERIF SHERIF SAID MOHAMED OSMAN,Legal Representatives,C 39371,A. BARAN LIMITED,"Aug 21, 2006",
EL SHERIF SHERIF SAID MOHAMED OSMAN,Shareholders,C 39371,A. BARAN LIMITED,"Aug 21, 2006",
EL SHERIF SHERIF SAID MOHAMED OSMAN,Judicial Representatives,C 39371,A. BARAN LIMITED,"Aug 21, 2006",
EL SHERIF SHERIF SAID MOHAMED OSMAN,Directors,C 39371,A. BARAN LIMITED,"Aug 21, 2006",
SHERIN KAMEL MOHAMED ABDELFATTAH,Shareholders,C 72733,ARROW ADVISORY HOLDINGS LTD,"Oct 21, 2015",
BELAL SAID MOHAMED OSMAN EL SHERIF,Shareholders,C 52674,BAR CELONA BEACH CO. LTD.,"Apr 25, 2011",
EL SHERIF SHERIF SAID MOHAMED OSMAN,Shareholders,C 52674,BAR CELONA BEACH CO. LTD.,"Apr 25, 2011",
ASAAD AHMED MOHAMED FARAG,Legal Representatives,C 77490,AUA LTD,"Oct 05, 2016",
