name,type,company_id,company_name,registration_date,status
SEBASTIAN HARRY MOORE,Legal Representatives,C 64374,ALPHA8 HOLDINGS LIMITED,"Mar 25, 2014",
SEBASTIAN HARRY MOORE,Judicial Representatives,C 64374,ALPHA8 HOLDINGS LIMITED,"Mar 25, 2014",
SEBASTIAN HARRY MOORE,Directors,C 64374,ALPHA8 HOLDINGS LIMITED,"Mar 25, 2014",
NEIL RILETT,Legal Representatives,SV 407,AMERGERIS WEALTH MANAGEMENT SICAV PLC,"Mar 16, 2016",
NEIL RILETT,Directors,SV 407,AMERGERIS WEALTH MANAGEMENT SICAV PLC,"Mar 16, 2016",
NEIL RILETT,Judicial Representatives,SV 407,AMERGERIS WEALTH MANAGEMENT SICAV PLC,"Mar 16, 2016",
SEBASTIAN HARRY MOORE,Legal Representatives,C 64376,ALPHA4 LIMITED,"Mar 25, 2014",
SEBASTIAN HARRY MOORE,Judicial Representatives,C 64376,ALPHA4 LIMITED,"Mar 25, 2014",
SEBASTIAN HARRY MOORE,Directors,C 64376,ALPHA4 LIMITED,"Mar 25, 2014",
JOHN O'REILLY,Shareholders,C 42738,BACK OFFICE SERVICES LIMITED,"Nov 06, 2007",
PETER JOHN FREEMAN,Shareholders,C 67845,ARGENTAN FINANCE LIMITED,"Dec 01, 2014",
GARY STERN,Secretaries,C 47340,Amba Ventures Limited,"Jul 20, 2009",
SAM APPLEGATE,Legal Representatives,C 67994,BANG  ROCKET LIMITED,"Dec 10, 2014",
SAM APPLEGATE,Judicial Representatives,C 67994,BANG  ROCKET LIMITED,"Dec 10, 2014",
SAM APPLEGATE,Directors,C 67994,BANG  ROCKET LIMITED,"Dec 10, 2014",
CRAIG MARTYN WILSON,Legal Representatives,C 70376,ARGYLE RETAIL HOLDINGS LIMITED,"Apr 30, 2015",
JONATHAN LEITERSDORF,Legal Representatives,C 68204,BEACH BOX LTD,"Dec 18, 2014",
JONATHAN LEITERSDORF,Shareholders,C 68204,BEACH BOX LTD,"Dec 18, 2014",
JONATHAN LEITERSDORF,Judicial Representatives,C 68204,BEACH BOX LTD,"Dec 18, 2014",
JONATHAN LEITERSDORF,Directors,C 68204,BEACH BOX LTD,"Dec 18, 2014",
JONATHAN LEITERSDORF,Secretaries,C 68204,BEACH BOX LTD,"Dec 18, 2014",
