name,type,company_id,company_name,registration_date,status
JURI GAIDAJENKO,Legal Representatives,C 38118,ARCTIC REEFERS CO. LTD,"Mar 01, 2006",
JURI GAIDAJENKO,Directors,C 38118,ARCTIC REEFERS CO. LTD,"Mar 01, 2006",
JURI GAIDAJENKO,Judicial Representatives,C 38118,ARCTIC REEFERS CO. LTD,"Mar 01, 2006",
JURI GAIDAJENKO,Shareholders,C 38118,ARCTIC REEFERS CO. LTD,"Mar 01, 2006",
VAGIF GERMAN,Shareholders,C 66945,Azur Estate Ltd,"Oct 03, 2014",
ARTUR SVARTS,Shareholders,C 66945,Azur Estate Ltd,"Oct 03, 2014",
PRIIT POST,Shareholders,C 52755,BEXAR LIMITED,"May 05, 2011",
ANTON KALMOKOV,Legal Representatives,C 47055,AQUATICO HOLDING LIMITED,"Jun 15, 2009",
ANTON KALMOKOV,Judicial Representatives,C 47055,AQUATICO HOLDING LIMITED,"Jun 15, 2009",
ANTON KALMOKOV,Directors,C 47055,AQUATICO HOLDING LIMITED,"Jun 15, 2009",
JEKATERINA KLIMOVSKIH,Legal Representatives,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
IGOR KLIMOVSKIHH,Legal Representatives,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
IGOR KLIMOVSKIHH,Shareholders,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
JEKATERINA KLIMOVSKIH,Shareholders,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
JEKATERINA KLIMOVSKIH,Judicial Representatives,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
IGOR KLIMOVSKIHH,Judicial Representatives,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
JEKATERINA KLIMOVSKIH,Directors,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
IGOR KLIMOVSKIHH,Directors,C 40006,BRAVOMAR HOLDING LTD,"Nov 20, 2006",
RAIVO AAVISTO,Legal Representatives,C 49884,BRENNEN CONSULTING LIMITED,"Jun 10, 2010",
RAIVO AAVISTO,Judicial Representatives,C 49884,BRENNEN CONSULTING LIMITED,"Jun 10, 2010",
RAIVO AAVISTO,Directors,C 49884,BRENNEN CONSULTING LIMITED,"Jun 10, 2010",
