name,type,company_id,company_name,registration_date,status
LASSE POHJOLA,Legal Representatives,C 65158,APP YOURS LTD.,"May 15, 2014",
LASSE POHJOLA,Shareholders,C 65158,APP YOURS LTD.,"May 15, 2014",
LASSE POHJOLA,Judicial Representatives,C 65158,APP YOURS LTD.,"May 15, 2014",
LASSE POHJOLA,Directors,C 65158,APP YOURS LTD.,"May 15, 2014",
LASSE POHJOLA,Secretaries,C 65158,APP YOURS LTD.,"May 15, 2014",
CAR MIKAEL DANIEL DYRENDAHL-NYBLIN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
MARKO MIKAEL PELTONEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
TERO TIMO TUOMINEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
MIKA HUHTAMELLA,Legal Representatives,C 63285,ARCTIC MARKETING HOLDING LIMITED,"Dec 24, 2013",
MIKA HUHTAMELLA,Shareholders,C 63285,ARCTIC MARKETING HOLDING LIMITED,"Dec 24, 2013",
MIKA HUHTAMELLA,Judicial Representatives,C 63285,ARCTIC MARKETING HOLDING LIMITED,"Dec 24, 2013",
MIKA HUHTAMELLA,Directors,C 63285,ARCTIC MARKETING HOLDING LIMITED,"Dec 24, 2013",
MIKA HUHTAMELLA,Secretaries,C 63285,ARCTIC MARKETING HOLDING LIMITED,"Dec 24, 2013",
TIMO PAAVO KUIVALAINEN,Shareholders,C 55736,BANG BANG INVESTMENTS LIMITED,"Mar 23, 2012",
PAUL HORHAMMER,Directors,C 33535,BELLEZA COMPANY LIMITED,"Mar 24, 2004",
PAUL HORHAMMER,Shareholders,C 33535,BELLEZA COMPANY LIMITED,"Mar 24, 2004",
KENNETH WREDE,Shareholders,C 33535,BELLEZA COMPANY LIMITED,"Mar 24, 2004",
JUKKA PETRI PIETILA,Legal Representatives,C 70474,BIG GAME CONSULTING LIMITED,"May 08, 2015",
JUKKA PETRI PIETILA,Directors,C 70474,BIG GAME CONSULTING LIMITED,"May 08, 2015",
JUKKA PETRI PIETILA,Judicial Representatives,C 70474,BIG GAME CONSULTING LIMITED,"May 08, 2015",
JUKKA PETRI PIETILA,Secretaries,C 70474,BIG GAME CONSULTING LIMITED,"May 08, 2015",
JUKKA PETRI PIETILA,Shareholders,C 70474,BIG GAME CONSULTING LIMITED,"May 08, 2015",
ARI TIUKKANEN,Legal Representatives,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
ARI TIUKKANEN,Directors,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
ARI TIUKKANEN,Judicial Representatives,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
LIISA KESKITALO,Directors,C 14670,ARCTICSTEEL LTD,"Jan 29, 1993",
PERTTU JUHANI JALKANEN,Legal Representatives,C 73284,AREX SERVICES LIMITED,"Nov 27, 2015",
PERTTU JUHANI JALKANEN,Directors,C 73284,AREX SERVICES LIMITED,"Nov 27, 2015",
PERTTU JUHANI JALKANEN,Judicial Representatives,C 73284,AREX SERVICES LIMITED,"Nov 27, 2015",
CARL PETER GRANFELT,Shareholders,C 69659,AURALEA LTD,"Mar 20, 2015",
SAMI KRISTIAN MAKINEN,Shareholders,C 69659,AURALEA LTD,"Mar 20, 2015",
TEEMU SAKARI TERAS,Shareholders,C 69659,AURALEA LTD,"Mar 20, 2015",
EVA MARIA HULT,Legal Representatives,C 52407,BDEUCE LTD,"Mar 29, 2011",In Dissolution
EVA MARIA HULT,Shareholders,C 52407,BDEUCE LTD,"Mar 29, 2011",In Dissolution
EVA MARIA HULT,Judicial Representatives,C 52407,BDEUCE LTD,"Mar 29, 2011",In Dissolution
EVA MARIA HULT,Directors,C 52407,BDEUCE LTD,"Mar 29, 2011",In Dissolution
EVA MARIA HULT,Secretaries,C 52407,BDEUCE LTD,"Mar 29, 2011",In Dissolution
LEENA KATRI ANNELI PERTTILA,Legal Representatives,C 54791,ANNELI LIMITED,"Dec 21, 2011",
LEENA KATRI ANNELI PERTTILA,Shareholders,C 54791,ANNELI LIMITED,"Dec 21, 2011",
LEENA KATRI ANNELI PERTTILA,Judicial Representatives,C 54791,ANNELI LIMITED,"Dec 21, 2011",
LEENA KATRI ANNELI PERTTILA,Directors,C 54791,ANNELI LIMITED,"Dec 21, 2011",
MATTI HEIKKI METSOLA,Secretaries,C 56845,BettingCloud Limited,"Jul 03, 2012",
RIKU AALTONEN,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
JUSSI KOSOLA,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
SANTTU MATTI PASANEN,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
SAMI MERTSALO,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
ELISA NORDGREN,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
KRISTIAN PACKALEN,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
JUSSI SUOMINEN,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
OTTO KUKKONEN,Shareholders,C 68103,AXnCO CAPITAL LIMITED,"Dec 15, 2014",
