name,type,company_id,company_name,registration_date,status
VINCENT ALLIAN MULDER,Legal Representatives,C 74879,BLUE FUN COMPANY LIMITED,"Mar 21, 2016",
VINCENT ALLIAN MULDER,Directors,C 74879,BLUE FUN COMPANY LIMITED,"Mar 21, 2016",
VINCENT ALLIAN MULDER,Judicial Representatives,C 74879,BLUE FUN COMPANY LIMITED,"Mar 21, 2016",
ISABELLE BELLINO,Legal Representatives,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
ARNAUD BEZZINA,Legal Representatives,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
ARNAUD BEZZINA,Shareholders,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
PHILIPPE GINESTET,Shareholders,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
ISABELLE BELLINO,Judicial Representatives,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
ARNAUD BEZZINA,Judicial Representatives,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
ISABELLE BELLINO,Directors,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
ARNAUD BEZZINA,Directors,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
CYNTHIA CAROLE PERSONENI,Secretaries,C 40537,BLUE NAVIGATION LIMITED,"Dec 28, 2006",
NICOLAS BOISSIN,Shareholders,C 68816,BKS MANAGEMENT MALTA LIMITED,"Jan 29, 2015",
SABINE MANNEQUIN GALLINI,Shareholders,C 63272,BLUMA 2.0 LTD,"Dec 23, 2013",
JULIA MARY ANTONIA INCH BOUILHOL,Shareholders,C 80297,BLUEBIRD INVESTISSEMENTS LIMITED,"Apr 04, 2017",
ALEXANDRA CLAIRE INCH GARTON,Shareholders,C 80297,BLUEBIRD INVESTISSEMENTS LIMITED,"Apr 04, 2017",
FRANCOISE THIAW INCH,Shareholders,C 80297,BLUEBIRD INVESTISSEMENTS LIMITED,"Apr 04, 2017",
DIMITRI ALINE,Legal Representatives,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
DIMITRI ALINE,Directors,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
DIMITRI ALINE,Judicial Representatives,SV 450,BERGHOLT SICAV P.L.C.,"Apr 17, 2017",
CHRISTINE DELOY,Legal Representatives,C 40939,Barriere Interactive Gaming Limited,"Mar 09, 2007",
PHILIPPE PERROT,Legal Representatives,C 40939,Barriere Interactive Gaming Limited,"Mar 09, 2007",
CHRISTINE DELOY,Judicial Representatives,C 40939,Barriere Interactive Gaming Limited,"Mar 09, 2007",
PHILIPPE PERROT,Judicial Representatives,C 40939,Barriere Interactive Gaming Limited,"Mar 09, 2007",
CHRISTINE DELOY,Directors,C 40939,Barriere Interactive Gaming Limited,"Mar 09, 2007",
PHILIPPE PERROT,Directors,C 40939,Barriere Interactive Gaming Limited,"Mar 09, 2007",
