name,type,company_id,company_name,registration_date,status
ZURAB GUMBERIDZE,Shareholders,C 72990,ARGO TRADING & SHIPPING LIMITED,"Nov 10, 2015",
GAREGIN CHEKANDARIAN,Legal Representatives,C 45190,BARONOV LIMITED,"Sep 23, 2008",
GAREGIN CHEKANDARIAN,Shareholders,C 45190,BARONOV LIMITED,"Sep 23, 2008",
GAREGIN CHEKANDARIAN,Judicial Representatives,C 45190,BARONOV LIMITED,"Sep 23, 2008",
GAREGIN CHEKANDARIAN,Directors,C 45190,BARONOV LIMITED,"Sep 23, 2008",
GAREGIN CHEKANDARIAN,Secretaries,C 45190,BARONOV LIMITED,"Sep 23, 2008",
INA KORCHILAVA,Legal Representatives,C 40665,ALPHA LOGISTICS MALTA LIMITED,"Jan 25, 2007",
INA KORCHILAVA,Shareholders,C 40665,ALPHA LOGISTICS MALTA LIMITED,"Jan 25, 2007",
INA KORCHILAVA,Judicial Representatives,C 40665,ALPHA LOGISTICS MALTA LIMITED,"Jan 25, 2007",
INA KORCHILAVA,Directors,C 40665,ALPHA LOGISTICS MALTA LIMITED,"Jan 25, 2007",
TINA GEJADZE,Secretaries,C 45715,ARK & PARTNERS LTD,"Nov 28, 2008",
