name,type,company_id,company_name,registration_date,status
GERO WOLFGANG HOFMANN,Legal Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
FLORIAN PHILIPP REINHOLD WEGER,Legal Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
GERO WOLFGANG HOFMANN,Shareholders,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
FLORIAN PHILIPP REINHOLD WEGER,Shareholders,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
GERO WOLFGANG HOFMANN,Judicial Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
FLORIAN PHILIPP REINHOLD WEGER,Judicial Representatives,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
GERO WOLFGANG HOFMANN,Directors,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
FLORIAN PHILIPP REINHOLD WEGER,Directors,C 58630,BLADE HOLDING LTD,"Dec 14, 2012",
UTE HELGA DANIEL,Legal Representatives,C 70883,ANTIBES LIMITED,"Jun 02, 2015",
UTE HELGA DANIEL,Directors,C 70883,ANTIBES LIMITED,"Jun 02, 2015",
UTE HELGA DANIEL,Judicial Representatives,C 70883,ANTIBES LIMITED,"Jun 02, 2015",
PETRA MANUELA HAACK,Shareholders,C 56305,ALTIPLAN HOLDING LTD,"May 14, 2012",
PHILIP HAACK GEB. MEFFERT,Shareholders,C 56305,ALTIPLAN HOLDING LTD,"May 14, 2012",
ALEXANDER RALF ROSA-ALSCHER,Legal Representatives,C 66829,BREAKWATER LTD,"Sep 23, 2014",In Dissolution
ALEXANDER RALF ROSA-ALSCHER,Shareholders,C 66829,BREAKWATER LTD,"Sep 23, 2014",In Dissolution
ALEXANDER RALF ROSA-ALSCHER,Judicial Representatives,C 66829,BREAKWATER LTD,"Sep 23, 2014",In Dissolution
ALEXANDER RALF ROSA-ALSCHER,Directors,C 66829,BREAKWATER LTD,"Sep 23, 2014",In Dissolution
ALEXANDER RALF ROSA-ALSCHER,Secretaries,C 66829,BREAKWATER LTD,"Sep 23, 2014",In Dissolution
STEFAN JOHANNES JENTZSCH,Legal Representatives,C 64396,BLACK PEARL LEASING LIMITED,"Mar 26, 2014",
STEFAN JOHANNES JENTZSCH,Directors,C 64396,BLACK PEARL LEASING LIMITED,"Mar 26, 2014",
STEFAN JOHANNES JENTZSCH,Judicial Representatives,C 64396,BLACK PEARL LEASING LIMITED,"Mar 26, 2014",
STEFAN JOHANNES JENTZSCH,Shareholders,C 64396,BLACK PEARL LEASING LIMITED,"Mar 26, 2014",
GEORG ALBRECHT HEINE,Legal Representatives,C 77159,BOUTIQUE DESIGN HOTELS LIMITED,"Sep 06, 2016",
GEORG ALBRECHT HEINE,Directors,C 77159,BOUTIQUE DESIGN HOTELS LIMITED,"Sep 06, 2016",
GEORG ALBRECHT HEINE,Judicial Representatives,C 77159,BOUTIQUE DESIGN HOTELS LIMITED,"Sep 06, 2016",
GEORG ALBRECHT HEINE,Secretaries,C 77159,BOUTIQUE DESIGN HOTELS LIMITED,"Sep 06, 2016",
STEFAN BEULERTZ,Legal Representatives,C 45713,BluO Malta FinOp Limited,"Nov 28, 2008",In Dissolution
STEFAN BEULERTZ,Shareholders,C 45713,BluO Malta FinOp Limited,"Nov 28, 2008",In Dissolution
STEFAN BEULERTZ,Judicial Representatives,C 45713,BluO Malta FinOp Limited,"Nov 28, 2008",In Dissolution
STEFAN BEULERTZ,Directors,C 45713,BluO Malta FinOp Limited,"Nov 28, 2008",In Dissolution
OVE GEHL,Shareholders,C 58496,AMALFI INVESTMENTS LIMITED,"Dec 06, 2012",
MANFRED PETERS,Legal Representatives,C 47330,ALTAYA LIMITED,"Jul 17, 2009",
MANFRED PETERS,Directors,C 47330,ALTAYA LIMITED,"Jul 17, 2009",
MANFRED PETERS,Judicial Representatives,C 47330,ALTAYA LIMITED,"Jul 17, 2009",
MANFRED PETERS,Shareholders,C 47330,ALTAYA LIMITED,"Jul 17, 2009",
UDO JOSEF ENGELHARD MULLER,Shareholders,C 79867,5P LIMITED,"Mar 08, 2017",
MICHAEL PITZSCHEL,Legal Representatives,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
MICHAEL PITZSCHEL,Judicial Representatives,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
MICHAEL PITZSCHEL,Directors,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
MICHAEL PITZSCHEL,Secretaries,C 47920,Bigpoint International Services Limited,"Oct 13, 2009",
ANDREAS MANFRED PECHTL,Legal Representatives,C 76628,AP International Ltd.,"Jul 27, 2016",
ANDREAS MANFRED PECHTL,Directors,C 76628,AP International Ltd.,"Jul 27, 2016",
ANDREAS MANFRED PECHTL,Judicial Representatives,C 76628,AP International Ltd.,"Jul 27, 2016",
ANKE PECHTL GEB. KUBAINSKI,Secretaries,C 76628,AP International Ltd.,"Jul 27, 2016",
ANDREAS MANFRED PECHTL,Shareholders,C 76628,AP International Ltd.,"Jul 27, 2016",
PETER DIETER GUBERAN,Legal Representatives,C 45104,Aqua Sanitec Limited,"Sep 12, 2008",In Dissolution
PETER DIETER GUBERAN,Directors,C 45104,Aqua Sanitec Limited,"Sep 12, 2008",In Dissolution
