name,type,company_id,company_name,registration_date,status
STRAVROS THANOS,Directors,C 25746,AUDACIOUS SHIPPING COMPANY LIMITED,"Jan 18, 2000",
HARA A XYLAS,Directors,C 25746,AUDACIOUS SHIPPING COMPANY LIMITED,"Jan 18, 2000",
JOHN A XYLAS,Directors,C 25746,AUDACIOUS SHIPPING COMPANY LIMITED,"Jan 18, 2000",
DESPOINA ANTONIOU,Legal Representatives,C 47075,ALTIS NAVIGATION LTD,"Jun 17, 2009",
IOANNIS KONTOULIS,Legal Representatives,C 47075,ALTIS NAVIGATION LTD,"Jun 17, 2009",
DESPOINA ANTONIOU,Directors,C 47075,ALTIS NAVIGATION LTD,"Jun 17, 2009",
IOANNIS KONTOULIS,Directors,C 47075,ALTIS NAVIGATION LTD,"Jun 17, 2009",
DESPOINA ANTONIOU,Judicial Representatives,C 47075,ALTIS NAVIGATION LTD,"Jun 17, 2009",
IOANNIS KONTOULIS,Judicial Representatives,C 47075,ALTIS NAVIGATION LTD,"Jun 17, 2009",
ALEXANDROS AGOUDIMOS,Directors,C 9366,ATLANTIC SHIPPING LIMITED,"Jan 28, 1988",
DEMETRIOS AGOUDIMOS,Directors,C 9366,ATLANTIC SHIPPING LIMITED,"Jan 28, 1988",
ALEXANDROS AGOUDIMOS,Shareholders,C 9366,ATLANTIC SHIPPING LIMITED,"Jan 28, 1988",
ANNA AGOUDIMOS,Shareholders,C 9366,ATLANTIC SHIPPING LIMITED,"Jan 28, 1988",
DEMETRIOS AGOUDIMOS,Shareholders,C 9366,ATLANTIC SHIPPING LIMITED,"Jan 28, 1988",
THOMA PARTALI,Directors,C 26293,ARBI SHIPPING COMPANY LIMITED,"Apr 28, 2000",
KONSTANTINOS KAMPANAROS,Legal Representatives,C 30844,BLACK DIAMOND SHIPPING LTD,"Jan 17, 2003",In Dissolution
KONSTANTINOS KAMPANAROS,Directors,C 30844,BLACK DIAMOND SHIPPING LTD,"Jan 17, 2003",In Dissolution
KONSTANTINOS KAMPANAROS,Judicial Representatives,C 30844,BLACK DIAMOND SHIPPING LTD,"Jan 17, 2003",In Dissolution
ALEXANDROS DRAGNIS,Shareholders,C 30844,BLACK DIAMOND SHIPPING LTD,"Jan 17, 2003",In Dissolution
IOANNIS DIAMANTIS,Legal Representatives,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
KONSTANTINOS DIAMANTIS,Legal Representatives,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
THEOFANIS DIAMANTIS,Legal Representatives,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
IOANNIS DIAMANTIS,Directors,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
KONSTANTINOS DIAMANTIS,Directors,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
THEOFANIS DIAMANTIS,Directors,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
IOANNIS DIAMANTIS,Judicial Representatives,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
KONSTANTINOS DIAMANTIS,Judicial Representatives,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
THEOFANIS DIAMANTIS,Judicial Representatives,C 37119,AMORGOS SHIPPING CO LTD,"Oct 14, 2005",
PANAYOTIS KEGGITSIS,Directors,C 21958,ARCHANGEL MARINE LIMITED,"Oct 09, 1997",
DEMETRIOS PLOUSSIOS,Directors,C 21958,ARCHANGEL MARINE LIMITED,"Oct 09, 1997",
ALEXIOS KONDYLIS,Legal Representatives,C 64526,ALLURE LIMITED,"Apr 03, 2014",
ALEXIOS KONDYLIS,Directors,C 64526,ALLURE LIMITED,"Apr 03, 2014",
ALEXIOS KONDYLIS,Judicial Representatives,C 64526,ALLURE LIMITED,"Apr 03, 2014",
ALEXIOS KONDYLIS,Shareholders,C 64526,ALLURE LIMITED,"Apr 03, 2014",
IOANNIS ALEXIOU,Legal Representatives,C 31140,ANUTA SHIPPING COMPANY LIMITED,"Mar 17, 2003",
ADRIANI ZACHARAKI,Legal Representatives,C 31140,ANUTA SHIPPING COMPANY LIMITED,"Mar 17, 2003",
IOANNIS ALEXIOU,Directors,C 31140,ANUTA SHIPPING COMPANY LIMITED,"Mar 17, 2003",
ADRIANI ZACHARAKI,Directors,C 31140,ANUTA SHIPPING COMPANY LIMITED,"Mar 17, 2003",
IOANNIS ALEXIOU,Judicial Representatives,C 31140,ANUTA SHIPPING COMPANY LIMITED,"Mar 17, 2003",
ADRIANI ZACHARAKI,Judicial Representatives,C 31140,ANUTA SHIPPING COMPANY LIMITED,"Mar 17, 2003",
JOHN BAXIVANOS,Legal Representatives,C 22619,ASSIMINA MARITIME LIMITED,"Mar 06, 1998",
JOHN BAXIVANOS,Directors,C 22619,ASSIMINA MARITIME LIMITED,"Mar 06, 1998",
JOHN BAXIVANOS,Judicial Representatives,C 22619,ASSIMINA MARITIME LIMITED,"Mar 06, 1998",
VERA HALKIDI,Directors,C 19148,ATHENIAN FAITH SHIPPING LIMITED,"Oct 02, 1995",
GEORGE XANTHOPOULOS,Directors,C 19148,ATHENIAN FAITH SHIPPING LIMITED,"Oct 02, 1995",
GEORGIOS CHARTOFYLIS,Legal Representatives,C 48106,BITUMEN APPLIED RESEARCH LIMITED,"Nov 05, 2009",
THEMISTOKLIS KALAPOTHARAKOS,Legal Representatives,C 48106,BITUMEN APPLIED RESEARCH LIMITED,"Nov 05, 2009",
GEORGIOS CHARTOFYLIS,Directors,C 48106,BITUMEN APPLIED RESEARCH LIMITED,"Nov 05, 2009",
THEMISTOKLIS KALAPOTHARAKOS,Directors,C 48106,BITUMEN APPLIED RESEARCH LIMITED,"Nov 05, 2009",
GEORGIOS CHARTOFYLIS,Judicial Representatives,C 48106,BITUMEN APPLIED RESEARCH LIMITED,"Nov 05, 2009",
