name,type,company_id,company_name,registration_date,status
CSABA GEZA VARGA,Shareholders,C 71545,ARKRAL CAPITAL LIMITED,"Jul 22, 2015",
GYULA DAVID,Shareholders,C 55421,ARIES INTERNATIONAL HOLDING PARTNERS LIMITED,"Feb 23, 2012",
ADAM ZOLTAN HOSSZU,Shareholders,C 55421,ARIES INTERNATIONAL HOLDING PARTNERS LIMITED,"Feb 23, 2012",
Balint Kollar,Legal Representatives,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Janos Demeter Zsoldos,Legal Representatives,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Balint Kollar,Directors,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Janos Demeter Zsoldos,Directors,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Balint Kollar,Judicial Representatives,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Janos Demeter Zsoldos,Judicial Representatives,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Balint Kollar,Shareholders,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Janos Demeter Zsoldos,Shareholders,C 71092,Breakwater Management Limited,"Jun 24, 2015",
Janos Demeter Zsoldos,Secretaries,C 71092,Breakwater Management Limited,"Jun 24, 2015",
ROBERT ZOLTAN BUSA,Legal Representatives,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
GABOR KISPETER,Legal Representatives,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
TIBOR LASZLO SIBA,Legal Representatives,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
ROBERT ZOLTAN BUSA,Directors,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
GABOR KISPETER,Directors,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
TIBOR LASZLO SIBA,Directors,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
ROBERT ZOLTAN BUSA,Judicial Representatives,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
GABOR KISPETER,Judicial Representatives,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
TIBOR LASZLO SIBA,Judicial Representatives,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
GABOR KISPETER,Secretaries,C 49404,BEST FUNCTION MEDIA LIMITED,"Apr 16, 2010",
ATTILA KOVACS,Legal Representatives,C 58865,BEHINDBARZ EVENTS LIMITED,"Jan 04, 2013",
ATTILA KOVACS,Directors,C 58865,BEHINDBARZ EVENTS LIMITED,"Jan 04, 2013",
ATTILA KOVACS,Judicial Representatives,C 58865,BEHINDBARZ EVENTS LIMITED,"Jan 04, 2013",
ATTILA KOVACS,Shareholders,C 58865,BEHINDBARZ EVENTS LIMITED,"Jan 04, 2013",
VIKTORIA LENTI,Secretaries,C 68379,Assist Sport Management Ltd,"Jan 02, 2015",
PATRICIA SZUNYOG,Legal Representatives,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
JANOS ENDRE VERMES,Legal Representatives,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
PATRICIA SZUNYOG,Directors,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
JANOS ENDRE VERMES,Directors,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
PATRICIA SZUNYOG,Judicial Representatives,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
JANOS ENDRE VERMES,Judicial Representatives,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
PATRICIA SZUNYOG,Shareholders,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
JANOS ENDRE VERMES,Shareholders,C 66468,BENJAMIN 2015 LTD,"Aug 27, 2014",
DENES GABOR NONN,Shareholders,C 73063,BRANDFOR LTD.,"Nov 13, 2015",
DENES GABOR NONN,Secretaries,C 73063,BRANDFOR LTD.,"Nov 13, 2015",
SANDOR ZELLES,Shareholders,C 78815,APIUM MEDIA HOLDING LTD.,"Dec 22, 2016",
ISTVAN ANDRAS FEHERVARY,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
KRISZTINA ILOSFAI,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
STEVEN DANIEL KAALI-NAGY,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
ROBERT MEZEI,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
TAMAS SZONYEI,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
HAMISH JOSEPH KINROSS WHITE,Shareholders,C 61703,BRODY HOUSE INTERNATIONAL LIMITED,"Aug 28, 2013",
JAKAB ZSOLT,Legal Representatives,C 62807,Alternative Recycling Development Limited,"Nov 26, 2013",
JAKAB ZSOLT,Directors,C 62807,Alternative Recycling Development Limited,"Nov 26, 2013",
JAKAB ZSOLT,Judicial Representatives,C 62807,Alternative Recycling Development Limited,"Nov 26, 2013",
ILONA ZBORAY,Legal Representatives,OC 482,BNETWORK INTERNATIONAL LLC,"Apr 16, 2010",
ILONA ZBORAY,Directors,OC 482,BNETWORK INTERNATIONAL LLC,"Apr 16, 2010",
