name,type,company_id,company_name,registration_date,status
OMAR BENEDIKTSSON,Legal Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Legal Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
OMAR BENEDIKTSSON,Shareholders,C 63143,Avia Leasing Limited,"Dec 17, 2013",
OMAR BENEDIKTSSON,Judicial Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Judicial Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
OMAR BENEDIKTSSON,Directors,C 63143,Avia Leasing Limited,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Directors,C 63143,Avia Leasing Limited,"Dec 17, 2013",
ARNI HARDARSON,Legal Representatives,C 62332,ALVOTECH MALTA LIMITED,"Oct 23, 2013",
ARNI HARDARSON,Judicial Representatives,C 62332,ALVOTECH MALTA LIMITED,"Oct 23, 2013",
ARNI HARDARSON,Directors,C 62332,ALVOTECH MALTA LIMITED,"Oct 23, 2013",
HALLDOR BJORN BALDURSSON,Legal Representatives,C 78155,ARCARIUS FINANCE LIMITED,"Nov 16, 2016",
HALLDOR BJORN BALDURSSON,Directors,C 78155,ARCARIUS FINANCE LIMITED,"Nov 16, 2016",
HALLDOR BJORN BALDURSSON,Judicial Representatives,C 78155,ARCARIUS FINANCE LIMITED,"Nov 16, 2016",
MAGNUS MAGNUSSON,Legal Representatives,C 68080,ASAR LIMITED,"Dec 12, 2014",
MAGNUS MAGNUSSON,Directors,C 68080,ASAR LIMITED,"Dec 12, 2014",
MAGNUS MAGNUSSON,Judicial Representatives,C 68080,ASAR LIMITED,"Dec 12, 2014",
MAGNUS MAGNUSSON,Secretaries,C 68080,ASAR LIMITED,"Dec 12, 2014",
PALL ARNASON,Local Representatives,OC 538,BASF Finance Malta GmbH,"May 26, 2011",
Robert Wessman,Legal Representatives,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
Robert Wessman,Directors,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
Robert Wessman,Judicial Representatives,C 69652,ALVOGEN MALTA OPERATIONS LTD,"Mar 20, 2015",
HUGINN ARNARSON,Legal Representatives,C 60636,AR CONSULTANTS GROUP LTD,"May 30, 2013",
HUGINN ARNARSON,Judicial Representatives,C 60636,AR CONSULTANTS GROUP LTD,"May 30, 2013",
HUGINN ARNARSON,Directors,C 60636,AR CONSULTANTS GROUP LTD,"May 30, 2013",
HUGINN ARNARSON,Secretaries,C 60636,AR CONSULTANTS GROUP LTD,"May 30, 2013",
OMAR BENEDIKTSSON,Legal Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Legal Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Shareholders,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
OMAR BENEDIKTSSON,Judicial Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Judicial Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
OMAR BENEDIKTSSON,Directors,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
THORIR ALBERT KRISTINSSON,Directors,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
ARNI HARDARSON,Legal Representatives,C 61962,Alvogen Pharma Limited,"Sep 19, 2013",
ARNI HARDARSON,Judicial Representatives,C 61962,Alvogen Pharma Limited,"Sep 19, 2013",
ARNI HARDARSON,Directors,C 61962,Alvogen Pharma Limited,"Sep 19, 2013",
FRIDRIK JOHANNSSON,Shareholders,C 72186,ANING LIMITED,"Sep 10, 2015",
INGOLFUR GUDMUNDSSON,Legal Representatives,C 48443,Aurora Continental (Malta) Ltd.,"Dec 15, 2009",
INGOLFUR GUDMUNDSSON,Judicial Representatives,C 48443,Aurora Continental (Malta) Ltd.,"Dec 15, 2009",
INGOLFUR GUDMUNDSSON,Directors,C 48443,Aurora Continental (Malta) Ltd.,"Dec 15, 2009",
ARNI HARDARSON,Legal Representatives,C 62331,ALVOGEN DEVELOPMENT LIMITED,"Feb 18, 2014",
ARNI HARDARSON,Judicial Representatives,C 62331,ALVOGEN DEVELOPMENT LIMITED,"Feb 18, 2014",
ARNI HARDARSON,Directors,C 62331,ALVOGEN DEVELOPMENT LIMITED,"Feb 18, 2014",
