name,type,company_id,company_name,registration_date,status
PHANEEMDRA PRASAD GORLA,Legal Representatives,C 2450,APLAN LIMITED,Company Status,
PHANEEMDRA PRASAD GORLA,Shareholders,C 2450,APLAN LIMITED,Company Status,
PHANEEMDRA PRASAD GORLA,Judicial Representatives,C 2450,APLAN LIMITED,Company Status,
PHANEEMDRA PRASAD GORLA,Directors,C 2450,APLAN LIMITED,Company Status,
JAYANT SHRIPAD GADGIL,Legal Representatives,C 65217,AQUANOVA LIMITED,"May 19, 2014",
JAIDEEP DATTATRAYA PANDIT,Legal Representatives,C 65217,AQUANOVA LIMITED,"May 19, 2014",
JAYANT SHRIPAD GADGIL,Directors,C 65217,AQUANOVA LIMITED,"May 19, 2014",
JAIDEEP DATTATRAYA PANDIT,Directors,C 65217,AQUANOVA LIMITED,"May 19, 2014",
JAYANT SHRIPAD GADGIL,Judicial Representatives,C 65217,AQUANOVA LIMITED,"May 19, 2014",
JAIDEEP DATTATRAYA PANDIT,Judicial Representatives,C 65217,AQUANOVA LIMITED,"May 19, 2014",
SUKHMEET SINGH ANAND,Legal Representatives,C 32545,ASTRAL INDUSTRIAL CORPORATION LIMITED,"Nov 26, 2003",
SUKHMEET SINGH ANAND,Directors,C 32545,ASTRAL INDUSTRIAL CORPORATION LIMITED,"Nov 26, 2003",
SUKHMEET SINGH ANAND,Judicial Representatives,C 32545,ASTRAL INDUSTRIAL CORPORATION LIMITED,"Nov 26, 2003",
MELINA MARY WILBY,Secretaries,C 32545,ASTRAL INDUSTRIAL CORPORATION LIMITED,"Nov 26, 2003",
NAGESH BALASUBRAMANYAM,Legal Representatives,C 61429,AMALA SHIPPING LIMITED,"Aug 02, 2013",
NAGESH BALASUBRAMANYAM,Directors,C 61429,AMALA SHIPPING LIMITED,"Aug 02, 2013",
NAGESH BALASUBRAMANYAM,Judicial Representatives,C 61429,AMALA SHIPPING LIMITED,"Aug 02, 2013",
NAGESH BALASUBRAMANYAM,Shareholders,C 61429,AMALA SHIPPING LIMITED,"Aug 02, 2013",
AJAY SHANKAR BIDYARTHY,Legal Representatives,C 52172,BLACKCOFFER EUROPE LTD.,"Mar 03, 2011",
AJAY SHANKAR BIDYARTHY,Judicial Representatives,C 52172,BLACKCOFFER EUROPE LTD.,"Mar 03, 2011",
AJAY SHANKAR BIDYARTHY,Directors,C 52172,BLACKCOFFER EUROPE LTD.,"Mar 03, 2011",
BAKUL BHARATKUMAR DAVE,Legal Representatives,C 78165,ALPHARIZE HOLDINGS LIMITED,"Nov 17, 2016",
BAKUL BHARATKUMAR DAVE,Directors,C 78165,ALPHARIZE HOLDINGS LIMITED,"Nov 17, 2016",
BAKUL BHARATKUMAR DAVE,Judicial Representatives,C 78165,ALPHARIZE HOLDINGS LIMITED,"Nov 17, 2016",
BAKUL BHARATKUMAR DAVE,Shareholders,C 78165,ALPHARIZE HOLDINGS LIMITED,"Nov 17, 2016",
PRADEEP MATHUR,Legal Representatives,C 56208,Bio Life Trading Ltd,"May 08, 2012",
PRADEEP MATHUR,Judicial Representatives,C 56208,Bio Life Trading Ltd,"May 08, 2012",
PRADEEP MATHUR,Directors,C 56208,Bio Life Trading Ltd,"May 08, 2012",
PRADEEP MATHUR,Secretaries,C 56208,Bio Life Trading Ltd,"May 08, 2012",
DEEPAK SRINIVAS PADMANABHAN,Legal Representatives,C 54591,BKE PROPERTY COMPANY LIMITED,"Dec 01, 2011",
DEEPAK SRINIVAS PADMANABHAN,Judicial Representatives,C 54591,BKE PROPERTY COMPANY LIMITED,"Dec 01, 2011",
DEEPAK SRINIVAS PADMANABHAN,Directors,C 54591,BKE PROPERTY COMPANY LIMITED,"Dec 01, 2011",
NIKHIL PATIL,Directors,C 54591,BKE PROPERTY COMPANY LIMITED,"Dec 01, 2011",
BAKUL BHARATKUMAR DAVE,Legal Representatives,C 78168,ALPHARIZE MANAGEMENT LIMITED,"Nov 17, 2016",
BAKUL BHARATKUMAR DAVE,Directors,C 78168,ALPHARIZE MANAGEMENT LIMITED,"Nov 17, 2016",
BAKUL BHARATKUMAR DAVE,Judicial Representatives,C 78168,ALPHARIZE MANAGEMENT LIMITED,"Nov 17, 2016",
BAKUL BHARATKUMAR DAVE,Shareholders,C 78168,ALPHARIZE MANAGEMENT LIMITED,"Nov 17, 2016",
NARENDRA KUMAR,Legal Representatives,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
NARENDRA KUMAR,Directors,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
NARENDRA KUMAR,Judicial Representatives,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
DEEPAK MAWANDIA,Legal Representatives,C 67848,BAHRIJA INVESTMENTS LIMITED,"Dec 01, 2014",
DEEPAK MAWANDIA,Judicial Representatives,C 67848,BAHRIJA INVESTMENTS LIMITED,"Dec 01, 2014",
DEEPAK MAWANDIA,Directors,C 67848,BAHRIJA INVESTMENTS LIMITED,"Dec 01, 2014",
Yashaswini Garrod,Shareholders,C 72583,Blissient Ltd,"Nov 23, 2015",In Dissolution
Yashaswini Garrod,Secretaries,C 72583,Blissient Ltd,"Nov 23, 2015",In Dissolution
SANJAY MALHOTRA,Legal Representatives,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
GAGAN RASTOGI,Legal Representatives,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
SANJAY MALHOTRA,Directors,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
GAGAN RASTOGI,Directors,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
SANJAY MALHOTRA,Judicial Representatives,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
GAGAN RASTOGI,Judicial Representatives,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
SANJAY MALHOTRA,Shareholders,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
GAGAN RASTOGI,Shareholders,C 43296,BIOFUELS INTERNATIONAL LIMITED,"Jan 09, 2008",
AVANEESH KEMMANU SHIVANANDA,Legal Representatives,C 59866,ANGEL CREST HOLDING LTD,"Apr 02, 2013",In Dissolution
AVANEESH KEMMANU SHIVANANDA,Shareholders,C 59866,ANGEL CREST HOLDING LTD,"Apr 02, 2013",In Dissolution
RAVI PRATAP SINGH RAGHAV,Shareholders,C 59866,ANGEL CREST HOLDING LTD,"Apr 02, 2013",In Dissolution
AVANEESH KEMMANU SHIVANANDA,Judicial Representatives,C 59866,ANGEL CREST HOLDING LTD,"Apr 02, 2013",In Dissolution
AVANEESH KEMMANU SHIVANANDA,Directors,C 59866,ANGEL CREST HOLDING LTD,"Apr 02, 2013",In Dissolution
Jay Deep Chakravarty,Legal Representatives,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Anutosh Chatterjee,Legal Representatives,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Manjesh Kumar,Legal Representatives,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Jay Deep Chakravarty,Directors,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Anutosh Chatterjee,Directors,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Manjesh Kumar,Directors,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Jay Deep Chakravarty,Judicial Representatives,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Anutosh Chatterjee,Judicial Representatives,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Manjesh Kumar,Judicial Representatives,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Jay Deep Chakravarty,Shareholders,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Anutosh Chatterjee,Shareholders,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
Manjesh Kumar,Shareholders,C 3527,ARTICRAFT CREATIVE SERVICES LIMITED,Company Status,
SOURABH SEN,Legal Representatives,C 7263,ASTOR LIMITED,Company Status,
SOURABH SEN,Directors,C 7263,ASTOR LIMITED,Company Status,
SOURABH SEN,Judicial Representatives,C 7263,ASTOR LIMITED,Company Status,
Jay Deep Chakravarty,Legal Representatives,C 62949,ARTICQ MEDIA LTD,"Dec 18, 2013",
Anutosh Chatterjee,Legal Representatives,C 62949,ARTICQ MEDIA LTD,"Dec 18, 2013",
Manjesh Kumar,Legal Representatives,C 62949,ARTICQ MEDIA LTD,"Dec 18, 2013",
Jay Deep Chakravarty,Directors,C 62949,ARTICQ MEDIA LTD,"Dec 18, 2013",
Anutosh Chatterjee,Directors,C 62949,ARTICQ MEDIA LTD,"Dec 18, 2013",
