name,type,company_id,company_name,registration_date,status
EBRAHIM MOHAMMADNABI,Legal Representatives,C 3499,BALSHERL LTD ( D 3619 ),Company Status,In Dissolution
EBRAHIM MOHAMMADNABI,Directors,C 3499,BALSHERL LTD ( D 3619 ),Company Status,In Dissolution
EBRAHIM MOHAMMADNABI,Judicial Representatives,C 3499,BALSHERL LTD ( D 3619 ),Company Status,In Dissolution
HASSAN DJALILZADEH,Shareholders,C 3499,BALSHERL LTD ( D 3619 ),Company Status,In Dissolution
ALI EZZATI,Shareholders,C 3499,BALSHERL LTD ( D 3619 ),Company Status,In Dissolution
EBRAHIM MOHAMMADNABI,Shareholders,C 3499,BALSHERL LTD ( D 3619 ),Company Status,In Dissolution
MAHMOUD FARHANG TARJOMAN,Legal Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED HADI HOUSHIAR EMAMI,Legal Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MALEK REZA MALEKPOUR GHORBBANI,Legal Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
JAVAD MOSADEGHI,Legal Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED KAZEMPOUR SHAHISAVANDI,Legal Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MAHMOUD FARHANG TARJOMAN,Directors,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED HADI HOUSHIAR EMAMI,Directors,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MALEK REZA MALEKPOUR GHORBBANI,Directors,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
JAVAD MOSADEGHI,Directors,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED KAZEMPOUR SHAHISAVANDI,Directors,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MAHMOUD FARHANG TARJOMAN,Judicial Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED HADI HOUSHIAR EMAMI,Judicial Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MALEK REZA MALEKPOUR GHORBBANI,Judicial Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
JAVAD MOSADEGHI,Judicial Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED KAZEMPOUR SHAHISAVANDI,Judicial Representatives,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MAHMOUD FARHANG TARJOMAN,Shareholders,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED HADI HOUSHIAR EMAMI,Shareholders,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
MALEK REZA MALEKPOUR GHORBBANI,Shareholders,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
JAVAD MOSADEGHI,Shareholders,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
SEYED KAZEMPOUR SHAHISAVANDI,Shareholders,C 46000,AVA SHIPPING ENTERPRISE LTD.,"Jan 09, 2009",
JAMSHID KHALILI,Legal Representatives,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
JAMSHID KHALILI,Directors,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
JAMSHID KHALILI,Judicial Representatives,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
GHOLAMHOSSEIN GOLPARVAR,Shareholders,C 31530,BIIS MARITIME LIMITED,"Jun 03, 2003",
SEYED HOSSEIN PAKZAD,Shareholders,C 72229,AZY HOLDINGS LTD.,"Sep 11, 2015",
ALIREZA ESFANDIARI,Legal Representatives,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
SHAHRYAR SASANIAN,Legal Representatives,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
ALIREZA ESFANDIARI,Directors,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
SHAHRYAR SASANIAN,Directors,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
ALIREZA ESFANDIARI,Judicial Representatives,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
SHAHRYAR SASANIAN,Judicial Representatives,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
ALIREZA ESFANDIARI,Shareholders,C 45652,Alp Shipping Enterprise Limited,"Nov 24, 2008",
