name,type,company_id,company_name,registration_date,status
DAVID MICHAEL BUTLER,Legal Representatives,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
DAVID MICHAEL BUTLER,Directors,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
DAVID MICHAEL BUTLER,Judicial Representatives,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
LIAM CUNNINGHAM,Directors,OC 649,BELLEVILLE LTD,"Aug 14, 2012",
IAIN BRENDAN CAHILL,Legal Representatives,C 64763,BARKING LIMITED,"Apr 21, 2014",
IAIN BRENDAN CAHILL,Shareholders,C 64763,BARKING LIMITED,"Apr 21, 2014",
IAIN BRENDAN CAHILL,Judicial Representatives,C 64763,BARKING LIMITED,"Apr 21, 2014",
IAIN BRENDAN CAHILL,Directors,C 64763,BARKING LIMITED,"Apr 21, 2014",
BERNARD GALLAGHER,Legal Representatives,C 35448,B.J. MARINE LIMITED,"Jan 11, 2005",
BERNARD GALLAGHER,Shareholders,C 35448,B.J. MARINE LIMITED,"Jan 11, 2005",
BERNARD GALLAGHER,Judicial Representatives,C 35448,B.J. MARINE LIMITED,"Jan 11, 2005",
BERNARD GALLAGHER,Directors,C 35448,B.J. MARINE LIMITED,"Jan 11, 2005",
MARIE PARKES,Secretaries,C 35448,B.J. MARINE LIMITED,"Jan 11, 2005",
DEIRDRE MAHER,Secretaries,C 49376,BETCLIC ENTERPRISES LIMITED,"Apr 13, 2010",
CATRIONA MARIA SCHLEY,Legal Representatives,C 66535,ASIA ENTERPRISES LIMITED,"Aug 29, 2014",
CATRIONA MARIA SCHLEY,Directors,C 66535,ASIA ENTERPRISES LIMITED,"Aug 29, 2014",
CATRIONA MARIA SCHLEY,Judicial Representatives,C 66535,ASIA ENTERPRISES LIMITED,"Aug 29, 2014",
REDMOND PATRICK SCHLEY,Secretaries,C 66535,ASIA ENTERPRISES LIMITED,"Aug 29, 2014",
ANDREW COLLINS,Legal Representatives,C 50146,Applebear Malta Limited,"Jul 09, 2010",
ANDREW COLLINS,Shareholders,C 50146,Applebear Malta Limited,"Jul 09, 2010",
BRENDAN COLLINS,Shareholders,C 50146,Applebear Malta Limited,"Jul 09, 2010",
ANDREW COLLINS,Judicial Representatives,C 50146,Applebear Malta Limited,"Jul 09, 2010",
ANDREW COLLINS,Directors,C 50146,Applebear Malta Limited,"Jul 09, 2010",
DEAN QUANNE,Legal Representatives,C 70884,BETPIPE LTD,"Jun 02, 2015",
DEAN QUANNE,Judicial Representatives,C 70884,BETPIPE LTD,"Jun 02, 2015",
DEAN QUANNE,Directors,C 70884,BETPIPE LTD,"Jun 02, 2015",
DEAN QUANNE,Secretaries,C 70884,BETPIPE LTD,"Jun 02, 2015",
ANTHONY JOSEPH SMYTH,Legal Representatives,OC 751,AS LIMITED (MALTA BRANCH),"Nov 04, 2013",
PATRICK SMYTH,Legal Representatives,OC 751,AS LIMITED (MALTA BRANCH),"Nov 04, 2013",
ANTHONY JOSEPH SMYTH,Directors,OC 751,AS LIMITED (MALTA BRANCH),"Nov 04, 2013",
PATRICK SMYTH,Directors,OC 751,AS LIMITED (MALTA BRANCH),"Nov 04, 2013",
ANTHONY JOSEPH SMYTH,Judicial Representatives,OC 751,AS LIMITED (MALTA BRANCH),"Nov 04, 2013",
PATRICK SMYTH,Judicial Representatives,OC 751,AS LIMITED (MALTA BRANCH),"Nov 04, 2013",
STEPHEN BENNETT,Legal Representatives,OC 1084,BERTRANGE HOLDINGS LIMITED,"Sep 13, 2016",
STEPHEN BENNETT,Directors,OC 1084,BERTRANGE HOLDINGS LIMITED,"Sep 13, 2016",
STEPHEN BENNETT,Judicial Representatives,OC 1084,BERTRANGE HOLDINGS LIMITED,"Sep 13, 2016",
DESMOND ANDREW MC GOWAN,Shareholders,C 52343,AUMM HOLDINGS LIMITED,"Mar 22, 2011",
DESMOND ANDREW MC GOWAN,Secretaries,C 52343,AUMM HOLDINGS LIMITED,"Mar 22, 2011",
JOHN HARTNETT,Legal Representatives,C 71832,BETFAIR EUROPE PLC,"Aug 12, 2015",
JEFF POWER,Legal Representatives,C 71832,BETFAIR EUROPE PLC,"Aug 12, 2015",
JOHN HARTNETT,Directors,C 71832,BETFAIR EUROPE PLC,"Aug 12, 2015",
JEFF POWER,Directors,C 71832,BETFAIR EUROPE PLC,"Aug 12, 2015",
JOHN HARTNETT,Judicial Representatives,C 71832,BETFAIR EUROPE PLC,"Aug 12, 2015",
JEFF POWER,Judicial Representatives,C 71832,BETFAIR EUROPE PLC,"Aug 12, 2015",
JOHN BRENNAN,Legal Representatives,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN KIERAN BRENNAN,Legal Representatives,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
TOMAS PATRICK BRENNAN,Legal Representatives,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN BRENNAN,Directors,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN KIERAN BRENNAN,Directors,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
TOMAS PATRICK BRENNAN,Directors,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN BRENNAN,Judicial Representatives,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN KIERAN BRENNAN,Judicial Representatives,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
TOMAS PATRICK BRENNAN,Judicial Representatives,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
ANN MARIE BRENNAN,Shareholders,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN KIERAN BRENNAN,Shareholders,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JAMES BRENNAN,Shareholders,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
JOHN BRENNAN,Shareholders,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
TOMAS PATRICK BRENNAN,Shareholders,C 78094,BEAGALLTACH HOLDING LIMITED,"Nov 14, 2016",
SARAH JANE MULLINS,Legal Representatives,C 77848,AZURE MARINE LIMITED,"Oct 28, 2016",
SARAH JANE MULLINS,Directors,C 77848,AZURE MARINE LIMITED,"Oct 28, 2016",
SARAH JANE MULLINS,Judicial Representatives,C 77848,AZURE MARINE LIMITED,"Oct 28, 2016",
BRIAN O'HARA,Legal Representatives,C 51237,BRH MALTA LIMITED,"Nov 23, 2010",
BRIAN O'HARA,Judicial Representatives,C 51237,BRH MALTA LIMITED,"Nov 23, 2010",
BRIAN O'HARA,Directors,C 51237,BRH MALTA LIMITED,"Nov 23, 2010",
PAUL KAVANAGH,Legal Representatives,C 78665,ALTRUMA HOLDINGS LTD,"Dec 16, 2016",
PAUL KAVANAGH,Directors,C 78665,ALTRUMA HOLDINGS LTD,"Dec 16, 2016",
PAUL KAVANAGH,Judicial Representatives,C 78665,ALTRUMA HOLDINGS LTD,"Dec 16, 2016",
CHRISTINA BRIDGIT RYAN,Directors,OC 239,BT SOLUTIONS LIMITED,"May 22, 2003",
CLAIRE MAJELLA BOYLE,Legal Representatives,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
GRACE ANN BOYLE,Legal Representatives,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
JOHN BOYLE,Shareholders,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
KATHLEEN BOYLE,Shareholders,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
CLAIRE MAJELLA BOYLE,Judicial Representatives,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
GRACE ANN BOYLE,Judicial Representatives,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
CLAIRE MAJELLA BOYLE,Directors,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
GRACE ANN BOYLE,Directors,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
CLAIRE MAJELLA BOYLE,Secretaries,C 63227,BOYLESPORTS GROUP HOLDING LIMITED,"Dec 23, 2013",
STEPHEN JOHN TAYLOR,Legal Representatives,C 53516,BUCCANEER YACHT CHARTERS LIMITED,"Aug 01, 2011",
STEPHEN JOHN TAYLOR,Directors,C 53516,BUCCANEER YACHT CHARTERS LIMITED,"Aug 01, 2011",
STEPHEN JOHN TAYLOR,Judicial Representatives,C 53516,BUCCANEER YACHT CHARTERS LIMITED,"Aug 01, 2011",
STEPHEN JOHN TAYLOR,Secretaries,C 53516,BUCCANEER YACHT CHARTERS LIMITED,"Aug 01, 2011",
STEPHEN JOHN TAYLOR,Shareholders,C 53516,BUCCANEER YACHT CHARTERS LIMITED,"Aug 01, 2011",
DEIRDRE MAHER,Secretaries,C 49374,BETCLIC.FR HOLDINGS LIMITED,"Apr 13, 2010",In Dissolution
LIAM CUNNINGHAM,Directors,C 2006,BELLEVUE HOLDINGS LIMITED,Company Status,
