name,type,company_id,company_name,registration_date,status
RANIAH GHNEEM,Legal Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
RANIAH GHNEEM,Directors,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
RANIAH GHNEEM,Judicial Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
RANIAH GHNEEM,Secretaries,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
RANIAH GHNEEM,Shareholders,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
MEIR LUCA DI CONSIGLIO,Legal Representatives,C 71195,BH HOLDING LTD,"Jun 25, 2015",
GIACOMO SCIUNNACH,Legal Representatives,C 71195,BH HOLDING LTD,"Jun 25, 2015",
MEIR LUCA DI CONSIGLIO,Shareholders,C 71195,BH HOLDING LTD,"Jun 25, 2015",
GIACOMO SCIUNNACH,Shareholders,C 71195,BH HOLDING LTD,"Jun 25, 2015",
MEIR LUCA DI CONSIGLIO,Judicial Representatives,C 71195,BH HOLDING LTD,"Jun 25, 2015",
GIACOMO SCIUNNACH,Judicial Representatives,C 71195,BH HOLDING LTD,"Jun 25, 2015",
MEIR LUCA DI CONSIGLIO,Directors,C 71195,BH HOLDING LTD,"Jun 25, 2015",
GIACOMO SCIUNNACH,Directors,C 71195,BH HOLDING LTD,"Jun 25, 2015",
Raviv Adler,Legal Representatives,C 42296,ASPIRE GLOBAL INTERNATIONAL LIMITED,"Sep 05, 2007",
Raviv Adler,Judicial Representatives,C 42296,ASPIRE GLOBAL INTERNATIONAL LIMITED,"Sep 05, 2007",
Raviv Adler,Directors,C 42296,ASPIRE GLOBAL INTERNATIONAL LIMITED,"Sep 05, 2007",
MARK LAVIE,Legal Representatives,OC 531,BADOO SOFTWARE LTD,"May 05, 2011",
MARK LAVIE,Directors,OC 531,BADOO SOFTWARE LTD,"May 05, 2011",
MARK LAVIE,Judicial Representatives,OC 531,BADOO SOFTWARE LTD,"May 05, 2011",
ODED LOTAN,Legal Representatives,C 49896,ANNA LOTAN LTD,"Jul 27, 2010",
LIORA CHITRON,Directors,C 49896,ANNA LOTAN LTD,"Jul 27, 2010",
ODED LOTAN,Directors,C 49896,ANNA LOTAN LTD,"Jul 27, 2010",
ODED LOTAN,Judicial Representatives,C 49896,ANNA LOTAN LTD,"Jul 27, 2010",
ODED LOTAN,Secretaries,C 49896,ANNA LOTAN LTD,"Jul 27, 2010",
ODED LOTAN,Shareholders,C 49896,ANNA LOTAN LTD,"Jul 27, 2010",
NOAM BARTOV,Shareholders,C 54948,Beproga Limited,"Jan 06, 2012",
BEYLA POTASH,Legal Representatives,C 57640,APPLIED BIOFUELS (MALTA) LIMITED,"Sep 24, 2012",
BEYLA POTASH,Judicial Representatives,C 57640,APPLIED BIOFUELS (MALTA) LIMITED,"Sep 24, 2012",
BEYLA POTASH,Directors,C 57640,APPLIED BIOFUELS (MALTA) LIMITED,"Sep 24, 2012",
MARK LAVIE,Legal Representatives,C 77093,BIP MANAGEMENT LIMITED,"Sep 01, 2016",In Dissolution
MARK LAVIE,Judicial Representatives,C 77093,BIP MANAGEMENT LIMITED,"Sep 01, 2016",In Dissolution
MARK LAVIE,Directors,C 77093,BIP MANAGEMENT LIMITED,"Sep 01, 2016",In Dissolution
DAVID NETSER,Shareholders,C 40793,BULGARIA HOLDING LIMITED,"Feb 14, 2007",
DANIEL ZABAR,Shareholders,C 40793,BULGARIA HOLDING LIMITED,"Feb 14, 2007",
RONEN LAM,Legal Representatives,C 45982,BACSOL LIMITED,"Jan 06, 2009",
RONEN LAM,Directors,C 45982,BACSOL LIMITED,"Jan 06, 2009",
RONEN LAM,Judicial Representatives,C 45982,BACSOL LIMITED,"Jan 06, 2009",
RONEN LAM,Secretaries,C 45982,BACSOL LIMITED,"Jan 06, 2009",
RONEN LAM,Shareholders,C 45982,BACSOL LIMITED,"Jan 06, 2009",
ISAAC MAIMON,Legal Representatives,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
BARAK MATALON,Legal Representatives,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
PINHAS ZAHAVI,Legal Representatives,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
ISAAC MAIMON,Directors,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
BARAK MATALON,Directors,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
PINHAS ZAHAVI,Directors,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
ISAAC MAIMON,Judicial Representatives,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
BARAK MATALON,Judicial Representatives,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
PINHAS ZAHAVI,Judicial Representatives,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
AHARAON ARAN,Shareholders,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
ELYAHU AZUR,Shareholders,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
BARAK MATALON,Shareholders,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
PINHAS ZAHAVI,Shareholders,C 80711,ASPIRE GLOBAL PLC,"May 02, 2017",
MARK LAVIE,Legal Representatives,OC 533,BADOO MEDIA LIMITED,"May 05, 2011",
MARK LAVIE,Directors,OC 533,BADOO MEDIA LIMITED,"May 05, 2011",
MARK LAVIE,Judicial Representatives,OC 533,BADOO MEDIA LIMITED,"May 05, 2011",
ITZHAK COHEN,Legal Representatives,C 69387,BEST WAY PAYMENT SOLUTIONS LIMITED,"Mar 04, 2015",
ITZHAK COHEN,Directors,C 69387,BEST WAY PAYMENT SOLUTIONS LIMITED,"Mar 04, 2015",
ITZHAK COHEN,Judicial Representatives,C 69387,BEST WAY PAYMENT SOLUTIONS LIMITED,"Mar 04, 2015",
ITZHAK COHEN,Shareholders,C 69387,BEST WAY PAYMENT SOLUTIONS LIMITED,"Mar 04, 2015",
MICHAEL DORSMAN,Legal Representatives,C 74261,BMVP LIMITED,"Feb 08, 2016",
YARON KOPEL,Legal Representatives,C 74261,BMVP LIMITED,"Feb 08, 2016",
MICHAEL DORSMAN,Directors,C 74261,BMVP LIMITED,"Feb 08, 2016",
YARON KOPEL,Directors,C 74261,BMVP LIMITED,"Feb 08, 2016",
MICHAEL DORSMAN,Judicial Representatives,C 74261,BMVP LIMITED,"Feb 08, 2016",
YARON KOPEL,Judicial Representatives,C 74261,BMVP LIMITED,"Feb 08, 2016",
YARON KOPEL,Secretaries,C 74261,BMVP LIMITED,"Feb 08, 2016",
MICHAEL DORSMAN,Shareholders,C 74261,BMVP LIMITED,"Feb 08, 2016",
YARON KOPEL,Shareholders,C 74261,BMVP LIMITED,"Feb 08, 2016",
TAL GERSZON,Shareholders,C 74261,BMVP LIMITED,"Feb 08, 2016",
EHUD SHOCHATOVITCH,Shareholders,C 74261,BMVP LIMITED,"Feb 08, 2016",
PINHAS ZAHAVI,Shareholders,C 74261,BMVP LIMITED,"Feb 08, 2016",
SHMUEL YOSKOVITZ,Legal Representatives,C 73750,B S MARINE PRIVATE LIMITED,"Dec 28, 2015",
SHMUEL YOSKOVITZ,Directors,C 73750,B S MARINE PRIVATE LIMITED,"Dec 28, 2015",
SHMUEL YOSKOVITZ,Judicial Representatives,C 73750,B S MARINE PRIVATE LIMITED,"Dec 28, 2015",
ODED LOTAN,Legal Representatives,C 4065,ANNA MARU SHIPPING CO LTD,Company Status,
LIORA CHITRON,Directors,C 4065,ANNA MARU SHIPPING CO LTD,Company Status,
ODED LOTAN,Directors,C 4065,ANNA MARU SHIPPING CO LTD,Company Status,
ODED LOTAN,Judicial Representatives,C 4065,ANNA MARU SHIPPING CO LTD,Company Status,
ODED LOTAN,Secretaries,C 4065,ANNA MARU SHIPPING CO LTD,Company Status,
ODED LOTAN,Shareholders,C 4065,ANNA MARU SHIPPING CO LTD,Company Status,
SOFIA ADAMUK,Shareholders,C 74832,BREAKING POINT HOLDING LTD,"Mar 17, 2016",
IDAN BUCH,Shareholders,C 74832,BREAKING POINT HOLDING LTD,"Mar 17, 2016",
EFRAIM OFIR MATZLAWI,Shareholders,C 74832,BREAKING POINT HOLDING LTD,"Mar 17, 2016",
HAIM ZEEV MONTEKIO,Shareholders,C 74832,BREAKING POINT HOLDING LTD,"Mar 17, 2016",
LIOR PERLMUTTER SHOSHANY,Shareholders,C 74832,BREAKING POINT HOLDING LTD,"Mar 17, 2016",
TAMAR PERRY,Shareholders,C 74832,BREAKING POINT HOLDING LTD,"Mar 17, 2016",
ZEEV KALIMI,Legal Representatives,C 59332,ALPHA TELECOM EUROPE LIMITED,"Feb 15, 2013",
DORON SELA,Legal Representatives,C 59332,ALPHA TELECOM EUROPE LIMITED,"Feb 15, 2013",
ZEEV KALIMI,Judicial Representatives,C 59332,ALPHA TELECOM EUROPE LIMITED,"Feb 15, 2013",
DORON SELA,Judicial Representatives,C 59332,ALPHA TELECOM EUROPE LIMITED,"Feb 15, 2013",
ZEEV KALIMI,Directors,C 59332,ALPHA TELECOM EUROPE LIMITED,"Feb 15, 2013",
DORON SELA,Directors,C 59332,ALPHA TELECOM EUROPE LIMITED,"Feb 15, 2013",
LILIA REZNIK,Legal Representatives,C 76804,BUC GREEN ECO SOLUTIONS LIMITED,"Aug 10, 2016",
LILIA REZNIK,Directors,C 76804,BUC GREEN ECO SOLUTIONS LIMITED,"Aug 10, 2016",
