name,type,company_id,company_name,registration_date,status
THAIS MELHADO DE CAMARGO FERRAZ,Shareholders,C 80208,ANTARES HOLDING LIMITED,"Mar 28, 2017",
PAOLO MASSARI,Shareholders,C 23492,B.M.T. LTD,"Sep 28, 1998",
EMANUELE CARBONI,Legal Representatives,C 77935,BLACK WIZARD REAL ESTATE LTD.,"Nov 03, 2016",
EMANUELE CARBONI,Directors,C 77935,BLACK WIZARD REAL ESTATE LTD.,"Nov 03, 2016",
EMANUELE CARBONI,Judicial Representatives,C 77935,BLACK WIZARD REAL ESTATE LTD.,"Nov 03, 2016",
MARIKA STELLATO,Secretaries,C 77935,BLACK WIZARD REAL ESTATE LTD.,"Nov 03, 2016",
ANTONINO CALDARELLA,Legal Representatives,C 56659,AT SERVICES LIMITED,"Jun 13, 2012",
ANTONINO CALDARELLA,Directors,C 56659,AT SERVICES LIMITED,"Jun 13, 2012",
ANTONINO CALDARELLA,Judicial Representatives,C 56659,AT SERVICES LIMITED,"Jun 13, 2012",
ANTONINO CALDARELLA,Secretaries,C 56659,AT SERVICES LIMITED,"Jun 13, 2012",
FRANCESCO ACCARDI,Legal Representatives,C 55817,ANGEL ARRIGO (MLT) LTD,"Mar 29, 2012",
FRANCESCO ACCARDI,Judicial Representatives,C 55817,ANGEL ARRIGO (MLT) LTD,"Mar 29, 2012",
FRANCESCO ACCARDI,Directors,C 55817,ANGEL ARRIGO (MLT) LTD,"Mar 29, 2012",
FRANCESCO ACCARDI,Secretaries,C 55817,ANGEL ARRIGO (MLT) LTD,"Mar 29, 2012",
GIANCARLO BIONDI,Directors,C 16587,BIKE CORPORATION LIMITED,"Aug 04, 1994",
GIANCARLO BIONDI,Judicial Representatives,C 16587,BIKE CORPORATION LIMITED,"Aug 04, 1994",
GIANCARLO BIONDI,Secretaries,C 16587,BIKE CORPORATION LIMITED,"Aug 04, 1994",
CRISTINA SIBONI,Legal Representatives,C 52524,ARREDITALIA (Malta) LIMITED,"Apr 07, 2011",
CRISTINA SIBONI,Directors,C 52524,ARREDITALIA (Malta) LIMITED,"Apr 07, 2011",
CRISTINA SIBONI,Judicial Representatives,C 52524,ARREDITALIA (Malta) LIMITED,"Apr 07, 2011",
CRISTINA SIBONI,Shareholders,C 52524,ARREDITALIA (Malta) LIMITED,"Apr 07, 2011",
ALDO KASLOWSKI,Shareholders,C 79227,BATIK CRUISING LIMITED,"Jan 23, 2017",
MASSIMILIANO CARAVELLO,Legal Representatives,C 76688,B 4 U Ltd.,"Aug 02, 2016",
MASSIMILIANO CARAVELLO,Directors,C 76688,B 4 U Ltd.,"Aug 02, 2016",
MASSIMILIANO CARAVELLO,Judicial Representatives,C 76688,B 4 U Ltd.,"Aug 02, 2016",
MASSIMILIANO CARAVELLO,Secretaries,C 76688,B 4 U Ltd.,"Aug 02, 2016",
MASSIMILIANO CARAVELLO,Shareholders,C 76688,B 4 U Ltd.,"Aug 02, 2016",
ROBERTO COVIELLO,Secretaries,C 71779,BC PROPERTY & CONSULTING LTD,"Aug 07, 2015",
