name,type,company_id,company_name,registration_date,status
HUSSEINI FAYEZ,Legal Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
GEORGE HANNA GEORGE KOUSA,Legal Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
ABU KHALAF HAZEM,Legal Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
HUSSEINI FAYEZ,Directors,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
GEORGE HANNA GEORGE KOUSA,Directors,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
ABU KHALAF HAZEM,Directors,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
HUSSEINI FAYEZ,Judicial Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
GEORGE HANNA GEORGE KOUSA,Judicial Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
ABU KHALAF HAZEM,Judicial Representatives,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
GEORGE HANNA GEORGE KOUSA,Shareholders,C 54649,ANOUD GAMES INTERNATIONAL LTD,"Dec 07, 2011",
AMER A. HASAN ALZUBAIDI,Legal Representatives,C 62248,AZPET GROUP LIMITED,"Oct 15, 2013",
AMER A. HASAN ALZUBAIDI,Directors,C 62248,AZPET GROUP LIMITED,"Oct 15, 2013",
AMER A. HASAN ALZUBAIDI,Judicial Representatives,C 62248,AZPET GROUP LIMITED,"Oct 15, 2013",
AMER A. HASAN ALZUBAIDI,Secretaries,C 62248,AZPET GROUP LIMITED,"Oct 15, 2013",
AMER A. HASAN ALZUBAIDI,Shareholders,C 62248,AZPET GROUP LIMITED,"Oct 15, 2013",
ABDALLAH AHMAD NAWAFLEH,Legal Representatives,C 43451,AXB SUPPLIES LTD,"Jan 31, 2008",
ABDALLAH AHMAD NAWAFLEH,Directors,C 43451,AXB SUPPLIES LTD,"Jan 31, 2008",
ABDALLAH AHMAD NAWAFLEH,Judicial Representatives,C 43451,AXB SUPPLIES LTD,"Jan 31, 2008",
MOUSA JOHN EMIL MOUSA JARJOUI,Legal Representatives,C 79798,AMN BUSINESS LIMITED,"Mar 01, 2017",
MOUSA JOHN EMIL MOUSA JARJOUI,Directors,C 79798,AMN BUSINESS LIMITED,"Mar 01, 2017",
MOUSA JOHN EMIL MOUSA JARJOUI,Judicial Representatives,C 79798,AMN BUSINESS LIMITED,"Mar 01, 2017",
MOUSA JOHN EMIL MOUSA JARJOUI,Shareholders,C 79798,AMN BUSINESS LIMITED,"Mar 01, 2017",
SALIM MAHMOUD A. SUBEH,Legal Representatives,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
AHMAD MAHMOUD ABDEL GADER SOBH,Legal Representatives,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
RAID MAH'D SALIM ALMOMANI,Legal Representatives,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
SALIM MAHMOUD A. SUBEH,Directors,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
AHMAD MAHMOUD ABDEL GADER SOBH,Directors,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
RAID MAH'D SALIM ALMOMANI,Directors,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
SALIM MAHMOUD A. SUBEH,Judicial Representatives,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
AHMAD MAHMOUD ABDEL GADER SOBH,Judicial Representatives,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
RAID MAH'D SALIM ALMOMANI,Judicial Representatives,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
SALIM MAHMOUD A. SUBEH,Secretaries,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
SALIM MAHMOUD A. SUBEH,Shareholders,C 58920,BLUE DIAMOND OVERSEAS LTD,"Jan 10, 2013",
