name,type,company_id,company_name,registration_date,status
LALCHAND DEVSHI SHAH,Shareholders,C 7263,ASTOR LIMITED,Company Status,
TIMOTHY BENEDICT HOBBS,Legal Representatives,C 73000,ANTHOLOGIE LTD,"Nov 11, 2015",
TIMOTHY BENEDICT HOBBS,Directors,C 73000,ANTHOLOGIE LTD,"Nov 11, 2015",
TIMOTHY BENEDICT HOBBS,Judicial Representatives,C 73000,ANTHOLOGIE LTD,"Nov 11, 2015",
TIMOTHY BENEDICT HOBBS,Shareholders,C 73000,ANTHOLOGIE LTD,"Nov 11, 2015",
LALCHAND DEVSHI SHAH,Shareholders,C 41349,ASTONFIELD SOLAR INTERNATIONAL LIMITED,"May 10, 2007",
ATIQ SAIFUDDIN KARIMBAI ANJARWALLA,Legal Representatives,C 41063,ASTONFIELD RENEWABLE RESOURCES LTD,"Mar 29, 2007",
ATIQ SAIFUDDIN KARIMBAI ANJARWALLA,Directors,C 41063,ASTONFIELD RENEWABLE RESOURCES LTD,"Mar 29, 2007",
ATIQ SAIFUDDIN KARIMBAI ANJARWALLA,Judicial Representatives,C 41063,ASTONFIELD RENEWABLE RESOURCES LTD,"Mar 29, 2007",
LALCHAND DEVSHI SHAH,Shareholders,C 41063,ASTONFIELD RENEWABLE RESOURCES LTD,"Mar 29, 2007",
