name,type,company_id,company_name,registration_date,status
BASHAR A F A ALFULAIJ,Shareholders,C 56419,ATUM INTERNATIONAL HOLDING CO. LTD,"May 24, 2012",
AHDI AYA ALHUNAIF,Shareholders,C 56419,ATUM INTERNATIONAL HOLDING CO. LTD,"May 24, 2012",
BASEL A A A ALZAID,Legal Representatives,C 61474,BARZAN LIMITED,"Aug 07, 2013",
BASEL A A A ALZAID,Directors,C 61474,BARZAN LIMITED,"Aug 07, 2013",
BASEL A A A ALZAID,Judicial Representatives,C 61474,BARZAN LIMITED,"Aug 07, 2013",
BASEL A A A ALZAID,Legal Representatives,C 51090,ALULA LIMITED,"Nov 05, 2010",
BASEL A A A ALZAID,Directors,C 51090,ALULA LIMITED,"Nov 05, 2010",
BASEL A A A ALZAID,Judicial Representatives,C 51090,ALULA LIMITED,"Nov 05, 2010",
AHMED ALSAGER,Legal Representatives,C 72819,ASFAYA LIMITED,"Oct 27, 2015",In Dissolution
AHMED ALSAGER,Directors,C 72819,ASFAYA LIMITED,"Oct 27, 2015",In Dissolution
AHMED ALSAGER,Judicial Representatives,C 72819,ASFAYA LIMITED,"Oct 27, 2015",In Dissolution
AHMED ALSAGER,Shareholders,C 72819,ASFAYA LIMITED,"Oct 27, 2015",In Dissolution
ABDULAZIZ AYA ALZABIN,Legal Representatives,C 76945,AZ & SONS LIMITED,"Aug 22, 2016",
ABDULAZIZ AYA ALZABIN,Directors,C 76945,AZ & SONS LIMITED,"Aug 22, 2016",
ABDULAZIZ AYA ALZABIN,Judicial Representatives,C 76945,AZ & SONS LIMITED,"Aug 22, 2016",
OMAIMAH YMY ALNISF,Secretaries,C 76945,AZ & SONS LIMITED,"Aug 22, 2016",
ABDULAZIZ AYA ALZABIN,Shareholders,C 76945,AZ & SONS LIMITED,"Aug 22, 2016",
