name,type,company_id,company_name,registration_date,status
AIGARS JAKOVELS,Legal Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
JURGIS SEDLENIEKS,Legal Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
AIGARS JAKOVELS,Judicial Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
JURGIS SEDLENIEKS,Judicial Representatives,C 63143,Avia Leasing Limited,"Dec 17, 2013",
AIGARS JAKOVELS,Directors,C 63143,Avia Leasing Limited,"Dec 17, 2013",
JURGIS SEDLENIEKS,Directors,C 63143,Avia Leasing Limited,"Dec 17, 2013",
ALEKSANDRA BREHOVA,Legal Representatives,C 68191,ARCADE HOLDING LIMITED,"Dec 18, 2014",
LARISA BREHOVA,Shareholders,C 68191,ARCADE HOLDING LIMITED,"Dec 18, 2014",
MAKSIMS BREHOVS,Shareholders,C 68191,ARCADE HOLDING LIMITED,"Dec 18, 2014",
ALEKSANDRA BREHOVA,Judicial Representatives,C 68191,ARCADE HOLDING LIMITED,"Dec 18, 2014",
ALEKSANDRA BREHOVA,Directors,C 68191,ARCADE HOLDING LIMITED,"Dec 18, 2014",
Marija Vidinejeva,Secretaries,C 68191,ARCADE HOLDING LIMITED,"Dec 18, 2014",
OLEGS TARARINS,Legal Representatives,C 76858,ARCTURUS TRADING LTD,"Aug 12, 2016",
OLEGS TARARINS,Directors,C 76858,ARCTURUS TRADING LTD,"Aug 12, 2016",
OLEGS TARARINS,Judicial Representatives,C 76858,ARCTURUS TRADING LTD,"Aug 12, 2016",
NATALIJA BERZINA,Secretaries,C 76858,ARCTURUS TRADING LTD,"Aug 12, 2016",
NATALIJA BERZINA,Shareholders,C 76858,ARCTURUS TRADING LTD,"Aug 12, 2016",
OLEGS TARARINS,Shareholders,C 76858,ARCTURUS TRADING LTD,"Aug 12, 2016",
JURIS SABASOVS,Shareholders,C 72664,ANDERSON INVESTMENT LTD,"Oct 15, 2015",
MARIS ARINS,Shareholders,C 48931,BHC INVESTMENT LIMITED,"Feb 18, 2010",
ALEKSANDRA BREHOVA,Legal Representatives,C 58300,Arcade International Limited,"Nov 23, 2012",
Larisa Brehova,Shareholders,C 58300,Arcade International Limited,"Nov 23, 2012",
ALEKSANDRA BREHOVA,Judicial Representatives,C 58300,Arcade International Limited,"Nov 23, 2012",
ALEKSANDRA BREHOVA,Directors,C 58300,Arcade International Limited,"Nov 23, 2012",
Marija Vidinejeva,Secretaries,C 58300,Arcade International Limited,"Nov 23, 2012",
RAIMONDS KISIELS,Legal Representatives,C 51545,Baltic Terminal Holding Limited,"Dec 28, 2010",
RAIMONDS KISIELS,Shareholders,C 51545,Baltic Terminal Holding Limited,"Dec 28, 2010",
ARMANDS SADAUSKIS,Shareholders,C 51545,Baltic Terminal Holding Limited,"Dec 28, 2010",
ALDIS ZILBERS,Shareholders,C 51545,Baltic Terminal Holding Limited,"Dec 28, 2010",
RAIMONDS KISIELS,Judicial Representatives,C 51545,Baltic Terminal Holding Limited,"Dec 28, 2010",
RAIMONDS KISIELS,Directors,C 51545,Baltic Terminal Holding Limited,"Dec 28, 2010",
ROLANDS GORIS,Legal Representatives,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
NATALIJA IPATJEVA,Legal Representatives,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
ROLANDS GORIS,Directors,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
NATALIJA IPATJEVA,Directors,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
ROLANDS GORIS,Judicial Representatives,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
NATALIJA IPATJEVA,Judicial Representatives,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
ROLANDS GORIS,Shareholders,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
NATALIJA IPATJEVA,Shareholders,C 78787,ARVO SERVICES P.L.C.,"Dec 22, 2016",
ARTURS IGNASS,Legal Representatives,C 75203,BLACKSTONE SYSTEMS LIMITED,"Apr 12, 2016",
ARTURS IGNASS,Directors,C 75203,BLACKSTONE SYSTEMS LIMITED,"Apr 12, 2016",
ARTURS IGNASS,Judicial Representatives,C 75203,BLACKSTONE SYSTEMS LIMITED,"Apr 12, 2016",
ARTURS IGNASS,Shareholders,C 75203,BLACKSTONE SYSTEMS LIMITED,"Apr 12, 2016",
VADIMS SOKOLOVS,Legal Representatives,C 51789,BALANS INTERNATIONAL LIMITED,"Jan 25, 2011",
VADIMS SOKOLOVS,Directors,C 51789,BALANS INTERNATIONAL LIMITED,"Jan 25, 2011",
VADIMS SOKOLOVS,Judicial Representatives,C 51789,BALANS INTERNATIONAL LIMITED,"Jan 25, 2011",
VADIMS SOKOLOVS,Shareholders,C 51789,BALANS INTERNATIONAL LIMITED,"Jan 25, 2011",
AIGARS JAKOVELS,Legal Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
JURGIS SEDLENIEKS,Legal Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
AIGARS JAKOVELS,Shareholders,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
JURGIS SEDLENIEKS,Shareholders,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
AIGARS JAKOVELS,Judicial Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
JURGIS SEDLENIEKS,Judicial Representatives,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
AIGARS JAKOVELS,Directors,C 63142,AVIA (HOLDING) LIMITED,"Dec 17, 2013",
