name,type,company_id,company_name,registration_date,status
ALI ADEL A. ALAAWER,Legal Representatives,C 65205,ANIL GROUP LTD,"May 19, 2014",
ALI ADEL A. ALAAWER,Directors,C 65205,ANIL GROUP LTD,"May 19, 2014",
ALI ADEL A. ALAAWER,Judicial Representatives,C 65205,ANIL GROUP LTD,"May 19, 2014",
ALI ADEL A. ALAAWER,Secretaries,C 65205,ANIL GROUP LTD,"May 19, 2014",
ALI ADEL A. ALAAWER,Shareholders,C 65205,ANIL GROUP LTD,"May 19, 2014",
TOHME ADIB,Legal Representatives,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
TOHME ADIB,Directors,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
TOHME ADIB,Judicial Representatives,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
TOHME ADIB,Shareholders,C 70804,ARJAN CAPITAL LIMITED,"May 27, 2015",
MOHAMED BAYOUMI,Legal Representatives,C 62716,BIO TRADING AND INVESTMENT LIMITED,"Nov 20, 2013",
MOHAMED BAYOUMI,Directors,C 62716,BIO TRADING AND INVESTMENT LIMITED,"Nov 20, 2013",
MOHAMED BAYOUMI,Judicial Representatives,C 62716,BIO TRADING AND INVESTMENT LIMITED,"Nov 20, 2013",
MOHAMED BAYOUMI,Secretaries,C 62716,BIO TRADING AND INVESTMENT LIMITED,"Nov 20, 2013",
MOHAMED BAYOUMI,Shareholders,C 62716,BIO TRADING AND INVESTMENT LIMITED,"Nov 20, 2013",
RAMI EL JISR,Legal Representatives,C 70490,BA CAPITAL HOLDING PLC,"May 08, 2015",
RAMI EL JISR,Shareholders,C 70490,BA CAPITAL HOLDING PLC,"May 08, 2015",
RAMI EL JISR,Judicial Representatives,C 70490,BA CAPITAL HOLDING PLC,"May 08, 2015",
RAMI EL JISR,Directors,C 70490,BA CAPITAL HOLDING PLC,"May 08, 2015",
GEORGES I. KFOURI,Legal Representatives,C 34376,ANTOINE NAVIGATION LTD,"Jul 28, 2004",
GEORGES I. KFOURI,Directors,C 34376,ANTOINE NAVIGATION LTD,"Jul 28, 2004",
GEORGES I. KFOURI,Judicial Representatives,C 34376,ANTOINE NAVIGATION LTD,"Jul 28, 2004",
IBRAHIM KFOURY,Shareholders,C 34376,ANTOINE NAVIGATION LTD,"Jul 28, 2004",
MILAD KFOURY,Shareholders,C 34376,ANTOINE NAVIGATION LTD,"Jul 28, 2004",
MERHI ABOU MERHI,Legal Representatives,C 40936,BEIRUT SHIPPING COMPANY LIMITED,"Mar 08, 2007",In Dissolution
MERHI ABOU MERHI,Directors,C 40936,BEIRUT SHIPPING COMPANY LIMITED,"Mar 08, 2007",In Dissolution
MERHI ABOU MERHI,Judicial Representatives,C 40936,BEIRUT SHIPPING COMPANY LIMITED,"Mar 08, 2007",In Dissolution
DANIEL GEBRAN,Legal Representatives,C 52819,AU BON' HEUR DE PAINS LIMITED,"May 11, 2011",In Dissolution
DANIEL GEBRAN,Judicial Representatives,C 52819,AU BON' HEUR DE PAINS LIMITED,"May 11, 2011",In Dissolution
DANIEL GEBRAN,Directors,C 52819,AU BON' HEUR DE PAINS LIMITED,"May 11, 2011",In Dissolution
RAMI EL JISR,Legal Representatives,C 7993,BAABOUD TRADING AND SHIPPING AGENCIES LIMITED,Company Status,
RAMI EL JISR,Shareholders,C 7993,BAABOUD TRADING AND SHIPPING AGENCIES LIMITED,Company Status,
RAMI EL JISR,Judicial Representatives,C 7993,BAABOUD TRADING AND SHIPPING AGENCIES LIMITED,Company Status,
RAMI EL JISR,Directors,C 7993,BAABOUD TRADING AND SHIPPING AGENCIES LIMITED,Company Status,
Awad Hussein,Legal Representatives,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Mohamad Hussein,Legal Representatives,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Awad Hussein,Directors,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Mohamad Hussein,Directors,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Awad Hussein,Judicial Representatives,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Mohamad Hussein,Judicial Representatives,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Mohamad Hussein,Secretaries,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Awad Hussein,Shareholders,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
Mohamad Hussein,Shareholders,C 59449,BIANCONERI CO. LTD,"Feb 25, 2013",
KATIA HARB,Directors,C 27249,BAGATELLE YACHTS (MALTA) LIMITED,"Nov 08, 2000",
TOUFIC AKL,Directors,C 19380,ARGONAUT OIL TRADING COMPANY LIMITED,"Nov 14, 1995",
