name,type,company_id,company_name,registration_date,status
SAMI RAMADAN EL BAKOUSH BEN SAID,Shareholders,C 49890,AS INTERNATIONAL LIMITED,"Jun 11, 2010",In Dissolution
Mohamed Eseid M  Al milade,Legal Representatives,C 67602,BLUE STAR IMPEX LTD,"Nov 17, 2014",
Mohamed Eseid M  Al milade,Directors,C 67602,BLUE STAR IMPEX LTD,"Nov 17, 2014",
Mohamed Eseid M  Al milade,Judicial Representatives,C 67602,BLUE STAR IMPEX LTD,"Nov 17, 2014",
Mohamed Eseid M  Al milade,Secretaries,C 67602,BLUE STAR IMPEX LTD,"Nov 17, 2014",
Mohamed Eseid M  Al milade,Shareholders,C 67602,BLUE STAR IMPEX LTD,"Nov 17, 2014",
ELSADEGH RAMADAN BENGUMA,Legal Representatives,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
SABRIA MABRUK ELMARIMI,Legal Representatives,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
ELSADEGH RAMADAN BENGUMA,Directors,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
SABRIA MABRUK ELMARIMI,Directors,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
ELSADEGH RAMADAN BENGUMA,Judicial Representatives,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
SABRIA MABRUK ELMARIMI,Judicial Representatives,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
SABRIA MABRUK ELMARIMI,Secretaries,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
ELSADEGH RAMADAN BENGUMA,Shareholders,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
SABRIA MABRUK ELMARIMI,Shareholders,C 61870,BEST INVEST INTERNATIONAL LTD,"Sep 12, 2013",
Abdulhakim Saleh I Jwan,Legal Representatives,C 68442,AVERROES LTD,"Mar 09, 2015",
Salem Ali IB  Jwan,Legal Representatives,C 68442,AVERROES LTD,"Mar 09, 2015",
Abdulhakim Saleh I Jwan,Directors,C 68442,AVERROES LTD,"Mar 09, 2015",
