name,type,company_id,company_name,registration_date,status
WERNER VOGT,Legal Representatives,C 50457,BLUE LIMITED,"Aug 18, 2010",
WERNER VOGT,Shareholders,C 50457,BLUE LIMITED,"Aug 18, 2010",
WERNER VOGT,Judicial Representatives,C 50457,BLUE LIMITED,"Aug 18, 2010",
WERNER VOGT,Directors,C 50457,BLUE LIMITED,"Aug 18, 2010",
BERNHARD WILHELM LAMPERT,Shareholders,C 53891,ALLIED FINANCE MALTA LIMITED,"Sep 20, 2011",
BERNHARD WILHELM LAMPERT,Secretaries,C 53891,ALLIED FINANCE MALTA LIMITED,"Sep 20, 2011",
MARKUS M. HASLER,Legal Representatives,C 78358,BITCLEAR LIMITED,"Nov 29, 2016",
MARKUS M. HASLER,Directors,C 78358,BITCLEAR LIMITED,"Nov 29, 2016",
MARKUS M. HASLER,Judicial Representatives,C 78358,BITCLEAR LIMITED,"Nov 29, 2016",
MICHAEL KRANZ,Secretaries,C 78358,BITCLEAR LIMITED,"Nov 29, 2016",
PATRICK FUCHS,Secretaries,C 67837,ARAGORN HOLDINGS LIMITED,"Nov 28, 2014",
HORST ROBERT LAICH,Shareholders,C 20161,BEAUTIFUL SHIPPING LTD,"May 23, 1996",In Dissolution
THOMAS MARTIN JOSEPH WILHELM,Legal Representatives,C 75626,APEX SOLUTIONS LIMITED,"May 16, 2016",
THOMAS MARTIN JOSEPH WILHELM,Directors,C 75626,APEX SOLUTIONS LIMITED,"May 16, 2016",
THOMAS MARTIN JOSEPH WILHELM,Judicial Representatives,C 75626,APEX SOLUTIONS LIMITED,"May 16, 2016",
