name,type,company_id,company_name,registration_date,status
VALERIJ FEDORCOV,Legal Representatives,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
KAZIMIERAS GIMBUTIS,Legal Representatives,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
VALERIJ FEDORCOV,Directors,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
KAZIMIERAS GIMBUTIS,Directors,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
VALERIJ FEDORCOV,Judicial Representatives,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
KAZIMIERAS GIMBUTIS,Judicial Representatives,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
VALERIJ FEDORCOV,Shareholders,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
ARTURAS GEDGAUDAS,Shareholders,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
KAZIMIERAS GIMBUTIS,Shareholders,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
VAIDAS RIMKUS,Legal Representatives,C 73588,BRAND TRADING LIMITED,"Dec 17, 2015",
VAIDAS RIMKUS,Directors,C 73588,BRAND TRADING LIMITED,"Dec 17, 2015",
VAIDAS RIMKUS,Judicial Representatives,C 73588,BRAND TRADING LIMITED,"Dec 17, 2015",
VAIDAS RIMKUS,Shareholders,C 73588,BRAND TRADING LIMITED,"Dec 17, 2015",
LAURAS BUTKEVICIUS,Legal Representatives,C 67809,ATILUS LTD,"Nov 28, 2014",
NERIJUS NUMAVICIUS,Shareholders,C 67809,ATILUS LTD,"Nov 28, 2014",
LAURAS BUTKEVICIUS,Judicial Representatives,C 67809,ATILUS LTD,"Nov 28, 2014",
LAURAS BUTKEVICIUS,Directors,C 67809,ATILUS LTD,"Nov 28, 2014",
AURIMAS LYGNUGARIS,Legal Representatives,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
VYTAUTAS LYGNUGARIS,Legal Representatives,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
AURIMAS LYGNUGARIS,Directors,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
VYTAUTAS LYGNUGARIS,Directors,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
IGORIS UBA,Directors,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
AURIMAS LYGNUGARIS,Judicial Representatives,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
VYTAUTAS LYGNUGARIS,Judicial Representatives,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
VYTAUTAS LYGNUGARIS,Shareholders,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
IGORIS UBA,Shareholders,C 70519,BALTIC MILE HOLDINGS LIMITED,"May 13, 2015",
Justas Petraitis,Legal Representatives,C 69768,AQWADO ENERGY GROUP LIMITED,"Mar 27, 2015",
Justas Petraitis,Directors,C 69768,AQWADO ENERGY GROUP LIMITED,"Mar 27, 2015",
Justas Petraitis,Judicial Representatives,C 69768,AQWADO ENERGY GROUP LIMITED,"Mar 27, 2015",
JONAS SABALIAUSKAS,Legal Representatives,C 71161,8DEVICES EUROPE LIMITED,"Jun 23, 2015",
JONAS SABALIAUSKAS,Shareholders,C 71161,8DEVICES EUROPE LIMITED,"Jun 23, 2015",
JONAS SABALIAUSKAS,Shareholders,C 71161,8DEVICES EUROPE LIMITED,"Jun 23, 2015",
GEDIMINAS SIMANSKIS,Shareholders,C 71161,8DEVICES EUROPE LIMITED,"Jun 23, 2015",
JONAS SABALIAUSKAS,Judicial Representatives,C 71161,8DEVICES EUROPE LIMITED,"Jun 23, 2015",
JONAS SABALIAUSKAS,Directors,C 71161,8DEVICES EUROPE LIMITED,"Jun 23, 2015",
DAINIUS DRUTEIKA,Shareholders,C 73581,BOM FACTORY LIMITED,"Dec 16, 2015",
MIGLE VIRBALAITE,Secretaries,C 80184,BOURBON DAVIES HOLDINGS LIMITED,"Mar 28, 2017",
MIGLE VIRBALAITE,Secretaries,C 80195,BOURBON DAVIES LIMITED,"Mar 28, 2017",
AUDRIUS RAMANAUSKAS,Legal Representatives,C 67690,BLUE OCEAN INVEST LTD.,"Nov 20, 2014",
AUDRIUS RAMANAUSKAS,Directors,C 67690,BLUE OCEAN INVEST LTD.,"Nov 20, 2014",
AUDRIUS RAMANAUSKAS,Judicial Representatives,C 67690,BLUE OCEAN INVEST LTD.,"Nov 20, 2014",
AUDRIUS RAMANAUSKAS,Shareholders,C 67690,BLUE OCEAN INVEST LTD.,"Nov 20, 2014",
