name,type,company_id,company_name,registration_date,status
VICTOR JEAN-MARIE ELVINGER,Legal Representatives,OC 755,BABCOCK LUXEMBOURG INVESTMENTS S.A.R.L. FINANCE BRANCH,"Dec 11, 2013",
VICTOR JEAN-MARIE ELVINGER,Directors,OC 755,BABCOCK LUXEMBOURG INVESTMENTS S.A.R.L. FINANCE BRANCH,"Dec 11, 2013",
VICTOR JEAN-MARIE ELVINGER,Judicial Representatives,OC 755,BABCOCK LUXEMBOURG INVESTMENTS S.A.R.L. FINANCE BRANCH,"Dec 11, 2013",
OLIVER KOEGEL,Legal Representatives,C 77883,BENCUSTODIA LTD,"Oct 31, 2016",
OLIVER KOEGEL,Directors,C 77883,BENCUSTODIA LTD,"Oct 31, 2016",
OLIVER KOEGEL,Judicial Representatives,C 77883,BENCUSTODIA LTD,"Oct 31, 2016",
SONIA BALDAN,Legal Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
GUY HARLES,Legal Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
CLAUDE KREMER,Legal Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
THIERRY LESAGE,Legal Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
JEAN-MARC UEBERECKEN,Legal Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
GUY HARLES,Directors,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
CLAUDE KREMER,Directors,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
THIERRY LESAGE,Directors,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
JEAN-MARC UEBERECKEN,Directors,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
SONIA BALDAN,Judicial Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
GUY HARLES,Judicial Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
CLAUDE KREMER,Judicial Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
THIERRY LESAGE,Judicial Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
JEAN-MARC UEBERECKEN,Judicial Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
PHILIPPE BINDELS,Shareholders,C 52290,ASCALON HOLDINGS LIMITED,"Mar 16, 2011",In Dissolution
CAROLIN GOERGEN,Legal Representatives,OC 681,4FINANCE MALTA,"Jan 23, 2013",
CAROLIN GOERGEN,Directors,OC 681,4FINANCE MALTA,"Jan 23, 2013",
CAROLIN GOERGEN,Judicial Representatives,OC 681,4FINANCE MALTA,"Jan 23, 2013",
VICTOR JEAN-MARIE ELVINGER,Legal Representatives,OC 753,BABCOCK LUXEMBOURG FINANCE S.A.R.L. FINANCE BRANCH,"Nov 19, 2013",
VICTOR JEAN-MARIE ELVINGER,Directors,OC 753,BABCOCK LUXEMBOURG FINANCE S.A.R.L. FINANCE BRANCH,"Nov 19, 2013",
VICTOR JEAN-MARIE ELVINGER,Judicial Representatives,OC 753,BABCOCK LUXEMBOURG FINANCE S.A.R.L. FINANCE BRANCH,"Nov 19, 2013",
