name,type,company_id,company_name,registration_date,status
GORAN CHEJKOV,Legal Representatives,C 71779,BC PROPERTY & CONSULTING LTD,"Aug 07, 2015",
GORAN CHEJKOV,Directors,C 71779,BC PROPERTY & CONSULTING LTD,"Aug 07, 2015",
GORAN CHEJKOV,Judicial Representatives,C 71779,BC PROPERTY & CONSULTING LTD,"Aug 07, 2015",
GORAN CHEJKOV,Legal Representatives,C 80745,AVIOR REAL ESTATE LTD,"May 05, 2017",
GORAN CHEJKOV,Directors,C 80745,AVIOR REAL ESTATE LTD,"May 05, 2017",
GORAN CHEJKOV,Judicial Representatives,C 80745,AVIOR REAL ESTATE LTD,"May 05, 2017",
GORAN CHEJKOV,Legal Representatives,C 79119,AVIOR HOLDING LIMITED,"Jan 16, 2017",
GORAN CHEJKOV,Directors,C 79119,AVIOR HOLDING LIMITED,"Jan 16, 2017",
GORAN CHEJKOV,Judicial Representatives,C 79119,AVIOR HOLDING LIMITED,"Jan 16, 2017",
GORAN CHEJKOV,Legal Representatives,C 7132,AVIOR SHIPPING LTD ( D 2317 ),Company Status,In Dissolution
GORAN CHEJKOV,Directors,C 7132,AVIOR SHIPPING LTD ( D 2317 ),Company Status,In Dissolution
GORAN CHEJKOV,Judicial Representatives,C 7132,AVIOR SHIPPING LTD ( D 2317 ),Company Status,In Dissolution
KOSTANDINA ZAFIROVSKA,Legal Representatives,C 69661,BTOBET LIMITED,"Mar 20, 2015",
KOSTANDINA ZAFIROVSKA,Judicial Representatives,C 69661,BTOBET LIMITED,"Mar 20, 2015",
KOSTANDINA ZAFIROVSKA,Directors,C 69661,BTOBET LIMITED,"Mar 20, 2015",
LJUBOMIR RAKITA,Legal Representatives,C 54160,42 TELECOM SOLUTIONS LTD,"Oct 17, 2011",In Dissolution
LJUBOMIR RAKITA,Shareholders,C 54160,42 TELECOM SOLUTIONS LTD,"Oct 17, 2011",In Dissolution
LJUBOMIR RAKITA,Judicial Representatives,C 54160,42 TELECOM SOLUTIONS LTD,"Oct 17, 2011",In Dissolution
LJUBOMIR RAKITA,Directors,C 54160,42 TELECOM SOLUTIONS LTD,"Oct 17, 2011",In Dissolution
GORAN CHEJKOV,Legal Representatives,C 77196,ALTERNATIVE INVESTMENTS SECURITIES SCC PLC,"Nov 10, 2016",
GORAN CHEJKOV,Directors,C 77196,ALTERNATIVE INVESTMENTS SECURITIES SCC PLC,"Nov 10, 2016",
GORAN CHEJKOV,Judicial Representatives,C 77196,ALTERNATIVE INVESTMENTS SECURITIES SCC PLC,"Nov 10, 2016",
GORAN CHEJKOV,Secretaries,C 77196,ALTERNATIVE INVESTMENTS SECURITIES SCC PLC,"Nov 10, 2016",
GORAN CHEJKOV,Shareholders,C 77196,ALTERNATIVE INVESTMENTS SECURITIES SCC PLC,"Nov 10, 2016",
