name,type,company_id,company_name,registration_date,status
LIM FOO YUEN,Legal Representatives,C 80041,AURA GLOBAL HOLDINGS LIMITED,"Mar 20, 2017",
LIM FOO YUEN,Directors,C 80041,AURA GLOBAL HOLDINGS LIMITED,"Mar 20, 2017",
LIM FOO YUEN,Judicial Representatives,C 80041,AURA GLOBAL HOLDINGS LIMITED,"Mar 20, 2017",
LIM FOO YUEN,Secretaries,C 80041,AURA GLOBAL HOLDINGS LIMITED,"Mar 20, 2017",
LIM FOO YUEN,Shareholders,C 80041,AURA GLOBAL HOLDINGS LIMITED,"Mar 20, 2017",
LIEW TZE ERN,Legal Representatives,C 58344,ALTELYS PHARMA LIMITED,"Nov 23, 2012",
LIEW TZE ERN,Judicial Representatives,C 58344,ALTELYS PHARMA LIMITED,"Nov 23, 2012",
LIEW TZE ERN,Directors,C 58344,ALTELYS PHARMA LIMITED,"Nov 23, 2012",
LIEW TZE ERN,Secretaries,C 58344,ALTELYS PHARMA LIMITED,"Nov 23, 2012",
TANG YEOW WAI,Legal Representatives,C 64403,AR HOLDING LTD,"Mar 26, 2014",
TANG YEOW WAI,Shareholders,C 64403,AR HOLDING LTD,"Mar 26, 2014",
TANG YEOW WAI,Judicial Representatives,C 64403,AR HOLDING LTD,"Mar 26, 2014",
TANG YEOW WAI,Directors,C 64403,AR HOLDING LTD,"Mar 26, 2014",
TANG YEOW WAI,Secretaries,C 64403,AR HOLDING LTD,"Mar 26, 2014",
SHAHARUL REZZA BIN HASSAN,Legal Representatives,C 69886,ARMADA REGASIFICATION SERVICES MALTA LTD.,"Apr 06, 2015",
TAN KEE CHEONG,Legal Representatives,C 69886,ARMADA REGASIFICATION SERVICES MALTA LTD.,"Apr 06, 2015",
SHAHARUL REZZA BIN HASSAN,Judicial Representatives,C 69886,ARMADA REGASIFICATION SERVICES MALTA LTD.,"Apr 06, 2015",
TAN KEE CHEONG,Judicial Representatives,C 69886,ARMADA REGASIFICATION SERVICES MALTA LTD.,"Apr 06, 2015",
SHAHARUL REZZA BIN HASSAN,Directors,C 69886,ARMADA REGASIFICATION SERVICES MALTA LTD.,"Apr 06, 2015",
TAN KEE CHEONG,Directors,C 69886,ARMADA REGASIFICATION SERVICES MALTA LTD.,"Apr 06, 2015",
LIM CHEE SHEONG,Legal Representatives,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
TANG YEOW WAI,Legal Representatives,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
LIM CHEE SHEONG,Directors,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
TANG YEOW WAI,Directors,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
LIM CHEE SHEONG,Judicial Representatives,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
TANG YEOW WAI,Judicial Representatives,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
LIM CHEE SHEONG,Secretaries,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
LIM CHEE SHEONG,Shareholders,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
TANG YEOW WAI,Shareholders,C 66504,BEN LLOYDS INTERNATIONAL HOLDING LTD,"Nov 16, 2015",
MOK CHUANG PENG,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
JEN HENG HAN,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
HIEW YOKE LAN,Legal Representatives,C 48689,Atwood Malta Holding Company Limited,"Jan 19, 2010",
HIEW YOKE LAN,Judicial Representatives,C 48689,Atwood Malta Holding Company Limited,"Jan 19, 2010",
HIEW YOKE LAN,Directors,C 48689,Atwood Malta Holding Company Limited,"Jan 19, 2010",
NADARAJAN S. RASIAH,Legal Representatives,C 56709,BROTHERS HOLDING LIMITED,"Jun 19, 2012",
NADARAJAN S. RASIAH,Judicial Representatives,C 56709,BROTHERS HOLDING LIMITED,"Jun 19, 2012",
NADARAJAN S. RASIAH,Directors,C 56709,BROTHERS HOLDING LIMITED,"Jun 19, 2012",
HIEW YOKE LAN,Legal Representatives,C 39459,ATWOOD OCEANICS MALTA LIMITED,"Sep 01, 2006",
HIEW YOKE LAN,Judicial Representatives,C 39459,ATWOOD OCEANICS MALTA LIMITED,"Sep 01, 2006",
HIEW YOKE LAN,Directors,C 39459,ATWOOD OCEANICS MALTA LIMITED,"Sep 01, 2006",
