name,type,company_id,company_name,registration_date,status
ANTHONY AXISA,Legal Representatives,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
ANTHONY AXISA,Directors,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
ANTHONY AXISA,Judicial Representatives,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
ANTHONY AXISA,Secretaries,C 78132,BROADWAY HOLDINGS LTD,"Nov 15, 2016",
JOSEPH MARY FORMOSA,Legal Representatives,C 80208,ANTARES HOLDING LIMITED,"Mar 28, 2017",
JOSEPH MARY FORMOSA,Directors,C 80208,ANTARES HOLDING LIMITED,"Mar 28, 2017",
JOSEPH MARY FORMOSA,Judicial Representatives,C 80208,ANTARES HOLDING LIMITED,"Mar 28, 2017",
JOSEPH MARY FORMOSA,Secretaries,C 80208,ANTARES HOLDING LIMITED,"Mar 28, 2017",
NEVILLE CARABOTT,Legal Representatives,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
NEVILLE CARABOTT,Judicial Representatives,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
NEVILLE CARABOTT,Directors,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
NEVILLE CARABOTT,Secretaries,C 51513,BC EUROPEAN CAPITAL IX LIMITED,"Dec 22, 2010",
ADRIAN MERCIECA,Secretaries,C 79448,AVIGNON HOLDING LTD,"Feb 07, 2017",
NORMAN DARMANIN DEMAJO,Legal Representatives,C 36727,BELVEDERE ST. JAMES LTD,"Aug 01, 2005",
NORMAN DARMANIN DEMAJO,Judicial Representatives,C 36727,BELVEDERE ST. JAMES LTD,"Aug 01, 2005",
NORMAN DARMANIN DEMAJO,Directors,C 36727,BELVEDERE ST. JAMES LTD,"Aug 01, 2005",
LOUIS FARRUGIA,Secretaries,C 36727,BELVEDERE ST. JAMES LTD,"Aug 01, 2005",
ABDEL KARIM AHMAD,Legal Representatives,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
BRIAN CUTAJAR,Legal Representatives,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
RODERICK CUTAJAR,Legal Representatives,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
ABDEL KARIM AHMAD,Directors,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
BRIAN CUTAJAR,Directors,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
RODERICK CUTAJAR,Directors,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
ABDEL KARIM AHMAD,Judicial Representatives,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
BRIAN CUTAJAR,Judicial Representatives,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
RODERICK CUTAJAR,Judicial Representatives,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
SAM ABELA,Secretaries,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
ABDEL KARIM AHMAD,Shareholders,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
BRIAN CUTAJAR,Shareholders,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
RODERICK CUTAJAR,Shareholders,C 74477,B.M.R. INVESTMENTS LIMITED,"Feb 23, 2016",
CARL ATTARD,Legal Representatives,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
MICHAEL ATTARD,Legal Representatives,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
MICHAEL ATTARD,Shareholders,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
CARL ATTARD,Judicial Representatives,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
MICHAEL ATTARD,Judicial Representatives,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
CARL ATTARD,Directors,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
MICHAEL ATTARD,Directors,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
STEPHEN THAKE,Secretaries,C 18882,ATTARD DEVELOPMENTS LTD,"Aug 04, 1995",
COLIN GREGORY,Legal Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
COLIN GREGORY,Judicial Representatives,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
COLIN GREGORY,Directors,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
COLIN GREGORY,Secretaries,C 6243,BERMARK INDUSTRIES LTD ( D 2873 ),Company Status,In Dissolution
ANTONIO FENECH,Legal Representatives,C 71889,BMAX SHIPPING 5231 LTD.,"Aug 13, 2015",
ANTONIO FENECH,Directors,C 71889,BMAX SHIPPING 5231 LTD.,"Aug 13, 2015",
ANTONIO FENECH,Judicial Representatives,C 71889,BMAX SHIPPING 5231 LTD.,"Aug 13, 2015",
DAVID DEBONO,Legal Representatives,C 81057,ARAVIS LIMITED,"May 25, 2017",
DAVID DEBONO,Directors,C 81057,ARAVIS LIMITED,"May 25, 2017",
DAVID DEBONO,Judicial Representatives,C 81057,ARAVIS LIMITED,"May 25, 2017",
ADRIANA CAMILLERI VASSALLO,Secretaries,C 81057,ARAVIS LIMITED,"May 25, 2017",
FRANCIS BASILE,Legal Representatives,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
FRANCIS BASILE,Judicial Representatives,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
CHARLES SCERRI,Auditors,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
DAVID BASILE,Directors,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
FRANCIS BASILE,Directors,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
FABRIZIA CLELAND,Directors,C 13800,A. Z. SERVICES LIMITED,"Apr 24, 1992",
CARMEL SALIBA,Legal Representatives,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
CARMEL SALIBA,Judicial Representatives,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
CARMEL SALIBA,Directors,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
IVAN SALIBA,Secretaries,C 40091,BRITISH AMERICAN TOBACCO (MALTA) LIMITED,"Nov 30, 2006",
JOSEPH BORG,Directors,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
JOSEPHINE BUGEJA,Directors,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
JULIAN SALIBA,Directors,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
JOSEPH BORG,Judicial Representatives,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
JOSEPHINE BUGEJA,Judicial Representatives,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
JULIAN SALIBA,Judicial Representatives,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
ANTHONY R VALVO,Liquidators,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
EMANUEL SCHEMBRI,Secretaries,C 23585,BSB CRUISES LIMITED,"Oct 19, 1998",In Dissolution
KENNETH CAMILLERI,Legal Representatives,C 45189,AZURE MALTA LTD.,"Sep 23, 2008",
MARTIN WARD,Legal Representatives,C 45189,AZURE MALTA LTD.,"Sep 23, 2008",
KENNETH CAMILLERI,Directors,C 45189,AZURE MALTA LTD.,"Sep 23, 2008",
