name,type,company_id,company_name,registration_date,status
MOHAMMAD YASSIN KHODADEEN,Legal Representatives,C 52644,AlphaBottle Ltd.,"Apr 20, 2011",
MOHAMMAD YASSIN KHODADEEN,Judicial Representatives,C 52644,AlphaBottle Ltd.,"Apr 20, 2011",
MOHAMMAD YASSIN KHODADEEN,Directors,C 52644,AlphaBottle Ltd.,"Apr 20, 2011",
SHANIL RAMTOHUL,Legal Representatives,C 80263,BLUE RIDGE MARKETING LTD,"Mar 30, 2017",
SHANIL RAMTOHUL,Directors,C 80263,BLUE RIDGE MARKETING LTD,"Mar 30, 2017",
SHANIL RAMTOHUL,Judicial Representatives,C 80263,BLUE RIDGE MARKETING LTD,"Mar 30, 2017",
SHANIL RAMTOHUL,Secretaries,C 80263,BLUE RIDGE MARKETING LTD,"Mar 30, 2017",
SHANIL RAMTOHUL,Shareholders,C 80263,BLUE RIDGE MARKETING LTD,"Mar 30, 2017",
YANNICK THIERRY LAURENT HANNELAS,Secretaries,C 60302,ALUMNA LIMITED,"May 03, 2013",
LOMUSS KHOOBHARRY,Legal Representatives,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
SAKEELA DEVI KHOOBHARRY,Legal Representatives,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
GERALDINE SOOBEN,Legal Representatives,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
LOMUSS KHOOBHARRY,Directors,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
SAKEELA DEVI KHOOBHARRY,Directors,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
GERALDINE SOOBEN,Directors,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
LOMUSS KHOOBHARRY,Judicial Representatives,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
SAKEELA DEVI KHOOBHARRY,Judicial Representatives,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
GERALDINE SOOBEN,Judicial Representatives,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
LOMUSS KHOOBHARRY,Secretaries,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
LOMUSS KHOOBHARRY,Shareholders,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
SAKEELA DEVI KHOOBHARRY,Shareholders,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
GERALDINE SOOBEN,Shareholders,C 36710,ARAGORN IMPORT EXPORT LIMITED,"Jul 27, 2005",
STEPHEN JOHN KELLY,Legal Representatives,C 53816,770 Technologies Limited,"Sep 13, 2011",
STEPHEN JOHN KELLY,Directors,C 53816,770 Technologies Limited,"Sep 13, 2011",
STEPHEN JOHN KELLY,Judicial Representatives,C 53816,770 Technologies Limited,"Sep 13, 2011",
MOHAMMAD YASSIN KHODADEEN,Legal Representatives,C 7304,ALPHACOM INT. SERVICES CO. LTD,Company Status,
MOHAMMAD YASSIN KHODADEEN,Judicial Representatives,C 7304,ALPHACOM INT. SERVICES CO. LTD,Company Status,
MOHAMMAD YASSIN KHODADEEN,Directors,C 7304,ALPHACOM INT. SERVICES CO. LTD,Company Status,
