name,type,company_id,company_name,registration_date,status
GASTON MAUVEZIN,Shareholders,C 80343,BLUEDROP SAILING UE LTD,"Apr 06, 2017",
EDWIN IVAN MATA NAVARRO,Legal Representatives,C 75870,ANF AC MALTA LTD,"May 31, 2016",
EDWIN IVAN MATA NAVARRO,Directors,C 75870,ANF AC MALTA LTD,"May 31, 2016",
EDWIN IVAN MATA NAVARRO,Judicial Representatives,C 75870,ANF AC MALTA LTD,"May 31, 2016",
EDWIN IVAN MATA NAVARRO,Shareholders,C 75870,ANF AC MALTA LTD,"May 31, 2016",
FRANCISCO JAVIER DIAZ VAZQUEZ,Legal Representatives,C 73884,APOLLO RIVER SERVICES LIMITED,"Jan 11, 2016",
FRANCISCO JAVIER DIAZ VAZQUEZ,Directors,C 73884,APOLLO RIVER SERVICES LIMITED,"Jan 11, 2016",
FRANCISCO JAVIER DIAZ VAZQUEZ,Judicial Representatives,C 73884,APOLLO RIVER SERVICES LIMITED,"Jan 11, 2016",
JOSE ESPINOSA,Shareholders,C 72418,BETOLIO P.L.C.,"Sep 25, 2015",
JUAN CARLOS DEL BARRIO BURGOS,Legal Representatives,C 57015,Assurant International Division Limited,"Jul 20, 2012",
JUAN CARLOS DEL BARRIO BURGOS,Judicial Representatives,C 57015,Assurant International Division Limited,"Jul 20, 2012",
JUAN CARLOS DEL BARRIO BURGOS,Directors,C 57015,Assurant International Division Limited,"Jul 20, 2012",
JOSEPH GATT RUTTER,Directors,C 12437,3RD MILLENIUM LIMITED,"Mar 08, 1991",
JOSEPH GATT RUTTER,Judicial Representatives,C 12437,3RD MILLENIUM LIMITED,"Mar 08, 1991",
JOSEPH GATT RUTTER,Secretaries,C 12437,3RD MILLENIUM LIMITED,"Mar 08, 1991",
JOSEPH GATT RUTTER,Shareholders,C 12437,3RD MILLENIUM LIMITED,"Mar 08, 1991",
