name,type,company_id,company_name,registration_date,status
JEROME SOLAMITO,Legal Representatives,C 71346,BLUE STONE LIMITED,"Jul 08, 2015",
JEROME SOLAMITO,Directors,C 71346,BLUE STONE LIMITED,"Jul 08, 2015",
JEROME SOLAMITO,Judicial Representatives,C 71346,BLUE STONE LIMITED,"Jul 08, 2015",
JEROME SOLAMITO,Shareholders,C 71346,BLUE STONE LIMITED,"Jul 08, 2015",
JULIEN MAURICE JEAN SOLAMITO,Legal Representatives,C 71433,AZZURRO HOLDING LIMITED,"Jul 14, 2015",
JULIEN MAURICE JEAN SOLAMITO,Directors,C 71433,AZZURRO HOLDING LIMITED,"Jul 14, 2015",
JULIEN MAURICE JEAN SOLAMITO,Judicial Representatives,C 71433,AZZURRO HOLDING LIMITED,"Jul 14, 2015",
JULIEN MAURICE JEAN SOLAMITO,Shareholders,C 71433,AZZURRO HOLDING LIMITED,"Jul 14, 2015",
ANTONIO SPIEZIA,Legal Representatives,C 71556,ARPER SHIPPING LTD,"Jul 22, 2015",
ANTONIO SPIEZIA,Shareholders,C 71556,ARPER SHIPPING LTD,"Jul 22, 2015",
ANTONIO SPIEZIA,Judicial Representatives,C 71556,ARPER SHIPPING LTD,"Jul 22, 2015",
ANTONIO SPIEZIA,Directors,C 71556,ARPER SHIPPING LTD,"Jul 22, 2015",
PATRICIA SALICE,Legal Representatives,C 49788,BALTIC HOLDINGS LIMITED,"May 31, 2010",
PATRICIA SALICE,Judicial Representatives,C 49788,BALTIC HOLDINGS LIMITED,"May 31, 2010",
PATRICIA SALICE,Directors,C 49788,BALTIC HOLDINGS LIMITED,"May 31, 2010",
