name,type,company_id,company_name,registration_date,status
HAMISH GEORGE HURLEY,Legal Representatives,C 7365,BELLUSA BATTERIES LIMITED,Company Status,
HAMISH GEORGE HURLEY,Directors,C 7365,BELLUSA BATTERIES LIMITED,Company Status,
HAMISH GEORGE HURLEY,Judicial Representatives,C 7365,BELLUSA BATTERIES LIMITED,Company Status,
HAMISH GEORGE HURLEY,Secretaries,C 7365,BELLUSA BATTERIES LIMITED,Company Status,
DAVID SCOTT DONALDSON,Legal Representatives,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
DAVID SCOTT DONALDSON,Judicial Representatives,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
DAVID SCOTT DONALDSON,Directors,C 66325,BCM (MALTA) LIMITED,"Aug 08, 2014",
ALAN RAYNOR COLE,Legal Representatives,C 40358,Barossa Holdings Ltd,"Dec 20, 2006",In Dissolution
ALAN RAYNOR COLE,Judicial Representatives,C 40358,Barossa Holdings Ltd,"Dec 20, 2006",In Dissolution
ALAN RAYNOR COLE,Directors,C 40358,Barossa Holdings Ltd,"Dec 20, 2006",In Dissolution
Sophian Msalem,Legal Representatives,C 74711,BBQ Time Ltd,"Mar 11, 2016",
Sophian Msalem,Directors,C 74711,BBQ Time Ltd,"Mar 11, 2016",
Sophian Msalem,Judicial Representatives,C 74711,BBQ Time Ltd,"Mar 11, 2016",
Sophian Msalem,Secretaries,C 74711,BBQ Time Ltd,"Mar 11, 2016",
Sophian Msalem,Shareholders,C 74711,BBQ Time Ltd,"Mar 11, 2016",
BRADFORD ROWLEY,Judicial Representatives,C 68704,AUTUMN SKY MALTA LIMITED,"Jan 23, 2015",
BRADFORD ROWLEY,Directors,C 68704,AUTUMN SKY MALTA LIMITED,"Jan 23, 2015",
BRADFORD ROWLEY,Secretaries,C 68704,AUTUMN SKY MALTA LIMITED,"Jan 23, 2015",
HAMISH GEORGE HURLEY,Legal Representatives,C 6151,BELMAR LTD ( D 4307 ),Company Status,In Dissolution
HAMISH GEORGE HURLEY,Directors,C 6151,BELMAR LTD ( D 4307 ),Company Status,In Dissolution
HAMISH GEORGE HURLEY,Judicial Representatives,C 6151,BELMAR LTD ( D 4307 ),Company Status,In Dissolution
HAMISH GEORGE HURLEY,Secretaries,C 6151,BELMAR LTD ( D 4307 ),Company Status,In Dissolution
BYRAN SOMERVELL PATRICK MARRA,Legal Representatives,C 34541,ATLAS TECHNOLOGY GROUP LIMITED,"Sep 07, 2004",
BYRAN SOMERVELL PATRICK MARRA,Directors,C 34541,ATLAS TECHNOLOGY GROUP LIMITED,"Sep 07, 2004",
BYRAN SOMERVELL PATRICK MARRA,Judicial Representatives,C 34541,ATLAS TECHNOLOGY GROUP LIMITED,"Sep 07, 2004",
RIANDA MARGARET ANNE GITMANS,Shareholders,C 48357,BATES LIMITED,"Dec 07, 2009",
HAMISH GEORGE HURLEY,Legal Representatives,C 75372,BELLTOWER HOLDINGS LTD,"Apr 22, 2016",
HAMISH GEORGE HURLEY,Directors,C 75372,BELLTOWER HOLDINGS LTD,"Apr 22, 2016",
HAMISH GEORGE HURLEY,Judicial Representatives,C 75372,BELLTOWER HOLDINGS LTD,"Apr 22, 2016",
HAMISH GEORGE HURLEY,Secretaries,C 75372,BELLTOWER HOLDINGS LTD,"Apr 22, 2016",
BYRAN SOMERVELL PATRICK MARRA,Legal Representatives,C 34540,ATLAS TECHNOLOGY GROUP HOLDINGS LIMITED,"Sep 07, 2004",
BYRAN SOMERVELL PATRICK MARRA,Directors,C 34540,ATLAS TECHNOLOGY GROUP HOLDINGS LIMITED,"Sep 07, 2004",
BYRAN SOMERVELL PATRICK MARRA,Judicial Representatives,C 34540,ATLAS TECHNOLOGY GROUP HOLDINGS LIMITED,"Sep 07, 2004",
HAMISH GEORGE HURLEY,Legal Representatives,C 75373,BELLTOWER TRADING LTD,"Apr 22, 2016",
HAMISH GEORGE HURLEY,Directors,C 75373,BELLTOWER TRADING LTD,"Apr 22, 2016",
HAMISH GEORGE HURLEY,Judicial Representatives,C 75373,BELLTOWER TRADING LTD,"Apr 22, 2016",
