name,type,company_id,company_name,registration_date,status
SVERRE GJERDE,Directors,C 12286,BERGHAV SHIPPING LIMITED,"Jan 23, 1991",
TRYGVE EINAR GJERDE,Directors,C 12286,BERGHAV SHIPPING LIMITED,"Jan 23, 1991",
TRYGVE EINAR GJERDE,Shareholders,C 12286,BERGHAV SHIPPING LIMITED,"Jan 23, 1991",
THOMAS JACOBSEN,Secretaries,C 48851,ALTAVISTA HOLDING LIMITED,"Feb 09, 2010",In Dissolution
SVEND ERIK ENGER,Legal Representatives,SV 363,BESTUM UNIVERSALIS FUND IC SICAV P.L.C,"May 20, 2015",In Dissolution
SVEND ERIK ENGER,Judicial Representatives,SV 363,BESTUM UNIVERSALIS FUND IC SICAV P.L.C,"May 20, 2015",In Dissolution
SVEND ERIK ENGER,Directors,SV 363,BESTUM UNIVERSALIS FUND IC SICAV P.L.C,"May 20, 2015",In Dissolution
SVEND ERIK ENGER,Legal Representatives,SV 328,ANDROMEDA FIXED INCOME FUND IC SICAV P.L.C.,"Aug 19, 2014",In Dissolution
SVEND ERIK ENGER,Judicial Representatives,SV 328,ANDROMEDA FIXED INCOME FUND IC SICAV P.L.C.,"Aug 19, 2014",In Dissolution
SVEND ERIK ENGER,Directors,SV 328,ANDROMEDA FIXED INCOME FUND IC SICAV P.L.C.,"Aug 19, 2014",In Dissolution
BERNT HENRIK HELLESOE,Legal Representatives,C 53380,ATLANTIC MARINE & SERVICES LTD,"Jul 14, 2011",In Dissolution
BERNT HENRIK HELLESOE,Directors,C 53380,ATLANTIC MARINE & SERVICES LTD,"Jul 14, 2011",In Dissolution
BERNT HENRIK HELLESOE,Judicial Representatives,C 53380,ATLANTIC MARINE & SERVICES LTD,"Jul 14, 2011",In Dissolution
BERNT HENRIK HELLESOE,Shareholders,C 53380,ATLANTIC MARINE & SERVICES LTD,"Jul 14, 2011",In Dissolution
LARS CHRISTIAN BEITNES,Shareholders,C 52847,ALLIED BARRACUDA SOFTWARE LIMITED,"May 13, 2011",
LARS CHRISTIAN BEITNES,Secretaries,C 52847,ALLIED BARRACUDA SOFTWARE LIMITED,"May 13, 2011",
LARS CHRISTIAN BEITNES,Shareholders,C 45725,ATHALA LIMITED,"Dec 01, 2008",
LARS CHRISTIAN BEITNES,Secretaries,C 45725,ATHALA LIMITED,"Dec 01, 2008",
LARS CHRISTIAN BEITNES,Secretaries,C 59510,Aspic Sunth Invest Limited,"Feb 28, 2013",
LARS CHRISTIAN BEITNES,Legal Representatives,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
LARS CHRISTIAN BEITNES,Shareholders,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
LARS CHRISTIAN BEITNES,Judicial Representatives,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
LARS CHRISTIAN BEITNES,Directors,C 43671,ASTON CORPORATE MANAGEMENT (MALTA) LIMITED,"Feb 26, 2008",
TROND-ROGER JOHANNESSEN,Legal Representatives,C 72740,ATR 72 MSN 1313 LTD,"Oct 21, 2015",
GEIR STORMORKEN,Legal Representatives,C 72740,ATR 72 MSN 1313 LTD,"Oct 21, 2015",
TROND-ROGER JOHANNESSEN,Judicial Representatives,C 72740,ATR 72 MSN 1313 LTD,"Oct 21, 2015",
GEIR STORMORKEN,Judicial Representatives,C 72740,ATR 72 MSN 1313 LTD,"Oct 21, 2015",
TROND-ROGER JOHANNESSEN,Directors,C 72740,ATR 72 MSN 1313 LTD,"Oct 21, 2015",
GEIR STORMORKEN,Directors,C 72740,ATR 72 MSN 1313 LTD,"Oct 21, 2015",
PER GEORG BRAATHEN,Legal Representatives,C 71579,BRAMORA LTD,"Jul 23, 2015",
TROND-ROGER JOHANNESSEN,Legal Representatives,C 71579,BRAMORA LTD,"Jul 23, 2015",
GEIR STORMORKEN,Legal Representatives,C 71579,BRAMORA LTD,"Jul 23, 2015",
PER GEORG BRAATHEN,Judicial Representatives,C 71579,BRAMORA LTD,"Jul 23, 2015",
TROND-ROGER JOHANNESSEN,Judicial Representatives,C 71579,BRAMORA LTD,"Jul 23, 2015",
GEIR STORMORKEN,Judicial Representatives,C 71579,BRAMORA LTD,"Jul 23, 2015",
PER GEORG BRAATHEN,Directors,C 71579,BRAMORA LTD,"Jul 23, 2015",
TROND-ROGER JOHANNESSEN,Directors,C 71579,BRAMORA LTD,"Jul 23, 2015",
GEIR STORMORKEN,Directors,C 71579,BRAMORA LTD,"Jul 23, 2015",
KAI HUGO HEBNES,Legal Representatives,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
ANDRE ANDERSEN LAVOLD,Legal Representatives,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
ANDERS BERNSTEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
RAMIN ESHGHIZADEH,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
GEIR MAGNE SKOGHEIM GJERSVOLL,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
OLE ANDREAS HASLESTAD,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
RAYMOND HOPE,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
MARIANN HUSEBO,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
BJORN OLAV JACOBSEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
BJORNAR KAMSVAG THOMASSEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
JANNI KASPERSEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
EDIN LASSE REBAC,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
CAMILLA LAVOLD,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
TERJE HARALD LAVOLD,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
TOR LITLERE,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
OLE MAGNUS URDAL,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
RUDI THOMASSEN,Shareholders,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
KAI HUGO HEBNES,Judicial Representatives,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
ANDRE ANDERSEN LAVOLD,Judicial Representatives,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
KAI HUGO HEBNES,Directors,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
ANDRE ANDERSEN LAVOLD,Directors,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
ANDRE ANDERSEN LAVOLD,Secretaries,C 53088,BERGEN HOLDING P.L.C.,"Jun 10, 2011",
CHRISTIAN MARSTRANDER,Legal Representatives,C 54735,AMAZING WORLD LTD,"Dec 16, 2011",
CHRISTIAN MARSTRANDER,Directors,C 54735,AMAZING WORLD LTD,"Dec 16, 2011",
CHRISTIAN MARSTRANDER,Judicial Representatives,C 54735,AMAZING WORLD LTD,"Dec 16, 2011",
TROND-ROGER JOHANNESSEN,Legal Representatives,C 72736,ATR 72 MSN 1276 Ltd,"Oct 21, 2015",
GEIR STORMORKEN,Legal Representatives,C 72736,ATR 72 MSN 1276 Ltd,"Oct 21, 2015",
TROND-ROGER JOHANNESSEN,Judicial Representatives,C 72736,ATR 72 MSN 1276 Ltd,"Oct 21, 2015",
GEIR STORMORKEN,Judicial Representatives,C 72736,ATR 72 MSN 1276 Ltd,"Oct 21, 2015",
TROND-ROGER JOHANNESSEN,Directors,C 72736,ATR 72 MSN 1276 Ltd,"Oct 21, 2015",
GEIR STORMORKEN,Directors,C 72736,ATR 72 MSN 1276 Ltd,"Oct 21, 2015",
LARS CHRISTIAN BEITNES,Secretaries,C 64905,ASCONE HOLDINGS LIMITED,"Apr 29, 2014",
TROND GORBITZ JUVIK,Legal Representatives,C 35323,BTS CONSULTING & SERVICES LTD,"Dec 22, 2004",
TROND GORBITZ JUVIK,Directors,C 35323,BTS CONSULTING & SERVICES LTD,"Dec 22, 2004",
TROND GORBITZ JUVIK,Judicial Representatives,C 35323,BTS CONSULTING & SERVICES LTD,"Dec 22, 2004",
LARS CHRISTIAN BEITNES,Secretaries,C 61421,BAKSTONE HOLDINGS LIMITED,"Aug 02, 2013",
LASSE BERNHARD KJELSAS,Legal Representatives,C 55939,ATLANTICA GAMMA LTD,"Apr 11, 2012",
LASSE BERNHARD KJELSAS,Judicial Representatives,C 55939,ATLANTICA GAMMA LTD,"Apr 11, 2012",
LASSE BERNHARD KJELSAS,Directors,C 55939,ATLANTICA GAMMA LTD,"Apr 11, 2012",
LARS CHRISTIAN BEITNES,Secretaries,C 50712,BLUEFISH PHARMA HOLDING LIMITED,"Sep 24, 2010",
LARS CHRISTIAN BEITNES,Secretaries,C 61666,BALMIER HOLDINGS LIMITED,"Aug 23, 2013",
LARS CHRISTIAN BEITNES,Secretaries,C 59515,AZOLLA HOLDINGS LIMITED,"Feb 28, 2013",
RENE SKAFLESTAD,Shareholders,C 72381,BUCEPHALUS TECH LTD,"Sep 24, 2015",
SVERRE HUSTVEIT,Legal Representatives,C 64529,ARCTIC HORIZON LIMITED,"Apr 03, 2014",
SVERRE HUSTVEIT,Shareholders,C 64529,ARCTIC HORIZON LIMITED,"Apr 03, 2014",
SVERRE HUSTVEIT,Judicial Representatives,C 64529,ARCTIC HORIZON LIMITED,"Apr 03, 2014",
SVERRE HUSTVEIT,Directors,C 64529,ARCTIC HORIZON LIMITED,"Apr 03, 2014",
WIDAR RODSAS,Secretaries,C 64529,ARCTIC HORIZON LIMITED,"Apr 03, 2014",
LARS CHRISTIAN BEITNES,Secretaries,C 50713,Bluefish Pharma Malta Limited,"Sep 24, 2010",
FRIDTJOV RUNE LODERUP,Shareholders,C 77556,BET13 HOLDING LTD,"Oct 10, 2016",
LASSE BERNHARD KJELSAS,Legal Representatives,C 59000,ATLANTICA DELTA LTD,"Jan 17, 2013",
LASSE BERNHARD KJELSAS,Judicial Representatives,C 59000,ATLANTICA DELTA LTD,"Jan 17, 2013",
LASSE BERNHARD KJELSAS,Directors,C 59000,ATLANTICA DELTA LTD,"Jan 17, 2013",
PER GEORG BRAATHEN,Legal Representatives,C 71463,BRAIDA LTD.,"Jul 15, 2015",
TROND-ROGER JOHANNESSEN,Legal Representatives,C 71463,BRAIDA LTD.,"Jul 15, 2015",
GEIR STORMORKEN,Legal Representatives,C 71463,BRAIDA LTD.,"Jul 15, 2015",
IDA PERNILLE BRAATHEN,Shareholders,C 71463,BRAIDA LTD.,"Jul 15, 2015",
PER GEORG BRAATHEN,Judicial Representatives,C 71463,BRAIDA LTD.,"Jul 15, 2015",
TROND-ROGER JOHANNESSEN,Judicial Representatives,C 71463,BRAIDA LTD.,"Jul 15, 2015",
GEIR STORMORKEN,Judicial Representatives,C 71463,BRAIDA LTD.,"Jul 15, 2015",
PER GEORG BRAATHEN,Directors,C 71463,BRAIDA LTD.,"Jul 15, 2015",
TROND-ROGER JOHANNESSEN,Directors,C 71463,BRAIDA LTD.,"Jul 15, 2015",
GEIR STORMORKEN,Directors,C 71463,BRAIDA LTD.,"Jul 15, 2015",
