name,type,company_id,company_name,registration_date,status
SADIQ ALI PANJWANI,Directors,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
SADIQ ALI PANJWANI,Shareholders,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
NAYYER IQBAL,Legal Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
OSAMA NADEEM,Legal Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
ABEERA NAYYER,Legal Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NADEEM IQBAL SHEIKH,Legal Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NAYYER IQBAL,Directors,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
OSAMA NADEEM,Directors,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
ABEERA NAYYER,Directors,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NADEEM IQBAL SHEIKH,Directors,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NAYYER IQBAL,Judicial Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
OSAMA NADEEM,Judicial Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
ABEERA NAYYER,Judicial Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NADEEM IQBAL SHEIKH,Judicial Representatives,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NAYYER IQBAL,Secretaries,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NAYYER IQBAL,Shareholders,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
OSAMA NADEEM,Shareholders,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
ABEERA NAYYER,Shareholders,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
NADEEM IQBAL SHEIKH,Shareholders,C 72445,ASCLEPIUS MED COMPANY LTD,"Sep 29, 2015",
ASAD SHAUKAT ALI,Shareholders,C 64769,ATLANTIC FUELEX LTD,"Apr 21, 2014",
ASHFAQ AHMAD,Legal Representatives,C 71647,BIG Feed Ltd,"Aug 12, 2015",
ASHFAQ AHMAD,Directors,C 71647,BIG Feed Ltd,"Aug 12, 2015",
