name,type,company_id,company_name,registration_date,status
ISMAEL ENRIQUE GERLI CHAMPSAUR,Legal Representatives,C 32063,A.SKY SHIPPING LIMITED,"Sep 11, 2003",
ISMAEL ENRIQUE GERLI CHAMPSAUR,Directors,C 32063,A.SKY SHIPPING LIMITED,"Sep 11, 2003",
ISMAEL ENRIQUE GERLI CHAMPSAUR,Judicial Representatives,C 32063,A.SKY SHIPPING LIMITED,"Sep 11, 2003",
ERASMO ALBERTO ORILLAC MOTTA,Legal Representatives,C 52382,Browley Malta Limited,"Mar 24, 2011",In Dissolution
ERASMO ALBERTO ORILLAC MOTTA,Judicial Representatives,C 52382,Browley Malta Limited,"Mar 24, 2011",In Dissolution
ERASMO ALBERTO ORILLAC MOTTA,Directors,C 52382,Browley Malta Limited,"Mar 24, 2011",In Dissolution
JOSE ROBERTO LUTRELL TEDMAN,Legal Representatives,C 74203,ALTA PHOCEA LTD,"Feb 02, 2016",
JOSE ROBERTO LUTRELL TEDMAN,Directors,C 74203,ALTA PHOCEA LTD,"Feb 02, 2016",
JOSE ROBERTO LUTRELL TEDMAN,Judicial Representatives,C 74203,ALTA PHOCEA LTD,"Feb 02, 2016",
GUSTAVO JOSE LUTTRELL MORATORIO,Secretaries,C 74203,ALTA PHOCEA LTD,"Feb 02, 2016",
RAMON FERNANDEZ SINISTERRA,Legal Representatives,C 34313,ANDA SHIPPING LIMITED,"Jul 20, 2004",
RAMON FERNANDEZ SINISTERRA,Directors,C 34313,ANDA SHIPPING LIMITED,"Jul 20, 2004",
RAMON FERNANDEZ SINISTERRA,Judicial Representatives,C 34313,ANDA SHIPPING LIMITED,"Jul 20, 2004",
EMMA ROSA NUNEZ SOLIS,Legal Representatives,C 39731,BRILLIANT TECHNO IDEAS ITC LIMITED,"Oct 11, 2006",
EMMA ROSA NUNEZ SOLIS,Directors,C 39731,BRILLIANT TECHNO IDEAS ITC LIMITED,"Oct 11, 2006",
EMMA ROSA NUNEZ SOLIS,Judicial Representatives,C 39731,BRILLIANT TECHNO IDEAS ITC LIMITED,"Oct 11, 2006",
EMMA ROSA NUNEZ SOLIS,Shareholders,C 39731,BRILLIANT TECHNO IDEAS ITC LIMITED,"Oct 11, 2006",
EMMA ROSA NUNEZ SOLIS,Secretaries,C 39731,BRILLIANT TECHNO IDEAS ITC LIMITED,"Oct 11, 2006",
JOHN BENJAMIN FOSTER ACOSTA,Legal Representatives,C 43876,AUDIOVISUAL CONTENT PRODUCTION LIMITED,"Mar 27, 2008",
JOHN BENJAMIN FOSTER ACOSTA,Directors,C 43876,AUDIOVISUAL CONTENT PRODUCTION LIMITED,"Mar 27, 2008",
JOHN BENJAMIN FOSTER ACOSTA,Judicial Representatives,C 43876,AUDIOVISUAL CONTENT PRODUCTION LIMITED,"Mar 27, 2008",
FERNANDO ANTONIO GIL,Secretaries,C 43876,AUDIOVISUAL CONTENT PRODUCTION LIMITED,"Mar 27, 2008",
EMMA ROSA NUNEZ SOLIS,Legal Representatives,C 6675,BRIMGRIM LTD ( D 2394 ),Company Status,In Dissolution
EMMA ROSA NUNEZ SOLIS,Directors,C 6675,BRIMGRIM LTD ( D 2394 ),Company Status,In Dissolution
EMMA ROSA NUNEZ SOLIS,Judicial Representatives,C 6675,BRIMGRIM LTD ( D 2394 ),Company Status,In Dissolution
EMMA ROSA NUNEZ SOLIS,Shareholders,C 6675,BRIMGRIM LTD ( D 2394 ),Company Status,In Dissolution
EMMA ROSA NUNEZ SOLIS,Secretaries,C 6675,BRIMGRIM LTD ( D 2394 ),Company Status,In Dissolution
EMMA ROSA NUNEZ SOLIS,Legal Representatives,C 6187,BRIMSON JEWELLERY COMPANY LTD.,Company Status,
EMMA ROSA NUNEZ SOLIS,Directors,C 6187,BRIMSON JEWELLERY COMPANY LTD.,Company Status,
EMMA ROSA NUNEZ SOLIS,Judicial Representatives,C 6187,BRIMSON JEWELLERY COMPANY LTD.,Company Status,
EMMA ROSA NUNEZ SOLIS,Shareholders,C 6187,BRIMSON JEWELLERY COMPANY LTD.,Company Status,
EMMA ROSA NUNEZ SOLIS,Secretaries,C 6187,BRIMSON JEWELLERY COMPANY LTD.,Company Status,
EMMA ROSA NUNEZ SOLIS,Legal Representatives,C 7050,BRIMA LTD,Company Status,
EMMA ROSA NUNEZ SOLIS,Directors,C 7050,BRIMA LTD,Company Status,
EMMA ROSA NUNEZ SOLIS,Judicial Representatives,C 7050,BRIMA LTD,Company Status,
EMMA ROSA NUNEZ SOLIS,Shareholders,C 7050,BRIMA LTD,Company Status,
EMMA ROSA NUNEZ SOLIS,Secretaries,C 7050,BRIMA LTD,Company Status,
