name,type,company_id,company_name,registration_date,status
DIEGO RICARDO WASMOSY CARRASCO,Legal Representatives,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Shareholders,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Judicial Representatives,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Directors,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Secretaries,C 50813,4GB HOLDINGS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Legal Representatives,C 50815,BICHOSTARS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Shareholders,C 50815,BICHOSTARS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Judicial Representatives,C 50815,BICHOSTARS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Directors,C 50815,BICHOSTARS LTD,"Oct 07, 2010",
DIEGO RICARDO WASMOSY CARRASCO,Secretaries,C 50815,BICHOSTARS LTD,"Oct 07, 2010",
