name,type,company_id,company_name,registration_date,status
JOSEFA SOBERANO,Legal Representatives,C 31754,BRAVE BULK TRANSPORT LTD,"Jul 11, 2003",
JOSEFA SOBERANO,Directors,C 31754,BRAVE BULK TRANSPORT LTD,"Jul 11, 2003",
JOSEFA SOBERANO,Judicial Representatives,C 31754,BRAVE BULK TRANSPORT LTD,"Jul 11, 2003",
MARIA TERESA A. DESCAYA,Legal Representatives,C 46927,ASIAN TRADE CENTRE (MALTA) LIMITED,"Jun 01, 2009",
MARIA TERESA A. DESCAYA,Directors,C 46927,ASIAN TRADE CENTRE (MALTA) LIMITED,"Jun 01, 2009",
MARIA TERESA A. DESCAYA,Judicial Representatives,C 46927,ASIAN TRADE CENTRE (MALTA) LIMITED,"Jun 01, 2009",
MARIA TERESA A. DESCAYA,Shareholders,C 46927,ASIAN TRADE CENTRE (MALTA) LIMITED,"Jun 01, 2009",
SALVADOR TROMPETA,Legal Representatives,C 40968,BISON MARITIME COMPANY LIMITED,"Mar 15, 2007",In Dissolution
SALVADOR TROMPETA,Directors,C 40968,BISON MARITIME COMPANY LIMITED,"Mar 15, 2007",In Dissolution
SALVADOR TROMPETA,Judicial Representatives,C 40968,BISON MARITIME COMPANY LIMITED,"Mar 15, 2007",In Dissolution
SALVADOR TROMPETA,Shareholders,C 40968,BISON MARITIME COMPANY LIMITED,"Mar 15, 2007",In Dissolution
ELVIN MONTES,Legal Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
ELVIN MONTES,Judicial Representatives,OC 1070,ARENDT SERVICES S.A.,"Jul 08, 2016",
ERNIE DONDON VACAL,Legal Representatives,C 77435,ALTPAYNET EUROPE LIMITED,"Oct 13, 2016",
ERNIE DONDON VACAL,Directors,C 77435,ALTPAYNET EUROPE LIMITED,"Oct 13, 2016",
ERNIE DONDON VACAL,Judicial Representatives,C 77435,ALTPAYNET EUROPE LIMITED,"Oct 13, 2016",
ERNIE DONDON VACAL,Shareholders,C 77435,ALTPAYNET EUROPE LIMITED,"Oct 13, 2016",
