name,type,company_id,company_name,registration_date,status
DARIUSZ JAN PRZESLAWSKI,Legal Representatives,C 72502,BTW LTD,"Oct 02, 2015",
DARIUSZ JAN PRZESLAWSKI,Directors,C 72502,BTW LTD,"Oct 02, 2015",
DARIUSZ JAN PRZESLAWSKI,Judicial Representatives,C 72502,BTW LTD,"Oct 02, 2015",
MARCIN TOMASZ PRZESLAWSKI,Secretaries,C 72502,BTW LTD,"Oct 02, 2015",
MARCIN TOMASZ PRZESLAWSKI,Shareholders,C 72502,BTW LTD,"Oct 02, 2015",
RODOSLAW KAROL POGODA,Legal Representatives,C 62165,AXEM LIMITED,"Oct 09, 2013",
RODOSLAW KAROL POGODA,Directors,C 62165,AXEM LIMITED,"Oct 09, 2013",
RODOSLAW KAROL POGODA,Judicial Representatives,C 62165,AXEM LIMITED,"Oct 09, 2013",
AGNIESZKA RZEPECKA,Secretaries,C 62165,AXEM LIMITED,"Oct 09, 2013",
PIOTR KRASNODEBSKI,Shareholders,C 62165,AXEM LIMITED,"Oct 09, 2013",
PIOTR ORZECHOWSKI,Shareholders,C 62165,AXEM LIMITED,"Oct 09, 2013",
AGNIESZKA RZEPECKA,Secretaries,C 60255,Black Oak Holdings Limited,"Apr 30, 2013",
AGNIESZKA RZEPECKA,Legal Representatives,C 57976,AVIX MANAGEMENT LIMITED,"Oct 23, 2012",
AGNIESZKA RZEPECKA,Judicial Representatives,C 57976,AVIX MANAGEMENT LIMITED,"Oct 23, 2012",
AGNIESZKA RZEPECKA,Directors,C 57976,AVIX MANAGEMENT LIMITED,"Oct 23, 2012",
AGNIESZKA RZEPECKA,Secretaries,C 57976,AVIX MANAGEMENT LIMITED,"Oct 23, 2012",
RADOSLAW SZYMON SKALSKI,Legal Representatives,C 44430,Betfold Limited,"Jun 11, 2008",
RADOSLAW SZYMON SKALSKI,Directors,C 44430,Betfold Limited,"Jun 11, 2008",
RADOSLAW SZYMON SKALSKI,Judicial Representatives,C 44430,Betfold Limited,"Jun 11, 2008",
RADOSLAW SZYMON SKALSKI,Shareholders,C 44430,Betfold Limited,"Jun 11, 2008",
BARTOSZ FREILICH,Legal Representatives,C 41484,BULK CARAVEL SHIPPING LTD,"May 28, 2007",
BARTOSZ FREILICH,Directors,C 41484,BULK CARAVEL SHIPPING LTD,"May 28, 2007",
BARTOSZ FREILICH,Judicial Representatives,C 41484,BULK CARAVEL SHIPPING LTD,"May 28, 2007",
BARTOSZ FREILICH,Shareholders,C 41484,BULK CARAVEL SHIPPING LTD,"May 28, 2007",
BARTOSZ FREILICH,Legal Representatives,C 44393,BLUE WAKE SHIPPING LTD,"Jun 05, 2008",
BARTOSZ FREILICH,Directors,C 44393,BLUE WAKE SHIPPING LTD,"Jun 05, 2008",
BARTOSZ FREILICH,Judicial Representatives,C 44393,BLUE WAKE SHIPPING LTD,"Jun 05, 2008",
BARTOSZ FREILICH,Shareholders,C 44393,BLUE WAKE SHIPPING LTD,"Jun 05, 2008",
PAWEL PIECHOWICZ,Legal Representatives,C 59179,BLUE SKY MALTA TRADING LIMITED,"Feb 01, 2013",In Dissolution
PIOTR CEMPEL,Shareholders,C 59179,BLUE SKY MALTA TRADING LIMITED,"Feb 01, 2013",In Dissolution
PAWEL PIECHOWICZ,Shareholders,C 59179,BLUE SKY MALTA TRADING LIMITED,"Feb 01, 2013",In Dissolution
PAWEL PIECHOWICZ,Judicial Representatives,C 59179,BLUE SKY MALTA TRADING LIMITED,"Feb 01, 2013",In Dissolution
PAWEL PIECHOWICZ,Directors,C 59179,BLUE SKY MALTA TRADING LIMITED,"Feb 01, 2013",In Dissolution
PIOTR CEMPEL,Secretaries,C 59179,BLUE SKY MALTA TRADING LIMITED,"Feb 01, 2013",In Dissolution
JACEK ROSZYK,Legal Representatives,C 78853,ANURA INVESTMENTS LIMITED,"Dec 23, 2016",
JACEK ROSZYK,Directors,C 78853,ANURA INVESTMENTS LIMITED,"Dec 23, 2016",
JACEK ROSZYK,Judicial Representatives,C 78853,ANURA INVESTMENTS LIMITED,"Dec 23, 2016",
JACEK ROSZYK,Secretaries,C 78853,ANURA INVESTMENTS LIMITED,"Dec 23, 2016",
JACEK ROSZYK,Shareholders,C 78853,ANURA INVESTMENTS LIMITED,"Dec 23, 2016",
ANDRZEJ CHMIELEWSKI,Legal Representatives,C 68351,BLUE HILLS LIMITED,"Dec 29, 2014",
ANDRZEJ CHMIELEWSKI,Directors,C 68351,BLUE HILLS LIMITED,"Dec 29, 2014",
ANDRZEJ CHMIELEWSKI,Judicial Representatives,C 68351,BLUE HILLS LIMITED,"Dec 29, 2014",
ANDRZEJ CHMIELEWSKI,Shareholders,C 68351,BLUE HILLS LIMITED,"Dec 29, 2014",
Eyal Peretz,Legal Representatives,C 76774,Alpha-Int Properties Ltd,"Aug 10, 2016",
Eyal Peretz,Directors,C 76774,Alpha-Int Properties Ltd,"Aug 10, 2016",
Eyal Peretz,Judicial Representatives,C 76774,Alpha-Int Properties Ltd,"Aug 10, 2016",
Eyal Peretz,Secretaries,C 76774,Alpha-Int Properties Ltd,"Aug 10, 2016",
ALEKSANDRA OLSZYNSKA,Legal Representatives,C 76714,A.C.A MALTA TRADE LTD,"Aug 03, 2016",
ALEKSANDRA OLSZYNSKA,Directors,C 76714,A.C.A MALTA TRADE LTD,"Aug 03, 2016",
ALEKSANDRA OLSZYNSKA,Judicial Representatives,C 76714,A.C.A MALTA TRADE LTD,"Aug 03, 2016",
ALEKSANDRA OLSZYNSKA,Secretaries,C 76714,A.C.A MALTA TRADE LTD,"Aug 03, 2016",
ALICJA JOLANTA BRZOSKA,Shareholders,C 76714,A.C.A MALTA TRADE LTD,"Aug 03, 2016",
GRZEGORZ ARTUR MADEJ,Legal Representatives,C 74109,BET GAME LIMITED,"Jan 27, 2016",
GRZEGORZ ARTUR MADEJ,Directors,C 74109,BET GAME LIMITED,"Jan 27, 2016",
GRZEGORZ ARTUR MADEJ,Judicial Representatives,C 74109,BET GAME LIMITED,"Jan 27, 2016",
KAROL JULIAN ABRASOWICZ-MADEJ,Shareholders,C 74109,BET GAME LIMITED,"Jan 27, 2016",
MAGDALENA DIANA MURRAY,Legal Representatives,C 43509,BLUE PLANET INVESTMENT MANAGEMENT LTD,"Feb 07, 2008",
MAGDALENA DIANA MURRAY,Judicial Representatives,C 43509,BLUE PLANET INVESTMENT MANAGEMENT LTD,"Feb 07, 2008",
MAGDALENA DIANA MURRAY,Directors,C 43509,BLUE PLANET INVESTMENT MANAGEMENT LTD,"Feb 07, 2008",
DARIUSZ PAWEL MALIRZ,Legal Representatives,C 66952,BAHRIJA LIMITED,"Oct 03, 2014",
DARIUSZ PAWEL MALIRZ,Directors,C 66952,BAHRIJA LIMITED,"Oct 03, 2014",
DARIUSZ PAWEL MALIRZ,Judicial Representatives,C 66952,BAHRIJA LIMITED,"Oct 03, 2014",
DARIUSZ PAWEL MALIRZ,Secretaries,C 66952,BAHRIJA LIMITED,"Oct 03, 2014",
ANNA AGNIESZKA PRZYWECKA-TURCZYN,Legal Representatives,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
TOMASZ MARCIN TURCZYN,Legal Representatives,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
ANNA AGNIESZKA PRZYWECKA-TURCZYN,Directors,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
TOMASZ MARCIN TURCZYN,Directors,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
ANNA AGNIESZKA PRZYWECKA-TURCZYN,Judicial Representatives,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
TOMASZ MARCIN TURCZYN,Judicial Representatives,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
ANNA AGNIESZKA PRZYWECKA-TURCZYN,Secretaries,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
ANNA AGNIESZKA PRZYWECKA-TURCZYN,Shareholders,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
TOMASZ MARCIN TURCZYN,Shareholders,C 74141,AQUILA CONSULTING LIMITED,"Jan 28, 2016",
Karol August Klonowski,Legal Representatives,C 76260,Armada Media Ltd,"Aug 19, 2016",
Karol August Klonowski,Directors,C 76260,Armada Media Ltd,"Aug 19, 2016",
Karol August Klonowski,Judicial Representatives,C 76260,Armada Media Ltd,"Aug 19, 2016",
Karol August Klonowski,Secretaries,C 76260,Armada Media Ltd,"Aug 19, 2016",
Karol August Klonowski,Shareholders,C 76260,Armada Media Ltd,"Aug 19, 2016",
PAWEL KRZEMIENIECKI,Legal Representatives,C 75993,BIELAN HOLDING LIMITED,"Jun 10, 2016",
PAWEL KRZEMIENIECKI,Directors,C 75993,BIELAN HOLDING LIMITED,"Jun 10, 2016",
