name,type,company_id,company_name,registration_date,status
MARIA AMELIA DE OLIVEIRA L GONCALVES DE M MEQUITA,Legal Representatives,C 73791,BERESFORD FINANCE LIMITED,"Dec 30, 2015",
MARIA AMELIA DE OLIVEIRA L GONCALVES DE M MEQUITA,Directors,C 73791,BERESFORD FINANCE LIMITED,"Dec 30, 2015",
MARIA AMELIA DE OLIVEIRA L GONCALVES DE M MEQUITA,Judicial Representatives,C 73791,BERESFORD FINANCE LIMITED,"Dec 30, 2015",
PEDRO MANUEL DE SEABRA VAN ZELLER,Shareholders,C 73791,BERESFORD FINANCE LIMITED,"Dec 30, 2015",
PAULA CRISTINA MACEDO DE OLIVEIRA,Legal Representatives,C 60054,ATLANTIC INVESTMENTS AND CONSULTING LIMITED,"Apr 17, 2013",
PAULA CRISTINA MACEDO DE OLIVEIRA,Judicial Representatives,C 60054,ATLANTIC INVESTMENTS AND CONSULTING LIMITED,"Apr 17, 2013",
PAULA CRISTINA MACEDO DE OLIVEIRA,Directors,C 60054,ATLANTIC INVESTMENTS AND CONSULTING LIMITED,"Apr 17, 2013",
CLAUDIA CRISTINA TEIXEIRA RIBEIRO FRAGATA,Legal Representatives,C 48782,6 STARS LTD,"Jan 29, 2010",
CLAUDIA CRISTINA TEIXEIRA RIBEIRO FRAGATA,Directors,C 48782,6 STARS LTD,"Jan 29, 2010",
CLAUDIA CRISTINA TEIXEIRA RIBEIRO FRAGATA,Judicial Representatives,C 48782,6 STARS LTD,"Jan 29, 2010",
JOAQUIM FRANCISCO DA SILVA PINTO,Legal Representatives,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
PAULO EDUARDO MACHADO FERNANDES,Legal Representatives,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
JOAQUIM FRANCISCO DA SILVA PINTO,Directors,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
PAULO EDUARDO MACHADO FERNANDES,Directors,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
JOAQUIM FRANCISCO DA SILVA PINTO,Judicial Representatives,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
PAULO EDUARDO MACHADO FERNANDES,Judicial Representatives,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
PAULO EDUARDO MACHADO FERNANDES,Secretaries,C 43204,Banif Holding (Malta) Limited,"Dec 26, 2007",
PAULO FERNANDO DE OLIVEIRA REIS ALVES,Legal Representatives,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
JOAO MIGUEL GOMES FERREIRA DE FREITAS,Legal Representatives,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
PAULO FERNANDO DE OLIVEIRA REIS ALVES,Directors,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
JOAO MIGUEL GOMES FERREIRA DE FREITAS,Directors,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
PAULO FERNANDO DE OLIVEIRA REIS ALVES,Judicial Representatives,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
JOAO MIGUEL GOMES FERREIRA DE FREITAS,Judicial Representatives,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
JOAO MIGUEL GOMES FERREIRA DE FREITAS,Secretaries,C 49676,ALMAK TRADING LIMITED,"May 17, 2010",
RUI MIGUEL PEREIRA GUEDES HENRIQUES,Secretaries,C 46161,BT INVESTMENTS LTD.,"Feb 04, 2009",
FREDERICO DORIA MONTEIRO DE GOUVEIA E SILVA,Secretaries,C 79467,ARTSENIC LTD,"Feb 08, 2017",
FREDERICO DORIA MONTEIRO DE GOUVEIA E SILVA,Secretaries,C 75716,BLUE SKY OPERATIONS LTD,"May 23, 2016",
JOAO MANUEL CERCA BRITES MOITA,Directors,C 20074,ALPHA NAVIGATION LTD,"Apr 30, 1996",
JOAO MANUEL CERCA BRITES MOITA,Shareholders,C 20074,ALPHA NAVIGATION LTD,"Apr 30, 1996",
FREDERICO DORIA MONTEIRO DE GOUVEIA E SILVA,Secretaries,C 77341,BOA ESPERANCA LTD,"Sep 22, 2016",
FREDERICO DORIA MONTEIRO DE GOUVEIA E SILVA,Secretaries,C 78921,BREVAL GROUP HOLDING LTD,"Dec 30, 2016",
DAVID PEDRO LEITAO MONTEIRO VALADARES COELHO,Legal Representatives,C 81254,ARTFIN LIMITED,"Jun 09, 2017",
DAVID PEDRO LEITAO MONTEIRO VALADARES COELHO,Directors,C 81254,ARTFIN LIMITED,"Jun 09, 2017",
DAVID PEDRO LEITAO MONTEIRO VALADARES COELHO,Judicial Representatives,C 81254,ARTFIN LIMITED,"Jun 09, 2017",
