name,type,company_id,company_name,registration_date,status
MITICA GRANCIU,Legal Representatives,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
VALERIU PILEANDRA,Legal Representatives,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
MITICA GRANCIU,Directors,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
VALERIU PILEANDRA,Directors,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
MITICA GRANCIU,Judicial Representatives,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
VALERIU PILEANDRA,Judicial Representatives,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
VALERIU PILEANDRA,Secretaries,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
MITICA GRANCIU,Shareholders,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
VALERIU PILEANDRA,Shareholders,C 61313,ART FINISHES LIMITED,"Jul 25, 2013",
PARASCHIVA CARMEN BRAN,Legal Representatives,C 78385,ATC TRADING HOLDINGS LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Directors,C 78385,ATC TRADING HOLDINGS LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Judicial Representatives,C 78385,ATC TRADING HOLDINGS LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Secretaries,C 78385,ATC TRADING HOLDINGS LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Shareholders,C 78385,ATC TRADING HOLDINGS LTD,"Nov 30, 2016",
ION BOGDAN BERCIU,Legal Representatives,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
BOGDAN MIHAI MARINESCU,Legal Representatives,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
ION BOGDAN BERCIU,Shareholders,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
BOGDAN MIHAI MARINESCU,Shareholders,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
MARIAN MARINESCU,Shareholders,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
ALEXANDRU-PETRE POPESCU,Shareholders,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
ION BOGDAN BERCIU,Judicial Representatives,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
BOGDAN MIHAI MARINESCU,Judicial Representatives,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
ION BOGDAN BERCIU,Directors,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
BOGDAN MIHAI MARINESCU,Directors,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
BOGDAN MIHAI MARINESCU,Secretaries,C 50437,45 Gaming Limited,"Aug 13, 2010",In Dissolution
PARASCHIVA CARMEN BRAN,Legal Representatives,C 78392,ATC TRADING LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Directors,C 78392,ATC TRADING LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Judicial Representatives,C 78392,ATC TRADING LTD,"Nov 30, 2016",
PARASCHIVA CARMEN BRAN,Secretaries,C 78392,ATC TRADING LTD,"Nov 30, 2016",
MIHAELA-ALEXANDRA DUMITRESCU,Legal Representatives,C 80629,ATARES CONSULTING LTD.,"Apr 26, 2017",
MIHAELA-ALEXANDRA DUMITRESCU,Directors,C 80629,ATARES CONSULTING LTD.,"Apr 26, 2017",
MIHAELA-ALEXANDRA DUMITRESCU,Judicial Representatives,C 80629,ATARES CONSULTING LTD.,"Apr 26, 2017",
Alexandru Iulian Munteanu,Shareholders,C 71595,AXL Affiliates Ltd,"Jul 28, 2015",
Loredana CICIU,Legal Representatives,C 6859,BELFIORE LIMITED,Company Status,In Dissolution
Loredana CICIU,Directors,C 6859,BELFIORE LIMITED,Company Status,In Dissolution
Loredana CICIU,Judicial Representatives,C 6859,BELFIORE LIMITED,Company Status,In Dissolution
Mihai Cheregi,Legal Representatives,C 72675,ATLASES LIMITED,"Oct 16, 2015",
Mihai Cheregi,Directors,C 72675,ATLASES LIMITED,"Oct 16, 2015",
Mihai Cheregi,Judicial Representatives,C 72675,ATLASES LIMITED,"Oct 16, 2015",
SIMONA ORTANSA BOSTAN,Legal Representatives,C 59643,BAHISGO LIMITED,"Mar 12, 2013",
SIMONA ORTANSA BOSTAN,Directors,C 59643,BAHISGO LIMITED,"Mar 12, 2013",
SIMONA ORTANSA BOSTAN,Judicial Representatives,C 59643,BAHISGO LIMITED,"Mar 12, 2013",
MARIA TATAR,Legal Representatives,C 67237,AO FUTURO LIMITED,"Oct 21, 2014",
MARIA TATAR,Directors,C 67237,AO FUTURO LIMITED,"Oct 21, 2014",
MARIA TATAR,Judicial Representatives,C 67237,AO FUTURO LIMITED,"Oct 21, 2014",
IULIAN ZERES,Secretaries,C 67237,AO FUTURO LIMITED,"Oct 21, 2014",
ANA-MARIA TUTEA,Shareholders,C 72990,ARGO TRADING & SHIPPING LIMITED,"Nov 10, 2015",
ANA SMERA,Secretaries,C 57120,BIZAGI GROUP LTD.,"Aug 01, 2012",
IULIAN ALEXANDRU DRAGOI,Legal Representatives,C 48825,BENITO LIMITED,"Feb 05, 2010",
IULIAN ALEXANDRU DRAGOI,Directors,C 48825,BENITO LIMITED,"Feb 05, 2010",
IULIAN ALEXANDRU DRAGOI,Judicial Representatives,C 48825,BENITO LIMITED,"Feb 05, 2010",
DANUT COVALCIUC,Legal Representatives,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
DANUT COVALCIUC,Directors,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
DANUT COVALCIUC,Judicial Representatives,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
DANUT COVALCIUC,Secretaries,C 79326,AUXILIUM LIMITED,"Jan 27, 2017",
CORNEL MAILAT,Legal Representatives,C 62279,BIOLASER LIMITED,"Oct 17, 2013",
CORNEL MAILAT,Directors,C 62279,BIOLASER LIMITED,"Oct 17, 2013",
CORNEL MAILAT,Judicial Representatives,C 62279,BIOLASER LIMITED,"Oct 17, 2013",
CORNEL MAILAT,Secretaries,C 62279,BIOLASER LIMITED,"Oct 17, 2013",
CORNEL MAILAT,Shareholders,C 62279,BIOLASER LIMITED,"Oct 17, 2013",
TUDOR MIHAI ILIESCU,Shareholders,C 81167,BAI Holding Limited,"Jun 01, 2017",
ANTONIE-ION GINA,Legal Representatives,C 80819,ANI MOUS LTD,"May 09, 2017",
ANTONIE-ION GINA,Directors,C 80819,ANI MOUS LTD,"May 09, 2017",
ANTONIE-ION GINA,Judicial Representatives,C 80819,ANI MOUS LTD,"May 09, 2017",
ANTONIE-ION GINA,Secretaries,C 80819,ANI MOUS LTD,"May 09, 2017",
MIHAI CHEREGI,Legal Representatives,C 51730,BAYSWATER INVESTMENTS LIMITED,"Jan 20, 2011",
MIHAI CHEREGI,Judicial Representatives,C 51730,BAYSWATER INVESTMENTS LIMITED,"Jan 20, 2011",
MIHAI CHEREGI,Directors,C 51730,BAYSWATER INVESTMENTS LIMITED,"Jan 20, 2011",
ANA SMERA,Secretaries,C 69046,BLUE TIGER SERVICES LTD.,"Feb 16, 2015",
FLORIN ANTOCE,Shareholders,C 71970,BETTER PRO CONSULTANTS LTD,"Aug 20, 2015",
OANA RADU,Legal Representatives,C 45345,ATLAM FINANCE LIMITED,"Oct 14, 2008",In Dissolution
OANA RADU,Judicial Representatives,C 45345,ATLAM FINANCE LIMITED,"Oct 14, 2008",In Dissolution
OANA RADU,Directors,C 45345,ATLAM FINANCE LIMITED,"Oct 14, 2008",In Dissolution
ANA SMERA,Secretaries,C 63269,AVER ASSOCIATES MALTA LIMITED,"Dec 23, 2013",
DRAGOS BURIU,Legal Representatives,C 45197,BELLATRIX ONLINE Ltd,"Sep 24, 2008",
DRAGOS BURIU,Directors,C 45197,BELLATRIX ONLINE Ltd,"Sep 24, 2008",
DRAGOS BURIU,Judicial Representatives,C 45197,BELLATRIX ONLINE Ltd,"Sep 24, 2008",
RALUCA ANDREEA COMAN,Secretaries,C 45197,BELLATRIX ONLINE Ltd,"Sep 24, 2008",
DRAGOS BURIU,Shareholders,C 45197,BELLATRIX ONLINE Ltd,"Sep 24, 2008",
JULIANNA SZAKACS,Legal Representatives,C 80807,ANTEIS MACHINES & EQUIPMENT LTD,"May 09, 2017",
JULIANNA SZAKACS,Directors,C 80807,ANTEIS MACHINES & EQUIPMENT LTD,"May 09, 2017",
JULIANNA SZAKACS,Judicial Representatives,C 80807,ANTEIS MACHINES & EQUIPMENT LTD,"May 09, 2017",
JULIANNA SZAKACS,Secretaries,C 80807,ANTEIS MACHINES & EQUIPMENT LTD,"May 09, 2017",
INGRID BEATRICE COMAN,Legal Representatives,C 41180,AYAMA TITANIUM LTD,"Apr 18, 2007",
INGRID BEATRICE COMAN,Judicial Representatives,C 41180,AYAMA TITANIUM LTD,"Apr 18, 2007",
INGRID BEATRICE COMAN,Directors,C 41180,AYAMA TITANIUM LTD,"Apr 18, 2007",
CONSTANTIN NASTASOIU,Legal Representatives,C 60963,BANEX TRADE GROUP LIMITED,"Jun 26, 2013",
CONSTANTIN NASTASOIU,Directors,C 60963,BANEX TRADE GROUP LIMITED,"Jun 26, 2013",
