name,type,company_id,company_name,registration_date,status
PETR SOLDATKIN,Legal Representatives,C 43030,ANNAMAR OVERSEAS LIMITED,"Dec 06, 2007",
PETR SOLDATKIN,Directors,C 43030,ANNAMAR OVERSEAS LIMITED,"Dec 06, 2007",
PETR SOLDATKIN,Judicial Representatives,C 43030,ANNAMAR OVERSEAS LIMITED,"Dec 06, 2007",
GENNADY SMYSLOV,Shareholders,C 43030,ANNAMAR OVERSEAS LIMITED,"Dec 06, 2007",
VLADIMIR GROMOV,Legal Representatives,C 71627,ATRIA LIMITED,"Jul 28, 2015",
VLADIMIR GROMOV,Directors,C 71627,ATRIA LIMITED,"Jul 28, 2015",
VLADIMIR GROMOV,Judicial Representatives,C 71627,ATRIA LIMITED,"Jul 28, 2015",
VLADIMIR GROMOV,Shareholders,C 71627,ATRIA LIMITED,"Jul 28, 2015",
Irina Koruk,Secretaries,C 71308,Amenity Ltd,"Jul 08, 2015",
YULIA SIVAK,Legal Representatives,C 80549,ARIEL NAVIGATION COMPANY LIMITED,"Apr 20, 2017",
YULIA SIVAK,Directors,C 80549,ARIEL NAVIGATION COMPANY LIMITED,"Apr 20, 2017",
YULIA SIVAK,Judicial Representatives,C 80549,ARIEL NAVIGATION COMPANY LIMITED,"Apr 20, 2017",
BORIS IOFFE,Legal Representatives,C 49764,ALPHA JET LTD,"May 27, 2010",
BORIS IOFFE,Judicial Representatives,C 49764,ALPHA JET LTD,"May 27, 2010",
BORIS IOFFE,Directors,C 49764,ALPHA JET LTD,"May 27, 2010",
EDOUARD OGIEVITCH,Directors,C 19084,ANED MARITIME LIMITED,"Sep 19, 1995",
EDOUARD OGIEVITCH,Shareholders,C 19084,ANED MARITIME LIMITED,"Sep 19, 1995",
VADIM ROMANOV,Shareholders,C 55806,BTG TRADING LTD,"Mar 28, 2012",
NATALIA ABRAMYAN,Secretaries,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
NATALIA ABRAMYAN,Shareholders,C 45417,ASA Holdings Ltd,"Oct 23, 2008",
ELENA GORSHKOVA,Legal Representatives,C 64652,BUKOVINA ENERGY RESOURCES LIMITED,"Apr 10, 2014",
ELENA GORSHKOVA,Directors,C 64652,BUKOVINA ENERGY RESOURCES LIMITED,"Apr 10, 2014",
ELENA GORSHKOVA,Judicial Representatives,C 64652,BUKOVINA ENERGY RESOURCES LIMITED,"Apr 10, 2014",
SVETLANA POLEGOSHKO,Legal Representatives,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
SVETLANA POLEGOSHKO,Directors,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
SVETLANA POLEGOSHKO,Judicial Representatives,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
ALISA POLEGOSHKO,Shareholders,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
GERMAN POLEGOSHKO,Shareholders,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
SVETLANA POLEGOSHKO,Shareholders,C 56073,AMIKO MARITIME COMPANY LIMITED,"Apr 24, 2012",
NIKOLAY ULYBIN,Legal Representatives,C 49968,ARNI SHIPPING LTD,"Jun 18, 2010",
NIKOLAY ULYBIN,Directors,C 49968,ARNI SHIPPING LTD,"Jun 18, 2010",
NIKOLAY ULYBIN,Judicial Representatives,C 49968,ARNI SHIPPING LTD,"Jun 18, 2010",
NIKOLAY ULYBIN,Shareholders,C 49968,ARNI SHIPPING LTD,"Jun 18, 2010",
BORIS IOFFE,Legal Representatives,C 40022,BEAVER JET LTD,"Nov 22, 2006",
BORIS IOFFE,Judicial Representatives,C 40022,BEAVER JET LTD,"Nov 22, 2006",
BORIS IOFFE,Directors,C 40022,BEAVER JET LTD,"Nov 22, 2006",
ROBERT BALASANYAN,Legal Representatives,C 21718,AVIATION CONSULTANTS LIMITED,"Jul 29, 1997",
ROBERT BALASANYAN,Shareholders,C 21718,AVIATION CONSULTANTS LIMITED,"Jul 29, 1997",
IOURI VASSILENKO,Shareholders,C 21718,AVIATION CONSULTANTS LIMITED,"Jul 29, 1997",
ROBERT BALASANYAN,Judicial Representatives,C 21718,AVIATION CONSULTANTS LIMITED,"Jul 29, 1997",
ROBERT BALASANYAN,Directors,C 21718,AVIATION CONSULTANTS LIMITED,"Jul 29, 1997",
ROBERT BALASANYAN,Secretaries,C 21718,AVIATION CONSULTANTS LIMITED,"Jul 29, 1997",
TATIANA CAMILLERI,Secretaries,C 47638,BLUE WATER SERVICE AND TRADING CO. LIMITED,"Sep 01, 2009",
VALENTINA BARYSHEVA,Legal Representatives,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
VALENTINA BARYSHEVA,Directors,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
VALENTINA BARYSHEVA,Judicial Representatives,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
VALENTINA BARYSHEVA,Secretaries,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
VALENTINA BARYSHEVA,Shareholders,C 66710,BLACK SHEEP COMICS LIMITED,"Sep 12, 2014",
OLGA DITZEL,Legal Representatives,C 52657,Amberton Holdings Ltd,"Apr 21, 2011",
OLGA DITZEL,Judicial Representatives,C 52657,Amberton Holdings Ltd,"Apr 21, 2011",
OLGA DITZEL,Directors,C 52657,Amberton Holdings Ltd,"Apr 21, 2011",
INNA FLEISCHMANN,Shareholders,C 72675,ATLASES LIMITED,"Oct 16, 2015",
ROMAN SHVETSKIY,Legal Representatives,C 42375,AlphaStream Limited,"Sep 17, 2007",
ROMAN SHVETSKIY,Judicial Representatives,C 42375,AlphaStream Limited,"Sep 17, 2007",
ROMAN SHVETSKIY,Directors,C 42375,AlphaStream Limited,"Sep 17, 2007",
ELENA KOLTSOVA,Legal Representatives,C 75143,BF-MEDIC (MALTA) LIMITED,"Apr 07, 2016",
ELENA KOLTSOVA,Directors,C 75143,BF-MEDIC (MALTA) LIMITED,"Apr 07, 2016",
ELENA KOLTSOVA,Judicial Representatives,C 75143,BF-MEDIC (MALTA) LIMITED,"Apr 07, 2016",
ELENA KOLTSOVA,Secretaries,C 75143,BF-MEDIC (MALTA) LIMITED,"Apr 07, 2016",
SERGEY VYAZMIN,Legal Representatives,C 72413,ALPARI EUROPE LTD,"Sep 25, 2015",
SERGEY VYAZMIN,Directors,C 72413,ALPARI EUROPE LTD,"Sep 25, 2015",
SERGEY VYAZMIN,Judicial Representatives,C 72413,ALPARI EUROPE LTD,"Sep 25, 2015",
TATIANA SOBOLEVA,Legal Representatives,C 23362,ALVIS HOLDING LIMITED,"Apr 04, 1995",
TATIANA SOBOLEVA,Directors,C 23362,ALVIS HOLDING LIMITED,"Apr 04, 1995",
TATIANA SOBOLEVA,Judicial Representatives,C 23362,ALVIS HOLDING LIMITED,"Apr 04, 1995",
TATIANA SOBOLEVA,Secretaries,C 23362,ALVIS HOLDING LIMITED,"Apr 04, 1995",
TATIANA SOBOLEVA,Shareholders,C 23362,ALVIS HOLDING LIMITED,"Apr 04, 1995",
ASKENDEROV KAMIL,Legal Representatives,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
TATIANA NEFEDOVA,Legal Representatives,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
ASKENDEROV KAMIL,Shareholders,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
ASKENDEROV KAMIL,Judicial Representatives,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
TATIANA NEFEDOVA,Judicial Representatives,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
ASKENDEROV KAMIL,Directors,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
TATIANA NEFEDOVA,Directors,C 57138,ALVISA INTERNATIONAL COMPANY LIMITED,"Aug 02, 2012",
IGOR IVANOV,Legal Representatives,C 44074,BRORA TRADING LIMITED,"Apr 21, 2008",
IGOR IVANOV,Directors,C 44074,BRORA TRADING LIMITED,"Apr 21, 2008",
IGOR IVANOV,Judicial Representatives,C 44074,BRORA TRADING LIMITED,"Apr 21, 2008",
OLGA DITZEL,Secretaries,C 49597,B.F.I. EUROPEAN FINANCIAL AND CONSULTING LTD,"May 10, 2010",
SERGEI NIZOVTCEV,Legal Representatives,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
DARIA NIZOVTSEVA,Legal Representatives,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
SERGEI NIZOVTCEV,Directors,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
DARIA NIZOVTSEVA,Directors,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
SERGEI NIZOVTCEV,Judicial Representatives,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
DARIA NIZOVTSEVA,Judicial Representatives,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
SERGEI NIZOVTCEV,Secretaries,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
SERGEI NIZOVTCEV,Shareholders,C 51529,ANTRAL COMPANY LIMITED,"Dec 27, 2010",
NIKITA KOZLOV,Legal Representatives,C 76592,AMPERE LIMITED,"Jul 25, 2016",
NIKITA KOZLOV,Directors,C 76592,AMPERE LIMITED,"Jul 25, 2016",
NIKITA KOZLOV,Judicial Representatives,C 76592,AMPERE LIMITED,"Jul 25, 2016",
NIKITA KOZLOV,Secretaries,C 76592,AMPERE LIMITED,"Jul 25, 2016",
NIKITA KOZLOV,Shareholders,C 76592,AMPERE LIMITED,"Jul 25, 2016",
OGIEVITCH EDOUARD,Directors,C 17958,APEX MARITIME LIMITED,"Mar 07, 1995",
OGIEVITCH EDOUARD,Shareholders,C 17958,APEX MARITIME LIMITED,"Mar 07, 1995",
ROMAN ANDROPOV,Legal Representatives,C 46101,BLACK SEA FERRIES LIMITED,"Jan 26, 2009",
EVGENY KALYAGIN,Legal Representatives,C 46101,BLACK SEA FERRIES LIMITED,"Jan 26, 2009",
SERGEI TUGARINOV,Legal Representatives,C 46101,BLACK SEA FERRIES LIMITED,"Jan 26, 2009",
ROMAN ANDROPOV,Judicial Representatives,C 46101,BLACK SEA FERRIES LIMITED,"Jan 26, 2009",
EVGENY KALYAGIN,Judicial Representatives,C 46101,BLACK SEA FERRIES LIMITED,"Jan 26, 2009",
SERGEI TUGARINOV,Judicial Representatives,C 46101,BLACK SEA FERRIES LIMITED,"Jan 26, 2009",
