name,type,company_id,company_name,registration_date,status
MANDY C GRAY,Shareholders,C 7365,BELLUSA BATTERIES LIMITED,Company Status,
MANDY C GRAY,Shareholders,C 6151,BELMAR LTD ( D 4307 ),Company Status,In Dissolution
MANDY C GRAY,Shareholders,C 75372,BELLTOWER HOLDINGS LTD,"Apr 22, 2016",
MARCELO HASSON CHEBAR,Legal Representatives,C 77091,APUI HOLDINGS LTD,"Sep 01, 2016",
MARCELO HASSON CHEBAR,Directors,C 77091,APUI HOLDINGS LTD,"Sep 01, 2016",
MARCELO HASSON CHEBAR,Judicial Representatives,C 77091,APUI HOLDINGS LTD,"Sep 01, 2016",
MARCELO HASSON CHEBAR,Shareholders,C 77091,APUI HOLDINGS LTD,"Sep 01, 2016",
MANDY C GRAY,Shareholders,C 75373,BELLTOWER TRADING LTD,"Apr 22, 2016",
MANDY C GRAY,Shareholders,C 5844,BELLUSA DAUGHTERS LIMITED,Company Status,
MANDY C GRAY,Shareholders,C 76375,BELL GREEN TRADING LTD.,"Jul 08, 2016",
