name,type,company_id,company_name,registration_date,status
SYED SAEED ATHAR,Directors,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
ABDUL FATTAH,Directors,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
MAHMOOD BAQI MOULVI,Directors,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
SYED SAEED ATHAR,Shareholders,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
ABDUL FATTAH,Shareholders,C 27910,ALPHA PRIME INTERNATIONAL LTD,"Mar 20, 2001",
ABDULRAHMAN OMRAN M ALOMRAN,Legal Representatives,C 78176,AOA HOLDING LIMITED,"Nov 17, 2016",
ABDULRAHMAN OMRAN M ALOMRAN,Directors,C 78176,AOA HOLDING LIMITED,"Nov 17, 2016",
ABDULRAHMAN OMRAN M ALOMRAN,Judicial Representatives,C 78176,AOA HOLDING LIMITED,"Nov 17, 2016",
LAILA ABDULMUHSEN S BALGHONEIM,Secretaries,C 78176,AOA HOLDING LIMITED,"Nov 17, 2016",
ABDULRAHMAN OMRAN M ALOMRAN,Shareholders,C 78176,AOA HOLDING LIMITED,"Nov 17, 2016",
MOHAMMED ALNEMER,Legal Representatives,C 54613,BUCKINGHAM ACCOMMODATIONS LIMITED,"Dec 05, 2011",
MANSOUR BIN SULTAN BIN ABDULAZIZ AL SAUD,Shareholders,C 54613,BUCKINGHAM ACCOMMODATIONS LIMITED,"Dec 05, 2011",
NAIF BIN SULTAN BIN ABDULAZIZ AL SAUD,Shareholders,C 54613,BUCKINGHAM ACCOMMODATIONS LIMITED,"Dec 05, 2011",
MOHAMMED ALNEMER,Judicial Representatives,C 54613,BUCKINGHAM ACCOMMODATIONS LIMITED,"Dec 05, 2011",
MOHAMMED ALNEMER,Directors,C 54613,BUCKINGHAM ACCOMMODATIONS LIMITED,"Dec 05, 2011",
SAMAUAL ABDULLAH T. BAKHSH,Shareholders,C 69613,BEECHBROOK LIMITED,"Mar 18, 2015",
MOHAMMED OMRAN M ALOMRAN,Legal Representatives,C 77736,AMRO HOLDING LIMITED,"Jun 01, 2017",
MOHAMMED OMRAN M ALOMRAN,Directors,C 77736,AMRO HOLDING LIMITED,"Jun 01, 2017",
MOHAMMED OMRAN M ALOMRAN,Judicial Representatives,C 77736,AMRO HOLDING LIMITED,"Jun 01, 2017",
NAJLA ABDULRAHMAN ALOMRAN,Secretaries,C 77736,AMRO HOLDING LIMITED,"Jun 01, 2017",
MOHAMMED OMRAN M ALOMRAN,Shareholders,C 77736,AMRO HOLDING LIMITED,"Jun 01, 2017",
ABDULAZIZ MOHAMMED A ALRAWAF,Legal Representatives,C 74608,BERLIN REAL ESTATE INVESTMENTS LIMITED,"Mar 01, 2016",
ABDULAZIZ MOHAMMED A ALRAWAF,Directors,C 74608,BERLIN REAL ESTATE INVESTMENTS LIMITED,"Mar 01, 2016",
ABDULAZIZ MOHAMMED A ALRAWAF,Judicial Representatives,C 74608,BERLIN REAL ESTATE INVESTMENTS LIMITED,"Mar 01, 2016",
SAUD MOHAMMED Z ALARIFI,Shareholders,C 74608,BERLIN REAL ESTATE INVESTMENTS LIMITED,"Mar 01, 2016",
ABDULAZIZ MOHAMMED A ALRAWAF,Shareholders,C 74608,BERLIN REAL ESTATE INVESTMENTS LIMITED,"Mar 01, 2016",
ABDULAZIZ ABDULRAMAN M ALYABES,Shareholders,C 74608,BERLIN REAL ESTATE INVESTMENTS LIMITED,"Mar 01, 2016",
ASIM SALEH ABDULKADER AMBAH,Legal Representatives,C 73728,AMBAH LIMITED,"Dec 23, 2015",
ASIM SALEH ABDULKADER AMBAH,Directors,C 73728,AMBAH LIMITED,"Dec 23, 2015",
ASIM SALEH ABDULKADER AMBAH,Judicial Representatives,C 73728,AMBAH LIMITED,"Dec 23, 2015",
ASIM SALEH ABDULKADER AMBAH,Secretaries,C 73728,AMBAH LIMITED,"Dec 23, 2015",
OSAMA SAAD M ALHADDAD,Legal Representatives,C 79239,ALLIUM HOLDING LIMITED,"Mar 10, 2017",
OSAMA SAAD M ALHADDAD,Directors,C 79239,ALLIUM HOLDING LIMITED,"Mar 10, 2017",
OSAMA SAAD M ALHADDAD,Judicial Representatives,C 79239,ALLIUM HOLDING LIMITED,"Mar 10, 2017",
FATIN ABDULLAH B TOONSI,Secretaries,C 79239,ALLIUM HOLDING LIMITED,"Mar 10, 2017",
